"","fish_id","hakai_id","seine_id","jsp_survey_id","date","site_id","jsp_sample_type","analyzing_lab","quality_level","quality_log"
"27131","U4820","BRN47S-G10","DE112N1","DE112",2015-05-20,"D09","spleen",NA,"Raw",NA
"27132","U4848","BRN47B-C10","DE112N1","DE112",2015-05-20,"D09","brain",NA,"Technician",NA
"27133","U4848","BRN47G-C10","DE112N1","DE112",2015-05-20,"D09","gill",NA,"Technician",NA
"27134","U4848","BRN47H-C10","DE112N1","DE112",2015-05-20,"D09","heart",NA,"Technician",NA
"27135","U4848","BRN47K-C10","DE112N1","DE112",2015-05-20,"D09","kidney",NA,"Technician",NA
"27136","U4848","BRN47L-C10","DE112N1","DE112",2015-05-20,"D09","liver",NA,"Technician",NA
"27137","U4848","BRN47S-C10","DE112N1","DE112",2015-05-20,"D09","spleen",NA,"Raw",NA
"27138","U4823","BRN47B-D10","DE112N1","DE112",2015-05-20,"D09","brain",NA,"Technician",NA
"27139","U4823","BRN47G-D10","DE112N1","DE112",2015-05-20,"D09","gill",NA,"Technician",NA
"27140","U4823","BRN47H-D10","DE112N1","DE112",2015-05-20,"D09","heart",NA,"Technician",NA
"27141","U4823","BRN47K-D10","DE112N1","DE112",2015-05-20,"D09","kidney",NA,"Technician",NA
"27142","U4823","BRN47L-D10","DE112N1","DE112",2015-05-20,"D09","liver",NA,"Technician",NA
"27143","U4823","BRN47S-D10","DE112N1","DE112",2015-05-20,"D09","spleen",NA,"Raw",NA
"27144","U4822","BRN47B-E10","DE112N1","DE112",2015-05-20,"D09","brain",NA,"Technician",NA
"27145","U4822","BRN47G-E10","DE112N1","DE112",2015-05-20,"D09","gill",NA,"Technician",NA
"27146","U4822","BRN47H-E10","DE112N1","DE112",2015-05-20,"D09","heart",NA,"Technician",NA
"27147","U4822","BRN47K-E10","DE112N1","DE112",2015-05-20,"D09","kidney",NA,"Technician",NA
"27148","U4822","BRN47L-E10","DE112N1","DE112",2015-05-20,"D09","liver",NA,"Technician",NA
"27149","U4822","BRN47S-E10","DE112N1","DE112",2015-05-20,"D09","spleen",NA,"Raw",NA
"27150","U4797","BRN47B-A11","JE134N1","JE134",2015-05-31,"J09","brain",NA,"Technician",NA
"27151","U4797","BRN47G-A11","JE134N1","JE134",2015-05-31,"J09","gill",NA,"Technician",NA
"27152","U4797","BRN47H-A11","JE134N1","JE134",2015-05-31,"J09","heart",NA,"Technician",NA
"27153","U4797","BRN47K-A11","JE134N1","JE134",2015-05-31,"J09","kidney",NA,"Technician",NA
"27154","U4797","BRN47L-A11","JE134N1","JE134",2015-05-31,"J09","liver",NA,"Technician",NA
"27155","U4797","BRN47S-A11","JE134N1","JE134",2015-05-31,"J09","spleen",NA,"Raw",NA
"27156","U4760","BRN45B-C1","JE134N1","JE134",2015-05-31,"J09","brain",NA,"Technician",NA
"27157","U4760","BRN45G-C1","JE134N1","JE134",2015-05-31,"J09","gill",NA,"Technician",NA
"27158","U4760","BRN45H-C1","JE134N1","JE134",2015-05-31,"J09","heart",NA,"Technician",NA
"27159","U4760","BRN45K-C1","JE134N1","JE134",2015-05-31,"J09","kidney",NA,"Technician",NA
"27160","U4760","BRN45L-C1","JE134N1","JE134",2015-05-31,"J09","liver",NA,"Technician",NA
"27161","U4760","BRN45S-C1","JE134N1","JE134",2015-05-31,"J09","spleen",NA,"Raw",NA
"27162","U4758","BRN45B-E1","JE134N1","JE134",2015-05-31,"J09","brain",NA,"Technician",NA
"27163","U4758","BRN45G-E1","JE134N1","JE134",2015-05-31,"J09","gill",NA,"Technician",NA
"27164","U4758","BRN45H-E1","JE134N1","JE134",2015-05-31,"J09","heart",NA,"Technician",NA
"27165","U4758","BRN45K-E1","JE134N1","JE134",2015-05-31,"J09","kidney",NA,"Technician",NA
"27166","U4758","BRN45L-E1","JE134N1","JE134",2015-05-31,"J09","liver",NA,"Technician",NA
"27167","U4758","BRN45S-E1","JE134N1","JE134",2015-05-31,"J09","spleen",NA,"Raw",NA
"27168","U4854","BRN47B-E12","JE161N1","JE161",2015-06-08,"J03","brain",NA,"Technician",NA
"27169","U4854","BRN47G-E12","JE161N1","JE161",2015-06-08,"J03","gill",NA,"Technician",NA
