ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U92,2015-05-22-J08-SO-29,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U82,2015-05-23-J03-SO-22,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U83,2015-05-22-J08-SO-12,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U84,2015-05-23-J03-SO-24,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U85,2015-05-22-J08-SO-16,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U93,2015-05-22-J08-SO-24,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U94,2015-05-22-J08-SO-21,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U95,2015-05-22-J08-SO-17,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U96,2015-05-22-J08-SO-18,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U97,2015-05-23-J03-SO-30,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U98,2015-05-23-J03-SO-26,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U111,2015-05-22-J08-SO-20,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U112,2015-05-23-J03-SO-12,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U86,2015-05-23-J03-SO-18,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U87,2015-05-22-J08-SO-25,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U88,2015-05-23-J03-SO-3,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U89,2015-05-22-J08-SO-14,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U90,2015-05-23-J03-SO-4,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U104,2015-05-23-J03-SO-10,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U105,2015-05-23-J03-SO-6,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U106,2015-05-22-J08-SO-22,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U107,2015-05-23-J03-SO-11,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U108,2015-05-23-J03-SO-9,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U113,2015-05-23-J03-SO-1,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U114,2015-05-23-J03-SO-2,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U115,2015-05-22-J08-SO-15,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U116,2015-05-23-J03-SO-14,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U121,2015-05-22-J08-SO-23,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U122,2015-05-22-J08-SO-19,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U123,2015-05-23-J03-SO-7,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U109,2015-05-23-J03-SO-15,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U117,2015-05-23-J03-SO-13,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U118,2015-05-23-J03-SO-8,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U124,2015-05-23-J03-SO-5,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U110,2015-05-22-J08-CU-3,JE105N2,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U119,2015-05-23-J09-SO-14,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U100,2015-05-23-J09-SO-13,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U99,2015-05-15-D05-SO-14,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U120,2015-05-23-J09-SO-5,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U151,2015-05-23-J09-SO-6,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U152,2015-05-23-J09-SO-11,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U153,2015-05-23-J09-SO-2,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U141,2015-05-23-J09-SO-15,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U142,2015-05-23-J09-SO-12,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U143,2015-05-23-J09-SO-8,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U144,2015-05-23-J09-SO-1,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U131,2015-05-22-J08-CU-1,JE105N2,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
