seine_id,survey_id,set_number,set_type,lat,long,set_time,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,collection_protocol,seine_comments,qc_log
JE110N2,JE110,2,targeted,50.60101,-126.70394,2015-05-24 06:25:00 PDT,1,NA,NA,NA,yes,30,400,0,0,7,7,1,1,0,0,NA,NA,SEMSP,NA,
JE112N1,JE112,1,targeted,50.47696,-126.0273,2015-05-24 14:00:00 PDT,5,NA,NA,NA,yes,30,400,0,0,2,2,0,0,0,0,NA,NA,SEMSP,NA,
JE113N1,JE113,1,targeted,50.49853,-126.21348,2015-05-25 05:40:00 PDT,1,NA,NA,NA,yes,30,300,0,0,10,150,0,0,4,4,NA,NA,SEMSP,NA,
JE114N1,JE114,1,targeted,50.52363,-126.39046,2015-05-25 09:50:00 PDT,70,NA,NA,NA,yes,30,800,2,2,10,50,4,4,0,0,NA,NA,SEMSP,NA,
JE115N1,JE115,1,targeted,50.48103,-126.41291,2015-05-25 13:00:00 PDT,25,NA,NA,NA,yes,30,40,0,0,10,15,1,1,3,3,NA,NA,SEMSP,NA,
JE116N1,JE116,1,targeted,50.45622,-126.11838,2015-05-26 05:45:00 PDT,1,NA,NA,NA,yes,30,1000,0,0,10,200,1,1,5,5,NA,NA,SEMSP,"unknown salmonid bycatch not sockeye, chum, pink, coho, or chinook",
JE117N1,JE117,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE117N2,JE117,2,targeted,50.54672,-126.67256,2015-05-26 09:35:00 PDT,1,NA,NA,NA,yes,30,1000,0,0,10,30,1,1,0,0,NA,NA,SEMSP,NA,
JE118N1,JE118,1,targeted,50.53989,-126.78256,2015-05-26 12:55:00 PDT,2,NA,NA,NA,yes,30,1500,1,1,10,100,0,0,1,1,NA,NA,SEMSP,NA,
JE119N1,JE119,1,targeted,50.55951,-126.75326,2015-05-27 06:00:00 PDT,40,NA,NA,NA,yes,30,100,0,0,10,30,10,20,0,0,NA,NA,SEMSP,NA,
JE122N1,JE122,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE122N2,JE122,2,targeted,50.53957,-126.7781,2015-05-27 13:15:00 PDT,10,NA,NA,NA,yes,30,2000,0,0,10,200,6,10,2,3,NA,NA,SEMSP,small hole in the bunt. Lots of fish escaped. May have been more herring and coho originally. School > 2000,
JE123N2,JE123,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE123N1,JE123,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE123N3,JE123,3,targeted,50.57078,-126.70066,2015-05-28 05:35:00 PDT,70,NA,NA,NA,yes,30,1000,0,0,10,200,2,10,1,10,NA,NA,SEMSP,NA,
JE126N1,JE126,1,targeted,50.4838,-126.01069,2015-05-29 06:55:00 PDT,85,NA,NA,NA,yes,30,40,0,0,10,200,1,1,6,10,NA,NA,SEMSP,NA,
JE127N1,JE127,1,targeted,NA,NA,2015-05-29 11:30:00 PDT,150,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,SEMSP,"one net set, no fish caught",
JE128N1,JE128,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE128N2,JE128,2,targeted,50.50733,-126.24336,2015-05-30 06:30:00 PDT,45,NA,NA,NA,yes,30,300,0,0,10,300,1,1,0,0,NA,NA,SEMSP,NA,
JE129N2,JE129,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE129N1,JE129,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE129N3,JE129,3,targeted,50.45679,-126.16458,2015-05-30 09:25:00 PDT,60,NA,NA,NA,yes,30,600,0,0,10,400,4,4,5,5,NA,NA,SEMSP,NA,
JE131N1,JE131,1,targeted,50.48405,-126.3987,2015-05-30 15:05:00 PDT,5,NA,NA,NA,yes,30,1000,1,10,10,300,1,1,10,20,NA,NA,SEMSP,NA,
JE132N1,JE132,1,targeted,50.52152,-126.40028,2015-05-31 06:45:00 PDT,90,NA,NA,NA,yes,30,100,0,0,10,200,0,0,3,3,NA,NA,SEMSP,NA,
JE133N1,JE133,1,targeted,50.54605,-126.66218,2015-05-31 09:45:00 PDT,30,NA,NA,NA,yes,30,400,0,0,10,200,0,0,10,20,NA,NA,SEMSP,NA,
JE134N1,JE134,1,targeted,50.53808,-126.77494,2015-05-31 12:30:00 PDT,15,NA,NA,NA,yes,30,400,0,0,10,100,1,1,0,0,NA,NA,SEMSP,NA,
JE136N1,JE136,1,targeted,50.60051,-126.70319,2015-06-01 05:30:00 PDT,10,NA,NA,NA,yes,30,400,0,0,5,10,0,0,0,0,NA,NA,SEMSP,NA,
JE137N1,JE137,1,targeted,50.57871,-126.72129,2015-06-01 07:40:00 PDT,110,NA,NA,NA,yes,25,25,1,1,10,300,5,5,1,1,NA,NA,SEMSP,NA,
JE138N1,JE138,1,targeted,50.55853,-126.73145,2015-06-01 12:30:00 PDT,15,NA,NA,NA,yes,30,300,2,10,10,100,4,4,0,0,NA,NA,SEMSP,NA,
JE139N1,JE139,1,targeted,50.50763,-126.24218,2015-06-02 05:20:00 PDT,25,NA,NA,NA,yes,30,200,0,0,10,600,3,5,0,0,NA,NA,SEMSP,NA,
JE140N1,JE140,1,targeted,50.45649,-126.16619,2015-06-02 08:25:00 PDT,25,NA,NA,NA,yes,30,500,2,10,10,500,0,0,5,5,NA,NA,SEMSP,NA,
JE141N1,JE141,1,targeted,NA,NA,2015-06-02 11:00:00 PDT,20,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,SEMSP,snagged net on bottom- no fish. strong current dragged us into the shallows,
JE142N1,JE142,1,targeted,50.48189,-126.01128,2015-06-03 06:15:00 PDT,75,NA,NA,NA,yes,30,100,0,0,10,100,0,0,3,3,NA,NA,SEMSP,NA,
JE143N1,JE143,1,targeted,50.48072,-126.40915,2015-06-03 10:15:00 PDT,0,NA,NA,NA,yes,30,15000,0,0,10,2000,0,0,0,1,NA,NA,SEMSP,"could not find herring again because too many fish; unsure of herring, pink, and coho numbers because too many fish",
JE145N1,JE145,1,targeted,50.53944,-126.78254,2015-06-03 14:55:00 PDT,1,NA,NA,NA,yes,30,100,0,0,10,200,0,0,5,5,NA,NA,SEMSP,NA,
JE146N1,JE146,1,targeted,50.52232,-126.39556,2015-06-04 06:30:00 PDT,30,NA,NA,NA,yes,30,300,0,0,10,500,0,0,2,2,NA,NA,SEMSP,"labeled CU5 is actually CU4; CU6 is CU5; CU7 is CU6; CU8 is CU7; CU9 is CU8, CU10 is CU9, CU4 is CU10",
JE147N1,JE147,1,targeted,50.54216,-126.63511,2015-06-04 10:00:00 PDT,50,NA,NA,NA,yes,30,200,7,7,10,300,0,0,10,15,NA,NA,SEMSP,31 Sockeye taken by accident. One possibly without label,
JE148N2,JE148,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE148N1,JE148,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE148N3,JE148,3,targeted,50.5956,-126.69022,2015-06-04 13:40:00 PDT,50,NA,NA,NA,yes,30,300,1,1,10,300,6,6,0,0,NA,NA,SEMSP,"CO-03, CO-05, CO-06 did not have white-tipped anal fin. Probably a chinook, but no black gums. Not chum, pink or sockeye. Check species ID in lab.",
JE149N1,JE149,1,targeted,50.55855,-126.73248,2015-06-05 05:25:00 PDT,5,NA,NA,NA,yes,30,300,0,0,10,200,1,1,0,0,NA,NA,SEMSP,NA,
JE150N1,JE150,1,targeted,50.56784,-126.69728,2015-06-05 08:20:00 PDT,2,NA,NA,NA,yes,30,1000,3,3,10,400,3,3,2,2,NA,NA,SEMSP,NA,
JE152N1,JE152,1,targeted,50.45987,-126.16961,2015-06-06 06:20:00 PDT,20,NA,NA,NA,yes,30,100,3,3,10,100,0,0,0,0,NA,NA,SEMSP,NA,
JE153N1,JE153,1,targeted,NA,NA,2015-06-06 08:25:00 PDT,10,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE154N1,JE154,1,targeted,50.47794,-126.02803,2015-06-07 05:05:00 PDT,5,NA,NA,NA,yes,30,100,0,0,10,200,4,4,2,2,NA,NA,SEMSP,"CO-03 might be a chinook, make sure to check ID in lab",
JE155N1,JE155,1,targeted,50.49983,-126.20581,2015-06-07 07:45:00 PDT,10,NA,NA,NA,yes,30,300,0,0,10,300,1,1,0,0,NA,NA,SEMSP,NA,
JE157N1,JE157,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE157N2,JE157,2,targeted,50.47923,-126.41485,2015-06-07 11:00:00 PDT,1,NA,NA,NA,yes,30,200,3,3,10,4000,0,0,0,1,NA,NA,SEMSP,"Too many fish to say that there wer no other herring, coho, or pink. Definitely missed one herring that could not be found again in net.",
JE159N1,JE159,1,targeted,50.539,-126.7781,2015-06-07 14:35:00 PDT,1,NA,NA,NA,yes,29,400,10,30,10,600,1,1,0,0,NA,NA,SEMSP,NA,
JE160N1,JE160,1,targeted,50.52411,-126.39107,2015-06-08 06:05:00 PDT,20,NA,NA,NA,yes,30,300,2,2,10,300,1,1,2,3,NA,NA,SEMSP,"3 herring in the net, but only took 2 because one jumped out of  milk jug",
JE161N1,JE161,1,targeted,50.54418,-126.63202,2015-06-08 10:20:00 PDT,45,NA,NA,NA,yes,30,200,1,1,10,200,0,0,2,3,NA,NA,SEMSP,"3 herring in net, only took 2, one jumped out of net; all sockeye from this site were labeled 20150508 instead of 20150608, mistake caught after fish dewar- made note on group labels about this for both bundles of 15 sockeye for this site",
JE162N1,JE162,1,targeted,50.57687,-126.72184,2015-06-08 13:34:00 PDT,30,NA,NA,NA,yes,30,200,10,30,10,300,3,3,0,0,NA,NA,SEMSP,NA,
JE163N1,JE163,1,targeted,50.59537,-126.69062,2015-06-09 07:00:00 PDT,45,NA,NA,NA,yes,30,200,0,0,10,200,7,7,2,2,NA,NA,SEMSP,NA,
JE165N1,JE165,1,targeted,50.50008,-126.20937,2015-06-11 07:12:00 PDT,15,NA,NA,NA,yes,30,500,10,20,10,500,0,0,3,5,NA,NA,SEMSP,"5 herring in net, only took 3, 2 escaped when releasing sockeye, pink & chum",
JE166N1,JE166,1,targeted,50.45951,-126.16958,2015-06-11 11:45:00 PDT,1,NA,NA,NA,yes,30,2000,4,50,10,4000,0,0,10,60,NA,NA,SEMSP,"saw 1 coho in net, never saw it again with all the other fish; difficult to sort through school to find other pinks",
