survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE150,2015-06-05,J01,"Sean Godwin, Samantha Crowley, Donnah MacKinnon",none,25,1,0.1-5,NE,NA,NA,NA,1,14,1,NA,1,standard,NA
JE151,2015-06-06,J05,"Sean Godwin, Mack Bartlett, Samantha Crowley",none,100,3,5-10,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
JE152,2015-06-06,J07,"Sean Godwin, Mack Bartlett, Samantha Crowley",none,100,2,5-10,N,NA,NA,NA,1,13.6,1,NA,1,standard,Ipad forms won't open- error message (note after data entry: ipad form fixed and submitted)
JE153,2015-06-06,J06,"Sean Godwin, Mack Bartlett, Samantha Crowley",none,25,3,10-15,NW,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE154,2015-06-07,J06,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,2,5-10,SW,NA,NA,NA,1,12.2,1,NA,1,standard,NA
JE155,2015-06-07,J05,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,1,0.1-5,SW,NA,NA,NA,1,13.4,1,NA,1,standard,NA
JE156,2015-06-07,J04,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,2,5-10,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,net not set due to poor weather and lack of fish
JE157,2015-06-07,J08,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,2,5-10,SW,NA,NA,NA,2,11.8,1,NA,1,standard,NA
JE158,2015-06-07,J04,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,2,0.1-5,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,lack of fish
JE159,2015-06-07,J09,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,1,0.1-5,SW,NA,NA,NA,1,13.9,1,NA,1,standard,NA
JE160,2015-06-08,J04,"Sean Godwin, Mack Bartlett, Samantha Crowley",light,100,1,0.1-5,SW,NA,NA,NA,1,13.2,1,NA,1,standard,NA
JE161,2015-06-08,J03,"Lauren Portner, Chris Guinchard, Stephanie Peacock",none,100,1,0.1-5,NW,NA,NA,NA,1,8,1,NA,1,standard,NA
JE162,2015-06-08,J01,"Lauren Portner, Chris Guinchard, Stephanie Peacock",none,100,1,0.1-5,NW,NA,NA,NA,1,9.3,1,NA,1,standard,NA
JE163,2015-06-09,J02,"Mack Bartlett, Chris Guinchard, Katie Chan",none,100,1,0.1-5,NW,NA,NA,NA,1,9.1,1,NA,1,standard,NA
JE164,2015-06-09,J10,"Mack Bartlett, Chris Guinchard, Katie Chan",none,75,3,10-15,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,net not set due to unfavourable conditions
JE165,2015-06-11,J05,"Lauren Portner, Chris Guinchard, Katie Chan",none,75,2,0.1-5,NE,NA,NA,NA,1,12.1,1,NA,1,standard,NA
JE166,2015-06-11,J07,"Lauren Portner, Chris Guinchard, Katie Chan",none,50,1,5-10,NW,NA,NA,NA,1,8.9,1,NA,1,standard,NA
JE167,2015-06-11,J06,"Lauren Portner, Chris Guinchard, Katie Chan",none,50,4,15-20,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,"fish not at depth, poor weather"
JE168,2015-06-12,J06,"Lauren Portner, Mack Bartlett, Katie Chan",none,75,1,5-10,NW,NA,NA,NA,1,8.2,1,NA,1,standard,NA
JE169,2015-06-13,J03,"Lauren Portner, Mack Bartlett, Chris Guinchard",none,50,2,5-10,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,"fish not at depth, poor weather"
JE170,2015-06-13,J01,"Lauren Portner, Mack Bartlett, Chris Guinchard",none,25,3,5-10,N,NA,NA,NA,0,NA,NA,NA,NA,standard,"fish not at depth, poor weather"
JE171,2015-06-13,J09,"Lauren Portner, Mack Bartlett, Chris Guinchard",none,25,1,5-10,SW,NA,NA,NA,2,11.3,1,NA,1,standard,NA
JE172,2015-06-14,J06,"Sean Godwin, Donnah MacKinnon, Samantha Crowley",none,0,1,5-10,SW,NA,NA,NA,4,13,1,NA,1,standard,NA
JE173,2015-06-14,J07,"Sean Godwin, Donnah MacKinnon, Samantha Crowley",none,25,1,0.1-5,NW,NA,NA,NA,1,12,1,NA,1,standard,NA
JE174,2015-06-14,J05,"Sean Godwin, Carson White, Melissa Orobko",none,25,3,10-15,S,NA,NA,NA,1,13.7,1,NA,1,standard,NA
JE175,2015-06-15,J04,"Sean Godwin, Carson White, Donnah MacKinnon",none,100,1,0.1-5,SW,NA,NA,NA,1,12.5,1,NA,1,standard,NA
JE176,2015-06-15,J08,"Sean Godwin, Donnah MacKinnon, Martin Krkosek",none,100,1,0.1-5,NW,NA,NA,NA,2,10.1,1,NA,1,standard,NA
JE177,2015-06-15,J03,"Sean Godwin, Carson White, Donnah MacKinnon",none,100,1,5-10,W,NA,NA,NA,2,11.9,1,NA,1,standard,NA
JE178,2015-06-15,J10,"Sean Godwin, Carson White, Donnah MacKinnon, Melissa Orobko",none,25,2,5-10,SW,NA,NA,NA,1,12.3,1,NA,1,standard,NA
JE179,2015-06-16,J01,"Samantha Crowley, Carson White, Donnah MacKinnon",none,100,1,0.1-5,NW,NA,NA,NA,1,11.4,1,NA,1,standard,NA
JE180,2015-06-16,J02,"Samantha Crowley, Carson White, Donnah MacKinnon",none,100,1,0.1-5,NW,NA,NA,NA,2,13.3,1,NA,1,standard,NA
JE181,2015-06-16,J09,"Samantha Crowley, Carson White, Donnah MacKinnon",none,75,1,5-10,NW,NA,NA,NA,2,10.8,1,NA,1,standard,NA
JE182,2015-06-17,J04,"Sean Godwin, Carson White, Samantha Crowley",none,100,1,0,NA,NA,NA,NA,1,9.6,1,NA,1,standard,NA
JE183,2015-06-17,J08,"Sean Godwin, Carson White, Samantha Crowley",none,75,1,0.1-5,N,NA,NA,NA,1,9.1,1,NA,1,standard,NA
