ufn,sample_id,analyzing_lab,quality_level,quality_flag,quality_log
U285,BRN1M-G11,NA,Technicianm,,
U229,BRN1M-A11,NA,Technicianm,,
U274,BRN1M-G12,NA,Technicianm,,
U275,BRN1M-F12,NA,Technicianm,,
U276,BRN1M-E12,NA,Technicianm,,
U277,BRN1M-D12,NA,Technicianm,,
U279,BRN1M-B12,NA,Technicianm,,
U280,BRN1M-A12,NA,Technicianm,,
U293,BRN2M-G1,NA,Technicianm,,
U291,BRN2M-E1,NA,Technicianm,,
U287,BRN2M-A1,NA,Technicianm,,
U302,BRN2M-G2,NA,Technicianm,,
U303,BRN2M-F2,NA,Technicianm,,
U331,BRN2M-G3,NA,Technicianm,,
U300,BRN2M-F3,NA,Technicianm,,
U295,BRN2M-A3,NA,Technicianm,,
U316,BRN2M-G4,NA,Technicianm,,
U317,BRN2M-F4,NA,Technicianm,,
U318,BRN2M-E4,NA,Technicianm,,
U319,BRN2M-D4,NA,Technicianm,,
U352,BRN2M-A4,NA,Technicianm,,
U321,BRN2M-H5,NA,Technicianm,,
U376,BRN2M-F5,NA,Technicianm,,
U377,BRN2M-E5,NA,Technicianm,,
U401,BRN2M-A5,NA,Technicianm,,
U310,BRN2M-G6,NA,Technicianm,,
U341,BRN2M-F6,NA,Technicianm,,
U342,BRN2M-E6,NA,Technicianm,,
U344,BRN2M-C6,NA,Technicianm,,
U340,BRN2M-H7,NA,Technicianm,,
U335,BRN2M-C7,NA,Technicianm,,
U334,BRN2M-B7,NA,Technicianm,,
U333,BRN2M-A7,NA,Technicianm,,
U354,BRN2M-G8,NA,Technicianm,,
U356,BRN2M-E8,NA,Technicianm,,
U358,BRN2M-C8,NA,Technicianm,,
U348,BRN2M-G9,NA,Technicianm,,
U350,BRN2M-E9,NA,Technicianm,,
U373,BRN2M-B9,NA,Technicianm,,
U367,BRN2M-G10,NA,Technicianm,,
U365,BRN2M-E10,NA,Technicianm,,
U363,BRN2M-C10,NA,Technicianm,,
U382,BRN2M-G11,NA,Technicianm,,
U383,BRN2M-F11,NA,Technicianm,,
U385,BRN2M-D11,NA,Technicianm,,
U386,BRN2M-C11,NA,Technicianm,,
U387,BRN2M-B11,NA,Technicianm,,
U396,BRN2M-H12,NA,Technicianm,,
U395,BRN2M-G12,NA,Technicianm,,
U392,BRN2M-D12,NA,Technicianm,,
U424,BRN3M-H1,NA,Technicianm,,
U423,BRN3M-G1,NA,Technicianm,,
U421,BRN3M-E1,NA,Technicianm,,
U398,BRN3M-B1,NA,Technicianm,,
U411,BRN3M-F2,NA,Technicianm,,
U412,BRN3M-E2,NA,Technicianm,,
U415,BRN3M-B2,NA,Technicianm,,
U442,BRN3M-H3,NA,Technicianm,,
U441,BRN3M-G3,NA,Technicianm,,
U430,BRN3M-F3,NA,Technicianm,,
U429,BRN3M-E3,NA,Technicianm,,
U428,BRN3M-D3,NA,Technicianm,,
U427,BRN3M-C3,NA,Technicianm,,
U418,BRN3M-G4,NA,Technicianm,,
U419,BRN3M-F4,NA,Technicianm,,
U420,BRN3M-E4,NA,Technicianm,,
U432,BRN3M-C4,NA,Technicianm,,
U322,BRN3M-H5,NA,Technicianm,,
U323,BRN3M-G5,NA,Technicianm,,
U325,BRN3M-E5,NA,Technicianm,,
U326,BRN3M-D5,NA,Technicianm,,
U498,BRN3M-A5,NA,Technicianm,,
U436,BRN3M-G6,NA,Technicianm,,
U437,BRN3M-F6,NA,Technicianm,,
U438,BRN3M-E6,NA,Technicianm,,
U439,BRN3M-D6,NA,Technicianm,,
U440,BRN3M-C6,NA,Technicianm,,
U449,BRN3M-G7,NA,Technicianm,,
U448,BRN3M-F7,NA,Technicianm,,
U447,BRN3M-E7,NA,Technicianm,,
U445,BRN3M-C7,NA,Technicianm,,
U402,BRN3M-H8,NA,Technicianm,,
U405,BRN3M-E8,NA,Technicianm,,
U407,BRN3M-C8,NA,Technicianm,,
U409,BRN3M-A8,NA,Technicianm,,
U467,BRN3M-H9,NA,Technicianm,,
U466,BRN3M-G9,NA,Technicianm,,
U465,BRN3M-F9,NA,Technicianm,,
U464,BRN3M-E9,NA,Technicianm,,
U462,BRN3M-C9,NA,Technicianm,,
U485,BRN3M-H10,NA,Technicianm,,
U470,BRN3M-C10,NA,Technicianm,,
U468,BRN3M-A10,NA,Technicianm,,
U492,BRN3M-F11,NA,Technicianm,,
U493,BRN3M-E11,NA,Technicianm,,
U495,BRN3M-C11,NA,Technicianm,,
U496,BRN3M-B11,NA,Technicianm,,
U512,BRN3M-H12,NA,Technicianm,,
U499,BRN3M-E12,NA,Technicianm,,
U488,BRN3M-C12,NA,Technicianm,,
U486,BRN3M-A12,NA,Technicianm,,
U500,BRN4M-H1,NA,Technicianm,,
U501,BRN4M-G1,NA,Technicianm,,
U504,BRN4M-D1,NA,Technicianm,,
U505,BRN4M-C1,NA,Technicianm,,
U507,BRN4M-A1,NA,Technicianm,,
U454,BRN4M-H2,NA,Technicianm,,
U456,BRN4M-F2,NA,Technicianm,,
U458,BRN4M-D2,NA,Technicianm,,
U514,BRN4M-G3,NA,Technicianm,,
U518,BRN4M-C3,NA,Technicianm,,
U508,BRN4M-H4,NA,Technicianm,,
U509,BRN4M-G4,NA,Technicianm,,
U510,BRN4M-F4,NA,Technicianm,,
U542,BRN4M-D4,NA,Technicianm,,
U544,BRN4M-B4,NA,Technicianm,,
U528,BRN4M-H5,NA,Technicianm,,
U527,BRN4M-G5,NA,Technicianm,,
U526,BRN4M-F5,NA,Technicianm,,
U525,BRN4M-E5,NA,Technicianm,,
U524,BRN4M-D5,NA,Technicianm,,
U523,BRN4M-C5,NA,Technicianm,,
U522,BRN4M-B5,NA,Technicianm,,
U521,BRN4M-A5,NA,Technicianm,,
U532,BRN4M-H7,NA,Technicianm,,
U533,BRN4M-G7,NA,Technicianm,,
U536,BRN4M-D7,NA,Technicianm,,
U548,BRN4M-F8,NA,Technicianm,,
U549,BRN4M-E8,NA,Technicianm,,
U550,BRN4M-D8,NA,Technicianm,,
U561,BRN4M-C8,NA,Technicianm,,
U556,BRN4M-H9,NA,Technicianm,,
U555,BRN4M-G9,NA,Technicianm,,
U553,BRN4M-E9,NA,Technicianm,,
U552,BRN4M-D9,NA,Technicianm,,
U530,BRN4M-B9,NA,Technicianm,,
U540,BRN4M-H10,NA,Technicianm,,
U582,BRN4M-F10,NA,Technicianm,,
U583,BRN4M-E10,NA,Technicianm,,
U558,BRN4M-B10,NA,Technicianm,,
U564,BRN4M-H11,NA,Technicianm,,
U565,BRN4M-G11,NA,Technicianm,,
U566,BRN4M-F11,NA,Technicianm,,
U568,BRN4M-C11,NA,Technicianm,,
U569,BRN4M-B11,NA,Technicianm,,
U574,BRN4M-H12,NA,Technicianm,,
U589,BRN4M-G12,NA,Technicianm,,
U573,BRN4M-F12,NA,Technicianm,,
U588,BRN4M-E12,NA,Technicianm,,
U560,BRN4M-B12,NA,Technicianm,,
U570,BRN5M-H1,NA,Technicianm,,
U330,BRN5M-F1,NA,Technicianm,,
U621,BRN5M-E1,NA,Technicianm,,
U632,BRN5M-C1,NA,Technicianm,,
U633,BRN5M-B1,NA,Technicianm,,
U634,BRN5M-A1,NA,Technicianm,,
U591,BRN5M-G2,NA,Technicianm,,
U593,BRN5M-E2,NA,Technicianm,,
U594,BRN5M-D2,NA,Technicianm,,
U597,BRN5M-A2,NA,Technicianm,,
U611,BRN5M-G3,NA,Technicianm,,
U575,BRN5M-A3,NA,Technicianm,,
U639,BRN5M-D4,NA,Technicianm,,
U619,BRN5M-H5,NA,Technicianm,,
U618,BRN5M-G5,NA,Technicianm,,
U616,BRN5M-D5,NA,Technicianm,,
U615,BRN5M-C5,NA,Technicianm,,
U598,BRN5M-H6,NA,Technicianm,,
U599,BRN5M-G6,NA,Technicianm,,
U653,BRN5M-C6,NA,Technicianm,,
U644,BRN5M-G7,NA,Technicianm,,
U646,BRN5M-E7,NA,Technicianm,,
U647,BRN5M-D7,NA,Technicianm,,
U659,BRN5M-H8,NA,Technicianm,,
U662,BRN5M-F8,NA,Technicianm,,
U625,BRN5M-D8,NA,Technicianm,,
U661,BRN5M-B8,NA,Technicianm,,
U620,BRN5M-A8,NA,Technicianm,,
U656,BRN5M-H9,NA,Technicianm,,
U671,BRN5M-E9,NA,Technicianm,,
U681,BRN5M-C9,NA,Technicianm,,
U682,BRN5M-B9,NA,Technicianm,,
U683,BRN5M-A9,NA,Technicianm,,
U673,BRN5M-G10,NA,Technicianm,,
U674,BRN5M-F10,NA,Technicianm,,
U701,BRN5M-H11,NA,Technicianm,,
U669,BRN5M-F11,NA,Technicianm,,
U667,BRN5M-D11,NA,Technicianm,,
U666,BRN5M-C11,NA,Technicianm,,
U665,BRN5M-B11,NA,Technicianm,,
U684,BRN5M-H12,NA,Technicianm,,
U685,BRN5M-G12,NA,Technicianm,,
U686,BRN5M-F12,NA,Technicianm,,
U688,BRN5M-D12,NA,Technicianm,,
U689,BRN5M-C12,NA,Technicianm,,
U690,BRN5M-B12,NA,Technicianm,,
U711,BRN5M-A12,NA,Technicianm,,
U628,BRN6M-H1,NA,Technicianm,,
U752,BRN6M-D1,NA,Technicianm,,
U753,BRN6M-C1,NA,Technicianm,,
U738,BRN6M-A1,NA,Technicianm,,
U708,BRN6M-G2,NA,Technicianm,,
U704,BRN6M-C2,NA,Technicianm,,
U703,BRN6M-B2,NA,Technicianm,,
U702,BRN6M-A2,NA,Technicianm,,
U679,BRN6M-H3,NA,Technicianm,,
U680,BRN6M-G3,NA,Technicianm,,
U721,BRN6M-F3,NA,Technicianm,,
U722,BRN6M-E3,NA,Technicianm,,
U712,BRN6M-H4,NA,Technicianm,,
U713,BRN6M-G4,NA,Technicianm,,
U715,BRN6M-E4,NA,Technicianm,,
U737,BRN6M-H5,NA,Technicianm,,
U735,BRN6M-F5,NA,Technicianm,,
U732,BRN6M-C5,NA,Technicianm,,
U731,BRN6M-B5,NA,Technicianm,,
U727,BRN6M-H6,NA,Technicianm,,
U729,BRN6M-F6,NA,Technicianm,,
U784,BRN6M-A6,NA,Technicianm,,
U763,BRN6M-E7,NA,Technicianm,,
U765,BRN6M-C7,NA,Technicianm,,
U766,BRN6M-B7,NA,Technicianm,,
U767,BRN6M-A7,NA,Technicianm,,
U788,BRN6M-E8,NA,Technicianm,,
U791,BRN6M-B8,NA,Technicianm,,
U774,BRN6M-F9,NA,Technicianm,,
U773,BRN6M-E9,NA,Technicianm,,
U770,BRN6M-F10,NA,Technicianm,,
U801,BRN6M-E10,NA,Technicianm,,
U802,BRN6M-D10,NA,Technicianm,,
U803,BRN6M-B10,NA,Technicianm,,
U804,BRN6M-A10,NA,Technicianm,,
U755,BRN6M-H11,NA,Technicianm,,
U795,BRN6M-E11,NA,Technicianm,,
U799,BRN6M-A11,NA,Technicianm,,
U813,BRN6M-F12,NA,Technicianm,,
U811,BRN6M-D12,NA,Technicianm,,
U780,BRN6M-C12,NA,Technicianm,,
U779,BRN6M-B12,NA,Technicianm,,
U805,BRN7M-H1,NA,Technicianm,,
U822,BRN7M-A1,NA,Technicianm,,
U758,BRN7M-F2,NA,Technicianm,,
U759,BRN7M-E2,NA,Technicianm,,
U847,BRN7M-A2,NA,Technicianm,,
U800,BRN7M-H3,NA,Technicianm,,
U834,BRN7M-D3,NA,Technicianm,,
U835,BRN7M-C3,NA,Technicianm,,
U836,BRN7M-B3,NA,Technicianm,,
U843,BRN7M-H4,NA,Technicianm,,
U842,BRN7M-G4,NA,Technicianm,,
U841,BRN7M-F4,NA,Technicianm,,
U820,BRN7M-E4,NA,Technicianm,,
U818,BRN7M-C4,NA,Technicianm,,
U817,BRN7M-B4,NA,Technicianm,,
U824,BRN7M-G5,NA,Technicianm,,
U839,BRN7M-D5,NA,Technicianm,,
U825,BRN7M-C5,NA,Technicianm,,
U827,BRN7M-A5,NA,Technicianm,,
U862,BRN7M-F6,NA,Technicianm,,
U864,BRN7M-D6,NA,Technicianm,,
U866,BRN7M-B6,NA,Technicianm,,
U870,BRN7M-H7,NA,Technicianm,,
U869,BRN7M-F7,NA,Technicianm,,
U868,BRN7M-E7,NA,Technicianm,,
U848,BRN7M-A7,NA,Technicianm,,
U829,BRN7M-G8,NA,Technicianm,,
U881,BRN7M-E8,NA,Technicianm,,
U893,BRN7M-F9,NA,Technicianm,,
U851,BRN7M-E9,NA,Technicianm,,
U894,BRN7M-D9,NA,Technicianm,,
U895,BRN7M-C9,NA,Technicianm,,
U897,BRN7M-A9,NA,Technicianm,,
U889,BRN7M-E10,NA,Technicianm,,
U890,BRN7M-D10,NA,Technicianm,,
U852,BRN7M-A10,NA,Technicianm,,
U899,BRN7M-H11,NA,Technicianm,,
U900,BRN7M-G11,NA,Technicianm,,
U853,BRN7M-D11,NA,Technicianm,,
U913,BRN7M-C11,NA,Technicianm,,
U902,BRN7M-H12,NA,Technicianm,,
U903,BRN7M-G12,NA,Technicianm,,
U908,BRN7M-B12,NA,Technicianm,,
U878,BRN8M-G1,NA,Technicianm,,
U877,BRN8M-F1,NA,Technicianm,,
U875,BRN8M-D1,NA,Technicianm,,
U874,BRN8M-C1,NA,Technicianm,,
U873,BRN8M-B1,NA,Technicianm,,
U910,BRN8M-H2,NA,Technicianm,,
U935,BRN8M-C2,NA,Technicianm,,
U936,BRN8M-B2,NA,Technicianm,,
U854,BRN8M-H3,NA,Technicianm,,
U856,BRN8M-F3,NA,Technicianm,,
U858,BRN8M-D3,NA,Technicianm,,
U859,BRN8M-C3,NA,Technicianm,,
U860,BRN8M-B3,NA,Technicianm,,
U916,BRN8M-H4,NA,Technicianm,,
U918,BRN8M-F4,NA,Technicianm,,
U919,BRN8M-E4,NA,Technicianm,,
U920,BRN8M-D4,NA,Technicianm,,
U927,BRN8M-H5,NA,Technicianm,,
U926,BRN8M-G5,NA,Technicianm,,
U925,BRN8M-F5,NA,Technicianm,,
U880,BRN8M-A5,NA,Technicianm,,
U939,BRN8M-G6,NA,Technicianm,,
U951,BRN8M-E6,NA,Technicianm,,
U952,BRN8M-D6,NA,Technicianm,,
U953,BRN8M-C6,NA,Technicianm,,
U984,BRN8M-G7,NA,Technicianm,,
U982,BRN8M-E7,NA,Technicianm,,
U981,BRN8M-D7,NA,Technicianm,,
U929,BRN8M-B7,NA,Technicianm,,
U966,BRN8M-F8,NA,Technicianm,,
U970,BRN8M-B8,NA,Technicianm,,
U944,BRN8M-F9,NA,Technicianm,,
U1006,BRN8M-A9,NA,Technicianm,,
U956,BRN8M-H10,NA,Technicianm,,
U957,BRN8M-G10,NA,Technicianm,,
U959,BRN8M-E10,NA,Technicianm,,
U1002,BRN8M-B10,NA,Technicianm,,
U1003,BRN8M-A10,NA,Technicianm,,
U992,BRN8M-H11,NA,Technicianm,,
U994,BRN8M-F11,NA,Technicianm,,
U997,BRN8M-C11,NA,Technicianm,,
U999,BRN8M-A11,NA,Technicianm,,
U1013,BRN8M-H12,NA,Technicianm,,
U1011,BRN8M-F12,NA,Technicianm,,
U988,BRN8M-C12,NA,Technicianm,,
U948,BRN9M-G1,NA,Technicianm,,
U1034,BRN9M-A1,NA,Technicianm,,
U1020,BRN9M-G2,NA,Technicianm,,
U1018,BRN9M-E2,NA,Technicianm,,
U1015,BRN9M-B2,NA,Technicianm,,
U1014,BRN9M-A2,NA,Technicianm,,
U1000,BRN9M-H3,NA,Technicianm,,
U1021,BRN9M-G3,NA,Technicianm,,
U1022,BRN9M-F3,NA,Technicianm,,
U1023,BRN9M-E3,NA,Technicianm,,
U1025,BRN9M-C3,NA,Technicianm,,
U1008,BRN9M-G4,NA,Technicianm,,
U1009,BRN9M-F4,NA,Technicianm,,
U1010,BRN9M-E4,NA,Technicianm,,
U1057,BRN9M-F5,NA,Technicianm,,
U1056,BRN9M-E5,NA,Technicianm,,
U1054,BRN9M-C5,NA,Technicianm,,
U1053,BRN9M-B5,NA,Technicianm,,
U1052,BRN9M-A5,NA,Technicianm,,
U1045,BRN9M-H6,NA,Technicianm,,
U1047,BRN9M-F6,NA,Technicianm,,
U1048,BRN9M-E6,NA,Technicianm,,
U1072,BRN9M-A6,NA,Technicianm,,
U1028,BRN9M-H7,NA,Technicianm,,
U1030,BRN9M-F7,NA,Technicianm,,
U1091,BRN9M-E7,NA,Technicianm,,
U1095,BRN9M-A7,NA,Technicianm,,
U1038,BRN9M-E8,NA,Technicianm,,
U1040,BRN9M-B8,NA,Technicianm,,
U1081,BRN9M-A8,NA,Technicianm,,
U1073,BRN9M-H9,NA,Technicianm,,
U1074,BRN9M-G9,NA,Technicianm,,
U1075,BRN9M-F9,NA,Technicianm,,
U1079,BRN9M-B9,NA,Technicianm,,
U1080,BRN9M-A9,NA,Technicianm,,
U1082,BRN9M-H10,NA,Technicianm,,
U1083,BRN9M-G10,NA,Technicianm,,
U1096,BRN9M-F10,NA,Technicianm,,
U1098,BRN9M-D10,NA,Technicianm,,
U1099,BRN9M-C10,NA,Technicianm,,
U1131,BRN9M-A10,NA,Technicianm,,
U1065,BRN9M-F11,NA,Technicianm,,
U1063,BRN9M-D11,NA,Technicianm,,
U1062,BRN9M-C11,NA,Technicianm,,
U1060,BRN9M-A11,NA,Technicianm,,
U1084,BRN9M-H12,NA,Technicianm,,
U1086,BRN9M-F12,NA,Technicianm,,
U1087,BRN9M-E12,NA,Technicianm,,
U1090,BRN9M-B12,NA,Technicianm,,
U1101,BRN9M-A12,NA,Technicianm,,
U1123,BRN10M-F1,NA,Technicianm,,
U1125,BRN10M-D1,NA,Technicianm,,
U1126,BRN10M-C1,NA,Technicianm,,
U1127,BRN10M-B1,NA,Technicianm,,
U1128,BRN10M-A1,NA,Technicianm,,
U1102,BRN10M-H2,NA,Technicianm,,
U1106,BRN10M-D2,NA,Technicianm,,
U1107,BRN10M-C2,NA,Technicianm,,
U1108,BRN10M-B2,NA,Technicianm,,
U1132,BRN10M-H3,NA,Technicianm,,
U1136,BRN10M-D3,NA,Technicianm,,
U1144,BRN10M-G4,NA,Technicianm,,
U1143,BRN10M-F4,NA,Technicianm,,
U1142,BRN10M-E4,NA,Technicianm,,
U1141,BRN10M-D4,NA,Technicianm,,
U1068,BRN10M-A4,NA,Technicianm,,
U1139,BRN10M-H5,NA,Technicianm,,
U1163,BRN10M-C5,NA,Technicianm,,
U1164,BRN10M-B5,NA,Technicianm,,
U1130,BRN10M-H6,NA,Technicianm,,
U1152,BRN10M-F6,NA,Technicianm,,
U1154,BRN10M-D6,NA,Technicianm,,
U1171,BRN10M-G7,NA,Technicianm,,
U1173,BRN10M-E7,NA,Technicianm,,
U1174,BRN10M-D7,NA,Technicianm,,
U1176,BRN10M-B7,NA,Technicianm,,
U1193,BRN10M-H8,NA,Technicianm,,
U1191,BRN10M-F8,NA,Technicianm,,
U1150,BRN10M-E8,NA,Technicianm,,
U1149,BRN10M-D8,NA,Technicianm,,
U1148,BRN10M-C8,NA,Technicianm,,
U1147,BRN10M-B8,NA,Technicianm,,
U1146,BRN10M-A8,NA,Technicianm,,
U1167,BRN10M-H9,NA,Technicianm,,
U1211,BRN10M-D9,NA,Technicianm,,
U1213,BRN10M-B9,NA,Technicianm,,
U1159,BRN10M-G10,NA,Technicianm,,
U1160,BRN10M-F10,NA,Technicianm,,
U1201,BRN10M-E10,NA,Technicianm,,
U1202,BRN10M-D10,NA,Technicianm,,
U1203,BRN10M-C10,NA,Technicianm,,
U1204,BRN10M-B10,NA,Technicianm,,
U1200,BRN10M-G11,NA,Technicianm,,
U1199,BRN10M-F11,NA,Technicianm,,
U1198,BRN10M-E11,NA,Technicianm,,
U1178,BRN10M-H12,NA,Technicianm,,
U1180,BRN10M-F12,NA,Technicianm,,
U1232,BRN10M-D12,NA,Technicianm,,
U1208,BRN11M-F1,NA,Technicianm,,
U1209,BRN11M-E1,NA,Technicianm,,
U1242,BRN11M-B1,NA,Technicianm,,
U1229,BRN11M-H2,NA,Technicianm,,
U1228,BRN11M-G2,NA,Technicianm,,
U1227,BRN11M-F2,NA,Technicianm,,
U1226,BRN11M-E2,NA,Technicianm,,
U1225,BRN11M-D2,NA,Technicianm,,
U1224,BRN11M-C2,NA,Technicianm,,
U1222,BRN11M-A2,NA,Technicianm,,
U1215,BRN11M-H3,NA,Technicianm,,
U1217,BRN11M-F3,NA,Technicianm,,
U1218,BRN11M-E3,NA,Technicianm,,
U1219,BRN11M-D3,NA,Technicianm,,
U1220,BRN11M-C3,NA,Technicianm,,
U1251,BRN11M-B3,NA,Technicianm,,
U1244,BRN11M-H4,NA,Technicianm,,
U1245,BRN11M-G4,NA,Technicianm,,
U1246,BRN11M-F4,NA,Technicianm,,
U1247,BRN11M-E4,NA,Technicianm,,
U1248,BRN11M-D4,NA,Technicianm,,
U1249,BRN11M-C4,NA,Technicianm,,
U1256,BRN11M-E5,NA,Technicianm,,
U1257,BRN11M-D5,NA,Technicianm,,
U1259,BRN11M-B5,NA,Technicianm,,
U1260,BRN11M-A5,NA,Technicianm,,
U1268,BRN11M-H6,NA,Technicianm,,
U1267,BRN11M-G6,NA,Technicianm,,
U1265,BRN11M-E6,NA,Technicianm,,
U1264,BRN11M-D6,NA,Technicianm,,
U1262,BRN11M-B6,NA,Technicianm,,
U1261,BRN11M-A6,NA,Technicianm,,
U1236,BRN11M-G7,NA,Technicianm,,
U1237,BRN11M-F7,NA,Technicianm,,
U1239,BRN11M-D7,NA,Technicianm,,
U1291,BRN11M-B7,NA,Technicianm,,
U1282,BRN11M-G8,NA,Technicianm,,
U1284,BRN11M-E8,NA,Technicianm,,
U1285,BRN11M-D8,NA,Technicianm,,
U1286,BRN11M-C8,NA,Technicianm,,
U1287,BRN11M-B8,NA,Technicianm,,
U1272,BRN11M-H9,NA,Technicianm,,
U1278,BRN11M-B9,NA,Technicianm,,
U1306,BRN11M-H10,NA,Technicianm,,
U1305,BRN11M-G10,NA,Technicianm,,
U1303,BRN11M-E10,NA,Technicianm,,
U1270,BRN11M-B10,NA,Technicianm,,
U1311,BRN11M-G11,NA,Technicianm,,
U1312,BRN11M-F11,NA,Technicianm,,
U1314,BRN11M-D11,NA,Technicianm,,
U1315,BRN11M-C11,NA,Technicianm,,
U1317,BRN11M-A11,NA,Technicianm,,
U1290,BRN11M-G12,NA,Technicianm,,
U1323,BRN11M-D12,NA,Technicianm,,
U1325,BRN11M-B12,NA,Technicianm,,
U1294,BRN12M-G1,NA,Technicianm,,
U1296,BRN12M-E1,NA,Technicianm,,
U1299,BRN12M-B1,NA,Technicianm,,
U1300,BRN12M-A1,NA,Technicianm,,
U1333,BRN12M-G2,NA,Technicianm,,
U1310,BRN12M-D2,NA,Technicianm,,
U1307,BRN12M-A2,NA,Technicianm,,
U1330,BRN12M-E3,NA,Technicianm,,
U1351,BRN12M-D3,NA,Technicianm,,
U1354,BRN12M-A3,NA,Technicianm,,
U1318,BRN12M-H4,NA,Technicianm,,
U1320,BRN12M-F4,NA,Technicianm,,
U1365,BRN12M-A4,NA,Technicianm,,
U471,BRN12M-G5,NA,Technicianm,,
U1340,BRN12M-F5,NA,Technicianm,,
U1339,BRN12M-E5,NA,Technicianm,,
U1338,BRN12M-D5,NA,Technicianm,,
U1337,BRN12M-C5,NA,Technicianm,,
U1336,BRN12M-B5,NA,Technicianm,,
U1344,BRN12M-E6,NA,Technicianm,,
U1347,BRN12M-B6,NA,Technicianm,,
U1348,BRN12M-A6,NA,Technicianm,,
U1356,BRN12M-G7,NA,Technicianm,,
U1357,BRN12M-F7,NA,Technicianm,,
U1358,BRN12M-E7,NA,Technicianm,,
U1360,BRN12M-C7,NA,Technicianm,,
U692,BRN12M-A7,NA,Technicianm,,
U1367,BRN12M-G8,NA,Technicianm,,
U1368,BRN12M-F8,NA,Technicianm,,
U1369,BRN12M-E8,NA,Technicianm,,
U602,BRN12M-B8,NA,Technicianm,,
U603,BRN12M-A8,NA,Technicianm,,
U478,BRN12M-F9,NA,Technicianm,,
U477,BRN12M-E9,NA,Technicianm,,
U474,BRN12M-B9,NA,Technicianm,,
U473,BRN12M-A9,NA,Technicianm,,
U741,BRN12M-F10,NA,Technicianm,,
U743,BRN12M-D10,NA,Technicianm,,
U693,BRN12M-H11,NA,Technicianm,,
U694,BRN12M-G11,NA,Technicianm,,
U697,BRN12M-D11,NA,Technicianm,,
U699,BRN12M-B11,NA,Technicianm,,
U605,BRN12M-G12,NA,Technicianm,,
U606,BRN12M-E12,NA,Technicianm,,
U979,BRN13M-H1,NA,Technicianm,,
U975,BRN13M-E1,NA,Technicianm,,
U973,BRN13M-C1,NA,Technicianm,,
U1114,BRN13M-E2,NA,Technicianm,,
U747,BRN13M-H3,NA,Technicianm,,
U1373,BRN13M-B3,NA,Technicianm,,
U1374,BRN13M-A3,NA,Technicianm,,
U1182,BRN13M-G4,NA,Technicianm,,
U1183,BRN13M-F4,NA,Technicianm,,
U1184,BRN13M-E4,NA,Technicianm,,
U1185,BRN13M-D4,NA,Technicianm,,
U1187,BRN13M-B4,NA,Technicianm,,
U1118,BRN13M-D5,NA,Technicianm,,
