eventID,resourceID,relationshipOfResource,relationshipOfResourceID,relatedResourceID
JE105N2,U64-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U64
JE105N2,U65-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U65
JE105N2,U66-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U66
JE105N2,U68-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U68
JE105N2,U79-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U79
JE107N2,U81-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U81
JE107N2,U82-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U82
JE105N2,U95-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U95
JE107N2,U97-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U97
JE107N2,U86-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U86
JE107N2,U88-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U88
JE107N2,U104-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U104
JE105N2,U106-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U106
JE107N2,U107-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U107
JE107N2,U108-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U108
JE107N2,U113-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U113
JE105N2,U115-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U115
JE107N2,U116-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U116
JE107N2,U116-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U116
JE107N2,U123-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U123
JE107N2,U109-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U109
JE108N2,U119-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U119
JE108N2,U100-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U100
JE108N2,U152-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U152
JE108N2,U141-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U141
JE108N2,U144-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U144
JE108N2,U155-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U155
JE104N1,U156-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U156
JE104N1,U158-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U158
JE108N2,U146-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U146
JE104N1,U135-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U135
JE104N1,U138-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U138
JE104N1,U139-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U139
JE108N2,U181-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U181
JE109N3,U182-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U182
JE108N2,U164-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U164
JE109N3,U185-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U185
JE109N3,U186-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U186
JE104N1,U179-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U179
JE109N3,U167-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U167
JE109N3,U168-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U168
JE104N1,U170-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U170
JE104N1,U201-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U201
JE104N1,U202-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U202
JE104N1,U192-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U192
JE104N1,U193-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U193
JE106N4,U197-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U197
DE115N2,U216-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U216
DE115N2,U217-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U217
DE115N2,U233-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U233
DE115N2,U233-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U233
DE115N2,U218-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U218
DE163N1,U221-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U221
DE163N1,U222-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U222
DE231N2,U223-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U223
DE163N1,U242-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U242
DE163N1,U243-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U243
DE163N1,U244-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U244
DE231N2,U246-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U246
DE163N1,U238-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U238
DE231N2,U240-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U240
DE231N2,U247-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U247
DE231N2,U248-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U248
DE240N1,U249-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U249
DE231N2,U253-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U253
DE240N1,U254-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U254
DE240N1,U224-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U224
DE240N1,U225-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U225
DE152N3,U227-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U227
DE152N3,U228-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U228
DE152N3,U265-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U265
DE240N1,U256-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U256
DE152N3,U257-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U257
DE152N3,U259-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U259
DE240N1,U260-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U260
DE240N1,U129-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U129
DE111N1,U230-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U230
DE111N1,U274-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U274
DE105N1,U291-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U291
DE105N1,U268-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U268
DE158N2,U277-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U277
DE158N2,U130-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U130
DE107N1,U292-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U292
DE107N1,U293-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U293
DE107N1,U295-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U295
DE106N1,U297-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U297
DE107N1,U312-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U312
DE105N1,U280-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U280
DE107N1,U303-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U303
DE121N1,U299-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U299
DE121N1,U300-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U300
DE121N1,U331-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U331
DE130N1,U334-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U334
DE121N1,U318-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U318
DE121N1,U319-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U319
DE130N1,U320-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U320
DE121N1,U307-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U307
DE121N1,U308-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U308
DE130N1,U310-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U310
DE130N1,U341-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U341
DE130N1,U335-hakai-jsp-sea-louse-Lepeophtheirus salmonis,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U335
DE130N1,U336-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U336
DE130N1,U351-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U351
DE112N1,U355-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U355
DE130N1,U342-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U342
DE112N1,U347-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U347
DE112N1,U348-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U348
DE112N1,U363-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U363
DE112N1,U357-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U357
DE112N1,U349-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U349
DE110N1,U368-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U368
DE110N1,U370-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U370
DE102N1,U385-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U385
DE102N1,U386-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U386
DE116N1,U396-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U396
DE116N1,U397-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U397
DE128N4,U400-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U400
DE114N1,U411-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U411
DE128N4,U412-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U412
DE116N1,U375-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U375
DE116N1,U378-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U378
DE128N4,U422-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U422
DE128N4,U424-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U424
DE128N4,U413-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U413
DE128N4,U414-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U414
DE140N1,U325-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U325
DE139N1,U441-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U441
DE139N1,U437-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U437
DE140N1,U326-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U326
DE149N1,U446-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U446
DE139N1,U438-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U438
DE149N1,U440-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U440
DE149N1,U451-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U451
DE149N1,U452-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U452
DE137N1,U405-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U405
DE137N1,U407-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U407
DE137N1,U461-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U461
DE137N1,U462-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U462
DE137N1,U463-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U463
DE120N2,U468-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U468
DE120N2,U469-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U469
DE120N2,U328-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U328
DE124N1,U484-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U484
DE124N1,U486-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U486
DE150N3,U487-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U487
DE150N3,U488-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U488
DE124N1,U494-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U494
DE124N1,U495-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U495
DE150N3,U499-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U499
DE150N3,U512-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U512
DE117N1,U454-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U454
DE109N1,U458-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U458
DE150N3,U501-hakai-jsp-sea-louse-Caligus clemensi,ectopatasite of,http://purl.obolibrary.org/obo/RO_0002632,hakai-jsp-U501
