sample_id,position,container_id
S12410FC1,10,JW51
S12411FC1,11,JW51
S12412FC1,12,JW51
S12413FC1,13,JW51
S12414FC1,14,JW51
S12415FC1,15,JW51
S12416FC1,16,JW51
S12417FC1,17,JW51
S12418FC1,18,JW51
S12419FC1,19,JW51
S12420FC1,20,JW51
S12421FC1,21,JW51
S12422FC1,22,JW51
S12423FC1,23,JW51
S12551FC1,1,JW52
S12552FC1,2,JW52
S12553FC1,3,JW52
S12554FC1,4,JW52
S12555FC1,5,JW52
S12556FC1,6,JW52
S12557FC1,7,JW52
S12561FC1,1,JW53
S12562FC1,2,JW53
S12563FC1,3,JW53
S12564FC1,4,JW53
S12565FC1,5,JW53
S12566FC1,6,JW53
S12567FC1,7,JW53
S12568FC1,8,JW53
S12569FC1,9,JW53
S12570FC1,10,JW53
S12571FC1,11,JW53
S12572FC1,12,JW53
S12573FC1,13,JW53
S12574FC1,14,JW53
S12575FC1,15,JW53
S12576FC1,16,JW53
S12577FC1,17,JW53
S12578FC1,18,JW53
S12579FC1,19,JW53
S12580FC1,20,JW53
S12581FC1,21,JW53
S12582FC1,22,JW53
S12583FC1,23,JW53
S12584FC1,24,JW53
S12585FC1,25,JW53
S12586FC1,26,JW53
S12587FC1,27,JW53
S12588FC1,28,JW53
S12589FC1,29,JW53
S12590FC1,30,JW53
S12641FC1,1,JW54
S12642FC1,2,JW54
S12643FC1,3,JW54
S12644FC1,4,JW54
S12645FC1,5,JW54
S12646FC1,6,JW54
S12647FC1,7,JW54
S12648FC1,8,JW54
S12649FC1,9,JW54
S12650FC1,10,JW54
S12651FC1,11,JW54
S12652FC1,12,JW54
S12653FC1,13,JW54
S12654FC1,14,JW54
S12655FC1,15,JW54
S12656FC1,16,JW54
S12657FC1,17,JW54
S12658FC1,18,JW54
S12659FC1,19,JW54
S12660FC1,20,JW54
S12661FC1,21,JW54
S12662FC1,22,JW54
S12663FC1,23,JW54
S12664FC1,24,JW54
S12665FC1,25,JW54
S12666FC1,26,JW54
S12667FC1,27,JW54
S12668FC1,28,JW54
S12669FC1,29,JW54
S12670FC1,30,JW54
S12721FC1,1,JW55
S12722FC1,2,JW55
S12723FC1,3,JW55
S12724FC1,4,JW55
S12725FC1,5,JW55
S12726FC1,6,JW55
S12727FC1,7,JW55
S12728FC1,8,JW55
S12729FC1,9,JW55
S12730FC1,10,JW55
S12731FC1,11,JW55
S12732FC1,12,JW55
S12733FC1,13,JW55
S12734FC1,14,JW55
S12735FC1,15,JW55
S12736FC1,16,JW55
S12737FC1,17,JW55
S12738FC1,18,JW55
S12739FC1,19,JW55
S12740FC1,20,JW55
S12741FC1,21,JW55
S12742FC1,22,JW55
S12743FC1,23,JW55
S12744FC1,24,JW55
S12745FC1,25,JW55
S12746FC1,26,JW55
S12747FC1,27,JW55
S12748FC1,28,JW55
S12749FC1,29,JW55
S12750FC1,30,JW55
S12801FC1,1,JW56
S12802FC1,2,JW56
S12803FC1,3,JW56
S12804FC1,4,JW56
S12805FC1,5,JW56
S12806FC1,6,JW56
S12807FC1,7,JW56
S12808FC1,8,JW56
S12809FC1,9,JW56
S12810FC1,10,JW56
S12811FC1,11,JW56
S12812FC1,12,JW56
S12813FC1,13,JW56
S12814FC1,14,JW56
S12815FC1,15,JW56
S12816FC1,16,JW56
S12817FC1,17,JW56
S12818FC1,18,JW56
S12819FC1,19,JW56
S12820FC1,20,JW56
S12821FC1,21,JW56
S12822FC1,22,JW56
S12823FC1,23,JW56
S12824FC1,24,JW56
S12825FC1,25,JW56
S12826FC1,26,JW56
S12827FC1,27,JW56
S12828FC1,28,JW56
S12829FC1,29,JW56
S12830FC1,30,JW56
S12881FC1,1,JW57
S12882FC1,2,JW57
S12883FC1,3,JW57
S12884FC1,4,JW57
S12885FC1,5,JW57
S12886FC1,6,JW57
S12887FC1,7,JW57
S12888FC1,8,JW57
S12889FC1,9,JW57
S12890FC1,10,JW57
S12891FC1,11,JW57
S12892FC1,12,JW57
S12893FC1,13,JW57
S12894FC1,14,JW57
S12895FC1,15,JW57
S12896FC1,16,JW57
S12897FC1,17,JW57
S12898FC1,18,JW57
S12899FC1,19,JW57
S12900FC1,20,JW57
S12901FC1,21,JW57
S12902FC1,22,JW57
S12903FC1,23,JW57
S12904FC1,24,JW57
S12905FC1,25,JW57
S12906FC1,26,JW57
S12951FC1,27,JW57
S12952FC1,28,JW57
S12953FC1,29,JW57
S12954FC1,30,JW57
S12961FC1,1,JW58
S12962FC1,2,JW58
S12963FC1,3,JW58
S12964FC1,4,JW58
S12965FC1,5,JW58
S12966FC1,6,JW58
S12967FC1,7,JW58
S12968FC1,8,JW58
S12969FC1,9,JW58
S12970FC1,10,JW58
S12971FC1,11,JW58
S12972FC1,12,JW58
S12973FC1,13,JW58
S12974FC1,14,JW58
S12975FC1,15,JW58
S12976FC1,16,JW58
S12977FC1,17,JW58
S12978FC1,18,JW58
S12979FC1,19,JW58
S12980FC1,20,JW58
S12981FC1,21,JW58
S12982FC1,22,JW58
S12983FC1,23,JW58
S12984FC1,24,JW58
S12985FC1,25,JW58
S12986FC1,26,JW58
S12987FC1,27,JW58
S12988FC1,28,JW58
S12989FC1,29,JW58
S12990FC1,30,JW58
S13201FC1,1,JW61
