sample_id,location
S290FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S291FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S292FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S293FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S294FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S295FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S296FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S297FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S298FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S299FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S300FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S301FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S302FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S303FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S304FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S305FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S306FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S307FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA104
S308FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA104
S309FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S310FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S311FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S312FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S313FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S315FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S316FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S317FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA104
S318FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA104
S319FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S320FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S321FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S322FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S323FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S324FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S325FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S326FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S327FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S328FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S329FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S330FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 50 / BFASO8
S331FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S332FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S333FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S334FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S335FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S336FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S337FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S338FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S339FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S340FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S341FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S342FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S343FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S344FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S345FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S346FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S347FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S348FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S349FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S350FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S351FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S352FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S353FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S354FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S355FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S356FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S357FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S358FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S359FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S360FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S361FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S362FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S363FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S364FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S365FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S366FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S367FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S368FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S369FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S370FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S371FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S372FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S373FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S374FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S375FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S376FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S377FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S378FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S379FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S380FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S381FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S382FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 15 / BFASO3
S383FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S384FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S385FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S386FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S387FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S388FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S389FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S390FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S391FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S392FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S393FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S394FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S395FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S396FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S397FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S398FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S399FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S400FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S401FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S402FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S403FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S404FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S405FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S406FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S407FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S408FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S409FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S410FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S411FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S412FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S413FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S414FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S415FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S416FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S417FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S418FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S419FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S420FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S421FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S422FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S423FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S424FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S425FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S426FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S427FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S428FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S429FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S430FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S431FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S432FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S433FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 13 / BFASO4
S434FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S435FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S436FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S437FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S438FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S439FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S440FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S441FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S442FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S443FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S444FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S445FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA103
S446FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S447FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S448FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S449FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S450FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S451FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S452FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S453FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S454FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S455FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S456FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S457FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S458FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S459FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S460FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S461FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S462FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S463FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S464FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S465FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S466FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S467FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S468FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S469FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S470FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S471FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S472FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S473FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S474FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S475FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA14
S476FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S477FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA14
S478FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA14
S479FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 12 / BFASO22
S480FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA14
S481FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S482FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S483FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S484FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S485FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S486FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S487FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S489FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S490FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S491FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S492FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 9 / BFASO5
S493FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S494FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S495FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S496FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S497FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S498FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S499FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S500FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S501FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S502FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S503FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S504FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S505FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S506FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S507FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S508FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S509FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S510FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S511FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S512FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S513FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S514FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S515FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S516FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S517FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S518FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S519FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S520FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S521FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S522FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S523FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S524FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S525FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S526FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S527FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S528FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S529FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S530FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S531FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 10 / BFASO6
S532FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S533FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S534FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S535FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S536FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S537FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S538FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S539FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S540FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S541FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S542FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S543FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S544FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S545FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA105
S546FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S547FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S548FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S549FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA12
S550FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S551FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S552FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S553FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
S554FA1,Prep -80 Freezer #1 / Shelf 1 / Tray 16 / BFASO7
