sample_id,container_cell,location
S10082IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10127IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10563IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10562IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10568IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10561IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10567IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10570IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12803IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12805IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12807IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12698IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12695IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S12693IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10132IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10133IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10134IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11167IS1,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11168IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11169IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11163IS1,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11164IS1,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11161IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11165IS1,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11322IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11323IS1,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S11321IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10601IS1,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10126IS1,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10125IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10603IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10083IS1,97,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10602IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10129IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S4762IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4763IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4764IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4765IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4766IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4767IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4768IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4769IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4770IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S4771IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S12765IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S12770IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S12766IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S12767IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S12763IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11410IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11408IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11409IS1,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11405IS1,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11407IS1,41,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11404IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11406IS1,45,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11401IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11402IS1,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11403IS1,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13082IS1,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13088IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13090IS1,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13086IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13087IS1,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13081IS1,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13083IS1,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13084IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S13085IS1,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10925IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10923IS1,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10926IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10930IS1,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10927IS1,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10284IS1,81,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10283IS1,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10281IS1,85,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10288IS1,87,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10289IS1,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10290IS1,92,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10286IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10282IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10287IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S10285IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS12
S11322IS2,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10564IS2,2,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11323IS2,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10565IS2,4,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10125IS2,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10566IS2,6,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11321IS2,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10126IS2,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10131IS1,11,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10127IS2,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10604IS1,13,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10601IS2,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10605IS1,15,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10562IS2,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10606IS1,17,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10701IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10594IS1,19,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11311IS2,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10751IS2,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10595IS1,22,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10752IS2,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10564IS1,24,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10595IS2,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10565IS1,26,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10594IS2,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10566IS1,28,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10591IS2,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10592IS2,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10593IS2,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10301IS2,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10622IS2,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10621IS2,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10623IS2,41,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10701IS2,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10782IS2,45,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10781IS2,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10603IS2,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11169IS2,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11168IS2,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11167IS2,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10134IS2,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10133IS2,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10131IS2,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10132IS2,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10561IS2,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10563IS2,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10082IS2,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10081IS2,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11122IS2,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11121IS2,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11123IS2,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10112IS2,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10111IS2,81,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10271IS2,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S5073IS2,85,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S5074IS2,87,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S5075IS2,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10606IS2,92,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10605IS2,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10604IS2,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11281IS1,97,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11282IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10083IS2,99,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S10602IS2,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS13
S11162IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S11170IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S11166IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10089IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10086IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10085IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10084IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12721IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12728IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12727IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12725IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12724IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12722IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12726IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12730IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12729IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12723IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10722IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10730IS1,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10721IS1,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10727IS1,41,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12969IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12961IS1,45,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12966IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12964IS1,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12970IS1,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10241IS1,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10247IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10245IS1,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12561IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12562IS1,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12564IS1,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12568IS1,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10967IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10968IS1,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10965IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S12644IS1,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10408IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10402IS1,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10401IS1,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10514IS1,81,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10517IS1,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10511IS1,85,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10518IS1,87,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10515IS1,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10516IS1,92,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10512IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10519IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10513IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10520IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS14
S10569IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11043IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11042IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11046IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11044IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11047IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11050IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11049IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11048IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11041IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11045IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10796IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10795IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10794IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10792IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10797IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10791IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10793IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10798IS1,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10810IS1,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10807IS1,41,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10809IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10805IS1,45,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10806IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10803IS1,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10801IS1,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10808IS1,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10645IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10644IS1,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10646IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10649IS1,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10643IS1,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10881IS1,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10647IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S12999IS1,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S12998IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S13000IS1,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S12991IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S12997IS1,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10883IS1,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11130IS1,81,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11124IS1,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11126IS1,85,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S11127IS1,87,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10882IS1,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10124IS1,92,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10122IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10128IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10123IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10121IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS15
S10529IS1,11,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10528IS1,13,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10523IS1,15,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10524IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10530IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10521IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S10522IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS16
S12992IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12996IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12993IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12995IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12994IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12442IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12441IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12449IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12444IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12447IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12448IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12450IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12446IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12445IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S12443IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S10684IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S10681IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
S10371IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS17
