survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,D09,,,15B102233,,2015-06-07 12:51:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J09,,,15C100324,,2015-06-07 15:59:27 PDT,NA,,,,
,D07,,,15B102233,,2015-06-07 16:13:00 PDT,"Set location: 50.191495 N -125.142919
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,J04,,,15C100324,,2015-06-08 08:10:00 PDT,NA,,,,
,J03,,,15C100324,,2015-06-08 11:23:00 PDT,NA,,,,
,J01,,,15C100324,,2015-06-08 14:00:00 PDT,NA,,,,
,J02,,,15C100324,,2015-06-09 08:20:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-09 08:34:00 PDT,"50.307340 N125.335137 W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D07,,,15B102233,,2015-06-09 15:22:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D09,,,14E100030,,2015-06-11 08:50:00 PDT,"Changed Temperature from 11.3 (2018-07-16 JG)
2: Experiencing problems with location device: it records the location in the field, but for some reason when we re-open the form at the lab after we return, the location has disappeared. We are recording location on our data sheets so until this problem is resolved with IT, we will record location in the notes. Lat: 50.308055 N Lon: -125.330329 W",,,,
,J05,,,15C100324,,2015-06-11 09:10:00 PDT,NA,,,,
,D09,,,14E100030,,2015-06-11 11:01:00 PDT,"Experiencing problems with location device: it records the location in the field, but for some reason when we re-open the form at the lab after we return, the location has disappeared. We are recording location on our data sheets so until this problem is resolved with IT, we will record location in the notes. Lat: 50.308055 N Lon: -125.330329 W",,,,
,J07,,,15C100324,,2015-06-11 13:35:00 PDT,NA,,,,
,D07,,,14E100030,,2015-06-11 13:46:00 PDT,Lat: 50.190169 N Lon: -125.144372 W,,,,
,J06,,,15C100324,,2015-06-12 05:55:00 PDT,NA,,,,
,J09,,,15C100324,,2015-06-13 12:07:07 PDT,NA,,,,
,J09,,,15C100324,,2015-06-13 12:07:15 PDT,NA,,,,
,D07,,,15B102233,,2015-06-13 16:36:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-14 10:05:00 PDT,Secchi = 13.2m,,,,
,J06,,,15C100324,,2015-06-14 10:30:28 PDT,NA,,,,
,D11,,,15B102233,,2015-06-14 12:54:00 PDT,Secchi 15.5 m,,,,
,J07,,,15C100324,,2015-06-14 13:25:15 PDT,NA,,,,
,J05,,,15C100324,,2015-06-14 15:36:36 PDT,NA,,,,
,J04,,,15C100324,,2015-06-15 06:50:38 PDT,NA,,,,
,J08,,,15C100324,,2015-06-15 09:56:17 PDT,NA,,,,
,J03,,,15B102233,,2015-06-15 12:55:06 PDT,Changed Temperature from 10 (2018-07-16 JG),,,,
,J03,,,15B102233,,2015-06-15 12:55:06 PDT,Changed Temperature from 10.2 (2018-07-16 JG),,,,
,J10,,,15C100324,,2015-06-15 15:20:43 PDT,NA,,,,
,J01,,,15C100324,,2015-06-16 07:46:36 PDT,NA,,,,
,J02,,,15C100324,,2015-06-16 11:14:52 PDT,NA,,,,
,D11,,,15B102233,,2015-06-16 12:55:00 PDT,"Lat 50.348285 Lon 125.450011
2: Secchi 14.9 m
3: Secchi 14.9 m
Lat 50.348285 Lon 125.450011",,,,
,J09,,,15C100324,,2015-06-16 17:48:53 PDT,NA,,,,
,J04,,,15C100324,,2015-06-17 07:01:00 PDT,NA,,,,
,J08,,,15C100324,,2015-06-17 09:24:00 PDT,NA,,,,
,J03,,,15C100324,,2015-06-17 12:40:00 PDT,NA,,,,
,D08,,,15B102233,,2015-06-17 13:02:00 PDT,NA,,,,
,D08,,,15B102233,,2015-06-17 13:03:00 PDT,NA,,,,
,J06,,,15C100324,,2015-06-18 07:21:00 PDT,NA,,,,
,J07,,,15C100324,,2015-06-18 09:20:00 PDT,NA,,,,
,D11,,,15B102233,,2015-06-18 10:25:00 PDT,"Changed Salinity from 29.6 (2018-07-16 JG)
2: Secchi 13.0",,,,
,D11,,,15B102233,,2015-06-18 10:25:00 PDT,"Changed Salinity from 29.5 (2018-07-16 JG)
2: Secchi 13.0",,,,
,J05,,,15C100324,,2015-06-18 11:57:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-18 12:54:00 PDT,"Lat 50.308190 Lon 125.326935
2: Secchi 11.4
3: Secchi 11.4
Lat 50.308190 Lon 125.326935",,,,
,J01,,,15C100324,,2015-06-18 16:31:00 PDT,NA,,,,
,J01,,,15C100324,,2015-06-18 16:31:00 PDT,Changed Salinity from 29.4 (2018-07-16 JG),,,,
,J02,,,15C100324,,2015-06-19 03:47:50 PDT,NA,,,,
,D04,,,15B102233,,2015-06-19 07:42:00 PDT,Secchi 4.0,,,,
,J09,,,15C100324,,2015-06-19 08:36:05 PDT,NA,,,,
,J10,,,15C100324,,2015-06-19 11:36:15 PDT,NA,,,,
,D06,,,15B102233,,2015-06-19 12:16:00 PDT,Secchi 9.4 m,,,,
,D06,,,15B102233,,2015-06-19 12:20:00 PDT,Secchi 9.4 m,,,,
,J04,,,15C100324,,2015-06-20 08:14:56 PDT,NA,,,,
,J08,,,15C100324,,2015-06-20 10:34:45 PDT,NA,,,,
,J08,,,15C100324,,2015-06-20 10:34:50 PDT,NA,,,,
,D11,,,15B102233,,2015-06-20 11:47:00 PDT,"Secchi 10.8 m
2: Secchi 10.8 m
Set Location: 50.347580N -125.455296W
3: Set Location: 50.347580N -125.455296W",,,,
,D09,,,15B102233,,2015-06-20 15:06:00 PDT,"Secchi 10.4 m
2: Secchi 10.4 m
Set location: 50.305973 N -125.335880W
3: Set location: 50.305973 N -125.335880W",,,,
,J07,,,15C100324,,2015-06-20 16:21:00 PDT,NA,,,,
,J06,,,15C100324,,2015-06-21 07:51:25 PDT,NA,,,,
,J05,,,15C100324,,2015-06-21 10:36:10 PDT,"Changed Temperature from 9.9 (2018-07-16 JG)
2: Gather location would not save after multiple attempts",,,,
,J05,,,15C100324,,2015-06-21 10:36:10 PDT,Gather location would not save after multiple attempts,,,,
,J10,,,15C100324,,2015-06-21 14:19:50 PDT,Changed Salinity from 28.9 (2018-07-16 JG),,,,
,J10,,,15C100324,,2015-06-21 14:19:50 PDT,NA,,,,
,D10,,,15B102233,,2015-06-22 10:01:00 PDT,Secchi 10.5 m,,,,
,D09,,,15B102233,,2015-06-22 14:54:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-22 14:55:00 PDT,NA,,,,
,J03,,,15C100324,,2015-06-23 07:27:00 PDT,NA,,,,
,J01,,,15C100324,,2015-06-23 09:44:00 PDT,NA,,,,
,J01,,,15C100324,,2015-06-23 09:45:00 PDT,NA,,,,
,D06,,,15B102233,,2015-06-23 10:38:00 PDT,Secchi 13.7 m,,,,
,D06,,,15B102233,,2015-06-23 10:39:00 PDT,Secchi 13.7 m,,,,
,J02,,,15C100324,,2015-06-23 13:09:07 PDT,Changed Site ID from JS2 (2018-07-16 JG),,,,
,J09,,,15C100324,,2015-06-23 17:12:00 PDT,Changed Temperature from 28.9 and Salinity from 11.1 (2018-07-16 JG),,,,
,J09,,,15C100324,,2015-06-23 17:12:00 PDT,Changed Temperature from 29 and Salinity from 11.8 (2018-07-16 JG),,,,
,J06,,,15C100324,,2015-06-24 07:03:00 PDT,NA,,,,
,D10,,,15B102233,,2015-06-24 08:14:00 PDT,Secchi 11.0 m,,,,
,J07,,,15C100324,,2015-06-24 09:18:00 PDT,NA,,,,
,D11,,,15B102233,,2015-06-24 10:20:00 PDT,Secchi 13.8 m,,,,
,D11,,,15B102233,,2015-06-24 10:21:00 PDT,Secchi 13.8 m,,,,
,J05,,,15C100324,,2015-06-24 12:01:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-24 12:30:00 PDT,Secchi 12.2,,,,
,J08,,,15C100324,,2015-06-24 14:45:00 PDT,NA,,,,
,J10,,,15C100324,,2015-06-27 08:07:00 PDT,NA,,,,
,D09,,,15B102233,,2015-06-27 11:15:00 PDT,Secchi 15.4 m,,,,
,J01,,,15C100324,,2015-06-27 11:15:00 PDT,"Added missing data to portal 2019-08-18 JG
2: Gather location did not save.",,,,
,J01,,,15C100324,,2015-06-27 12:00:00 PDT,"Added missing data to portal 2019-08-18 JG
2: Gather location did not save.",,,,
,J09,,,15C100324,,2015-06-27 17:21:00 PDT,NA,,,,
,J02,,,15C100324,,2015-06-28 06:49:00 PDT,NA,,,,
,J03,,,15C100324,,2015-06-28 11:49:00 PDT,NA,,,,
,J03,,,15C100324,,2015-06-28 11:50:00 PDT,NA,,,,
,J08,,,15C100324,,2015-06-29 07:13:30 PDT,NA,,,,
,D11,,,15B102233,,2015-06-29 10:14:00 PDT,Secchi 12.9 m,,,,
,J07,,,15C100324,,2015-06-29 10:20:20 PDT,NA,,,,
,D09,,,15B102233,,2015-06-29 13:07:00 PDT,Secchi 10.5 m,,,,
