ufn,sample_type,sample_id,sample_comments,analyzing_lab
U286,fatty_acid,S286FA1,NA,NA
U287,fatty_acid,S287FA1,NA,NA
U288,fatty_acid,S288FA1,NA,NA
U289,fatty_acid,S289FA1,NA,NA
U290,fatty_acid,S290FA1,NA,NA
U291,fatty_acid,S291FA1,NA,NA
U292,fatty_acid,S292FA1,NA,JGarzke_UBC
U293,fatty_acid,S293FA1,NA,NA
U294,fatty_acid,S294FA1,NA,JGarzke_UBC
U295,fatty_acid,S295FA1,NA,JGarzke_UBC
U296,fatty_acid,S296FA1,NA,NA
U297,fatty_acid,S297FA1,NA,NA
U298,fatty_acid,S298FA1,NA,NA
U299,fatty_acid,S299FA1,NA,JGarzke_UBC
U300,fatty_acid,S300FA1,NA,JGarzke_UBC
U301,fatty_acid,S301FA1,NA,JGarzke_UBC
U302,fatty_acid,S302FA1,NA,JGarzke_UBC
U303,fatty_acid,S303FA1,NA,JGarzke_UBC
U304,fatty_acid,S304FA1,NA,NA
U305,fatty_acid,S305FA1,NA,NA
U306,fatty_acid,S306FA1,NA,NA
U307,fatty_acid,S307FA1,NA,JGarzke_UBC
U308,fatty_acid,S308FA1,NA,JGarzke_UBC
U309,fatty_acid,S309FA1,NA,JGarzke_UBC
U310,fatty_acid,S310FA1,NA,JGarzke_UBC
U311,fatty_acid,S311FA1,NA,NA
U312,fatty_acid,S312FA1,NA,NA
U313,fatty_acid,S313FA1,NA,NA
U315,fatty_acid,S315FA1,NA,NA
U316,fatty_acid,S316FA1,NA,NA
U317,fatty_acid,S317FA1,NA,JGarzke_UBC
U318,fatty_acid,S318FA1,NA,JGarzke_UBC
U319,fatty_acid,S319FA1,NA,JGarzke_UBC
U320,fatty_acid,S320FA1,NA,JGarzke_UBC
U321,fatty_acid,S321FA1,NA,NA
U322,fatty_acid,S322FA1,NA,NA
U323,fatty_acid,S323FA1,NA,NA
U324,fatty_acid,S324FA1,NA,NA
U325,fatty_acid,S325FA1,NA,NA
U326,fatty_acid,S326FA1,NA,NA
U327,fatty_acid,S327FA1,NA,JGarzke_UBC
U328,fatty_acid,S328FA1,NA,NA
U329,fatty_acid,S329FA1,NA,JGarzke_UBC
U330,fatty_acid,S330FA1,NA,NA
U331,fatty_acid,S331FA1,NA,JGarzke_UBC
U332,fatty_acid,S332FA1,NA,JGarzke_UBC
U333,fatty_acid,S333FA1,NA,JGarzke_UBC
U334,fatty_acid,S334FA1,NA,JGarzke_UBC
U335,fatty_acid,S335FA1,NA,JGarzke_UBC
U336,fatty_acid,S336FA1,NA,JGarzke_UBC
U337,fatty_acid,S337FA1,NA,NA
U338,fatty_acid,S338FA1,NA,NA
U339,fatty_acid,S339FA1,NA,NA
U340,fatty_acid,S340FA1,NA,NA
U341,fatty_acid,S341FA1,NA,JGarzke_UBC
U342,fatty_acid,S342FA1,NA,JGarzke_UBC
U343,fatty_acid,S343FA1,NA,JGarzke_UBC
U344,fatty_acid,S344FA1,NA,NA
U345,fatty_acid,S345FA1,NA,NA
U346,fatty_acid,S346FA1,NA,NA
U347,fatty_acid,S347FA1,NA,JGarzke_UBC
U348,fatty_acid,S348FA1,NA,JGarzke_UBC
U349,fatty_acid,S349FA1,NA,JGarzke_UBC
U350,fatty_acid,S350FA1,NA,JGarzke_UBC
U351,fatty_acid,S351FA1,NA,JGarzke_UBC
U352,fatty_acid,S352FA1,NA,NA
U353,fatty_acid,S353FA1,NA,NA
U354,fatty_acid,S354FA1,NA,NA
U355,fatty_acid,S355FA1,NA,JGarzke_UBC
U356,fatty_acid,S356FA1,NA,JGarzke_UBC
U357,fatty_acid,S357FA1,NA,JGarzke_UBC
U358,fatty_acid,S358FA1,NA,NA
U359,fatty_acid,S359FA1,NA,NA
U360,fatty_acid,S360FA1,NA,NA
U361,fatty_acid,S361FA1,NA,JGarzke_UBC
U362,fatty_acid,S362FA1,NA,JGarzke_UBC
U363,fatty_acid,S363FA1,NA,JGarzke_UBC
U364,fatty_acid,S364FA1,NA,NA
U365,fatty_acid,S365FA1,NA,NA
U366,fatty_acid,S366FA1,NA,NA
U367,fatty_acid,S367FA1,NA,NA
U368,fatty_acid,S368FA1,NA,NA
U369,fatty_acid,S369FA1,NA,NA
U370,fatty_acid,S370FA1,NA,NA
U371,fatty_acid,S371FA1,NA,NA
U372,fatty_acid,S372FA1,NA,NA
U373,fatty_acid,S373FA1,NA,NA
U374,fatty_acid,S374FA1,NA,NA
U375,fatty_acid,S375FA1,NA,NA
U376,fatty_acid,S376FA1,NA,NA
U377,fatty_acid,S377FA1,NA,NA
U378,fatty_acid,S378FA1,NA,NA
U379,fatty_acid,S379FA1,NA,NA
U380,fatty_acid,S380FA1,NA,NA
U381,fatty_acid,S381FA1,NA,NA
U382,fatty_acid,S382FA1,NA,NA
U383,fatty_acid,S383FA1,NA,NA
U384,fatty_acid,S384FA1,NA,NA
U385,fatty_acid,S385FA1,NA,NA
U386,fatty_acid,S386FA1,NA,NA
U387,fatty_acid,S387FA1,NA,NA
U388,fatty_acid,S388FA1,NA,NA
U389,fatty_acid,S389FA1,NA,NA
U390,fatty_acid,S390FA1,NA,NA
U391,fatty_acid,S391FA1,NA,NA
U392,fatty_acid,S392FA1,NA,NA
U393,fatty_acid,S393FA1,NA,NA
U394,fatty_acid,S394FA1,NA,NA
U395,fatty_acid,S395FA1,NA,NA
U396,fatty_acid,S396FA1,NA,NA
U397,fatty_acid,S397FA1,NA,NA
U398,fatty_acid,S398FA1,NA,NA
U399,fatty_acid,S399FA1,NA,NA
U400,fatty_acid,S400FA1,NA,NA
U401,fatty_acid,S401FA1,NA,NA
U402,fatty_acid,S402FA1,NA,NA
U403,fatty_acid,S403FA1,NA,NA
U404,fatty_acid,S404FA1,NA,NA
U405,fatty_acid,S405FA1,NA,NA
U406,fatty_acid,S406FA1,NA,NA
U407,fatty_acid,S407FA1,NA,NA
U408,fatty_acid,S408FA1,NA,NA
U409,fatty_acid,S409FA1,NA,NA
U410,fatty_acid,S410FA1,NA,NA
U411,fatty_acid,S411FA1,NA,NA
U412,fatty_acid,S412FA1,NA,NA
U413,fatty_acid,S413FA1,NA,NA
U414,fatty_acid,S414FA1,NA,NA
U415,fatty_acid,S415FA1,NA,NA
U416,fatty_acid,S416FA1,NA,NA
U417,fatty_acid,S417FA1,NA,NA
U418,fatty_acid,S418FA1,NA,NA
U419,fatty_acid,S419FA1,NA,NA
U420,fatty_acid,S420FA1,NA,NA
U421,fatty_acid,S421FA1,NA,NA
U422,fatty_acid,S422FA1,NA,NA
U423,fatty_acid,S423FA1,NA,NA
U424,fatty_acid,S424FA1,NA,NA
U425,fatty_acid,S425FA1,NA,NA
U426,fatty_acid,S426FA1,NA,NA
U427,fatty_acid,S427FA1,NA,NA
U428,fatty_acid,S428FA1,NA,NA
U429,fatty_acid,S429FA1,NA,NA
U430,fatty_acid,S430FA1,NA,NA
U431,fatty_acid,S431FA1,NA,NA
U432,fatty_acid,S432FA1,NA,NA
U433,fatty_acid,S433FA1,NA,NA
U434,fatty_acid,S434FA1,NA,NA
U435,fatty_acid,S435FA1,NA,NA
U436,fatty_acid,S436FA1,NA,JGarzke_UBC
U437,fatty_acid,S437FA1,NA,JGarzke_UBC
U438,fatty_acid,S438FA1,NA,JGarzke_UBC
U439,fatty_acid,S439FA1,NA,JGarzke_UBC
U440,fatty_acid,S440FA1,NA,NA
U441,fatty_acid,S441FA1,NA,JGarzke_UBC
U442,fatty_acid,S442FA1,NA,JGarzke_UBC
U443,fatty_acid,S443FA1,NA,JGarzke_UBC
U444,fatty_acid,S444FA1,NA,JGarzke_UBC
U445,fatty_acid,S445FA1,NA,JGarzke_UBC
U446,fatty_acid,S446FA1,NA,NA
U447,fatty_acid,S447FA1,NA,NA
U448,fatty_acid,S448FA1,NA,NA
U449,fatty_acid,S449FA1,NA,NA
U450,fatty_acid,S450FA1,NA,NA
U451,fatty_acid,S451FA1,NA,NA
U452,fatty_acid,S452FA1,NA,NA
U453,fatty_acid,S453FA1,NA,NA
U454,fatty_acid,S454FA1,NA,NA
U455,fatty_acid,S455FA1,NA,NA
U456,fatty_acid,S456FA1,NA,NA
U457,fatty_acid,S457FA1,NA,NA
U458,fatty_acid,S458FA1,NA,NA
U459,fatty_acid,S459FA1,NA,NA
U460,fatty_acid,S460FA1,NA,NA
U461,fatty_acid,S461FA1,NA,NA
U462,fatty_acid,S462FA1,NA,NA
U463,fatty_acid,S463FA1,NA,NA
U464,fatty_acid,S464FA1,NA,NA
U465,fatty_acid,S465FA1,NA,NA
U466,fatty_acid,S466FA1,NA,NA
U467,fatty_acid,S467FA1,NA,NA
U468,fatty_acid,S468FA1,NA,NA
U469,fatty_acid,S469FA1,NA,NA
U470,fatty_acid,S470FA1,NA,NA
U471,fatty_acid,S471FA1,NA,NA
U472,fatty_acid,S472FA1,NA,NA
U473,fatty_acid,S473FA1,NA,NA
U474,fatty_acid,S474FA1,NA,NA
U475,fatty_acid,S475FA1,NA,JGarzke_UBC
U476,fatty_acid,S476FA1,NA,NA
U477,fatty_acid,S477FA1,NA,JGarzke_UBC
U478,fatty_acid,S478FA1,NA,JGarzke_UBC
U479,fatty_acid,S479FA1,NA,NA
U480,fatty_acid,S480FA1,NA,JGarzke_UBC
U481,fatty_acid,S481FA1,NA,NA
U482,fatty_acid,S482FA1,NA,NA
U483,fatty_acid,S483FA1,NA,NA
U484,fatty_acid,S484FA1,NA,NA
U485,fatty_acid,S485FA1,NA,NA
U486,fatty_acid,S486FA1,NA,NA
U487,fatty_acid,S487FA1,NA,NA
U489,fatty_acid,S489FA1,NA,NA
U490,fatty_acid,S490FA1,NA,NA
U491,fatty_acid,S491FA1,NA,NA
U492,fatty_acid,S492FA1,NA,NA
U493,fatty_acid,S493FA1,NA,NA
U494,fatty_acid,S494FA1,NA,NA
U495,fatty_acid,S495FA1,NA,NA
U496,fatty_acid,S496FA1,NA,NA
U497,fatty_acid,S497FA1,NA,NA
U498,fatty_acid,S498FA1,NA,NA
U499,fatty_acid,S499FA1,NA,NA
U500,fatty_acid,S500FA1,NA,NA
U501,fatty_acid,S501FA1,NA,NA
U502,fatty_acid,S502FA1,NA,NA
U503,fatty_acid,S503FA1,NA,NA
U504,fatty_acid,S504FA1,NA,NA
U505,fatty_acid,S505FA1,NA,NA
U506,fatty_acid,S506FA1,NA,NA
U507,fatty_acid,S507FA1,NA,NA
U508,fatty_acid,S508FA1,NA,NA
U509,fatty_acid,S509FA1,NA,NA
U510,fatty_acid,S510FA1,NA,NA
U511,fatty_acid,S511FA1,NA,NA
U512,fatty_acid,S512FA1,NA,NA
U513,fatty_acid,S513FA1,NA,NA
U514,fatty_acid,S514FA1,NA,NA
U515,fatty_acid,S515FA1,NA,NA
U516,fatty_acid,S516FA1,NA,NA
U517,fatty_acid,S517FA1,NA,NA
U518,fatty_acid,S518FA1,NA,NA
U519,fatty_acid,S519FA1,NA,NA
U520,fatty_acid,S520FA1,NA,NA
U521,fatty_acid,S521FA1,NA,NA
U522,fatty_acid,S522FA1,NA,NA
U523,fatty_acid,S523FA1,NA,JGarzke_UBC
U524,fatty_acid,S524FA1,NA,JGarzke_UBC
U525,fatty_acid,S525FA1,NA,JGarzke_UBC
U526,fatty_acid,S526FA1,NA,NA
U527,fatty_acid,S527FA1,NA,JGarzke_UBC
U528,fatty_acid,S528FA1,NA,JGarzke_UBC
U529,fatty_acid,S529FA1,NA,JGarzke_UBC
U530,fatty_acid,S530FA1,NA,JGarzke_UBC
U531,fatty_acid,S531FA1,NA,NA
U532,fatty_acid,S532FA1,NA,JGarzke_UBC
U533,fatty_acid,S533FA1,NA,JGarzke_UBC
U534,fatty_acid,S534FA1,NA,JGarzke_UBC
U535,fatty_acid,S535FA1,NA,JGarzke_UBC
U536,fatty_acid,S536FA1,NA,NA
U537,fatty_acid,S537FA1,NA,JGarzke_UBC
U538,fatty_acid,S538FA1,NA,JGarzke_UBC
U539,fatty_acid,S539FA1,NA,NA
U540,fatty_acid,S540FA1,NA,NA
U541,fatty_acid,S541FA1,NA,NA
U542,fatty_acid,S542FA1,NA,NA
U543,fatty_acid,S543FA1,NA,JGarzke_UBC
U544,fatty_acid,S544FA1,NA,JGarzke_UBC
U545,fatty_acid,S545FA1,NA,JGarzke_UBC
U546,fatty_acid,S546FA1,NA,NA
U547,fatty_acid,S547FA1,NA,JGarzke_UBC
U548,fatty_acid,S548FA1,NA,JGarzke_UBC
U549,fatty_acid,S549FA1,NA,JGarzke_UBC
U550,fatty_acid,S550FA1,NA,NA
U551,fatty_acid,S551FA1,NA,NA
U552,fatty_acid,S552FA1,NA,NA
U553,fatty_acid,S553FA1,NA,NA
U554,fatty_acid,S554FA1,NA,NA
U555,fatty_acid,S555FA1,NA,NA
U556,fatty_acid,S556FA1,NA,NA
U557,fatty_acid,S557FA1,NA,NA
U558,fatty_acid,S558FA1,NA,JGarzke_UBC
U559,fatty_acid,S559FA1,NA,JGarzke_UBC
U560,fatty_acid,S560FA1,NA,NA
U561,fatty_acid,S561FA1,NA,NA
U562,fatty_acid,S562FA1,NA,NA
U563,fatty_acid,S563FA1,NA,NA
U564,fatty_acid,S564FA1,NA,NA
U565,fatty_acid,S565FA1,NA,JGarzke_UBC
U566,fatty_acid,S566FA1,NA,JGarzke_UBC
U567,fatty_acid,S567FA1,NA,NA
U568,fatty_acid,S568FA1,NA,JGarzke_UBC
U570,fatty_acid,S570FA1,NA,NA
U571,fatty_acid,S571FA1,NA,NA
U572,fatty_acid,S572FA1,NA,NA
U573,fatty_acid,S573FA1,NA,NA
U574,fatty_acid,S574FA1,NA,NA
U575,fatty_acid,S575FA1,NA,NA
U576,fatty_acid,S576FA1,NA,JGarzke_UBC
U577,fatty_acid,S577FA1,NA,NA
U578,fatty_acid,S578FA1,NA,NA
U579,fatty_acid,S579FA1,NA,JGarzke_UBC
U580,fatty_acid,S580FA1,NA,NA
U581,fatty_acid,S581FA1,NA,NA
U582,fatty_acid,S582FA1,NA,NA
U583,fatty_acid,S583FA1,NA,NA
U584,fatty_acid,S584FA1,NA,JGarzke_UBC
U586,fatty_acid,S586FA1,NA,JGarzke_UBC
U587,fatty_acid,S587FA1,NA,NA
U588,fatty_acid,S588FA1,NA,NA
U589,fatty_acid,S589FA1,NA,NA
U590,fatty_acid,S590FA1,NA,NA
U591,fatty_acid,S591FA1,NA,JGarzke_UBC
U592,fatty_acid,S592FA1,NA,JGarzke_UBC
U593,fatty_acid,S593FA1,NA,JGarzke_UBC
U594,fatty_acid,S594FA1,NA,NA
U595,fatty_acid,S595FA1,NA,JGarzke_UBC
U596,fatty_acid,S596FA1,NA,JGarzke_UBC
U597,fatty_acid,S597FA1,NA,JGarzke_UBC
U598,fatty_acid,S598FA1,NA,JGarzke_UBC
U599,fatty_acid,S599FA1,NA,JGarzke_UBC
U600,fatty_acid,S600FA1,NA,NA
U601,fatty_acid,S601FA1,Fish fell on floor,NA
U602,fatty_acid,S602FA1,NA,NA
U603,fatty_acid,S603FA1,NA,JGarzke_UBC
U604,fatty_acid,S604FA1,NA,NA
U605,fatty_acid,S605FA1,NA,NA
U606,fatty_acid,S606FA1,NA,NA
U607,fatty_acid,S607FA1,NA,NA
U608,fatty_acid,S608FA1,NA,NA
U609,fatty_acid,S609FA1,NA,NA
U610,fatty_acid,S610FA1,NA,NA
U611,fatty_acid,S611FA1,NA,NA
U613,fatty_acid,S613FA1,NA,JGarzke_UBC
U614,fatty_acid,S614FA1,NA,JGarzke_UBC
U615,fatty_acid,S615FA1,NA,JGarzke_UBC
U616,fatty_acid,S616FA1,NA,JGarzke_UBC
U617,fatty_acid,S617FA1,NA,JGarzke_UBC
U618,fatty_acid,S618FA1,NA,JGarzke_UBC
U619,fatty_acid,S619FA1,NA,NA
U620,fatty_acid,S620FA1,NA,NA
U621,fatty_acid,S621FA1,NA,JGarzke_UBC
U622,fatty_acid,S622FA1,NA,JGarzke_UBC
U623,fatty_acid,S623FA1,NA,NA
U624,fatty_acid,S624FA1,NA,JGarzke_UBC
U625,fatty_acid,S625FA1,NA,JGarzke_UBC
U626,fatty_acid,S626FA1,NA,NA
U627,fatty_acid,S627FA1,NA,NA
U628,fatty_acid,S628FA1,NA,NA
U629,fatty_acid,S629FA1,NA,NA
U630,fatty_acid,S630FA1,NA,NA
U631,fatty_acid,S631FA1,NA,JGarzke_UBC
U632,fatty_acid,S632FA1,NA,JGarzke_UBC
U633,fatty_acid,S633FA1,NA,JGarzke_UBC
U634,fatty_acid,S634FA1,NA,NA
U635,fatty_acid,S635FA1,NA,JGarzke_UBC
U636,fatty_acid,S636FA1,NA,JGarzke_UBC
U637,fatty_acid,S637FA1,NA,JGarzke_UBC
U638,fatty_acid,S638FA1,NA,JGarzke_UBC
U639,fatty_acid,S639FA1,NA,JGarzke_UBC
U640,fatty_acid,S640FA1,NA,JGarzke_UBC
U641,fatty_acid,S641FA1,NA,NA
U642,fatty_acid,S642FA1,NA,JGarzke_UBC
U643,fatty_acid,S643FA1,NA,NA
U644,fatty_acid,S644FA1,NA,NA
U645,fatty_acid,S645FA1,NA,NA
U646,fatty_acid,S646FA1,NA,NA
U647,fatty_acid,S647FA1,NA,JGarzke_UBC
U648,fatty_acid,S648FA1,NA,NA
U649,fatty_acid,S649FA1,NA,JGarzke_UBC
U650,fatty_acid,S650FA1,NA,JGarzke_UBC
U651,fatty_acid,S651FA1,NA,JGarzke_UBC
U652,fatty_acid,S652FA1,NA,NA
U653,fatty_acid,S653FA1,NA,NA
U654,fatty_acid,S654FA1,NA,NA
U655,fatty_acid,S655FA1,NA,JGarzke_UBC
U656,fatty_acid,S656FA1,NA,JGarzke_UBC
U657,fatty_acid,S657FA1,NA,JGarzke_UBC
U658,fatty_acid,S658FA1,NA,JGarzke_UBC
U659,fatty_acid,S659FA1,NA,NA
U660,fatty_acid,S660FA1,NA,JGarzke_UBC
U661,fatty_acid,S661FA1,NA,NA
U662,fatty_acid,S662FA1,NA,JGarzke_UBC
U663,fatty_acid,S663FA1,NA,JGarzke_UBC
U664,fatty_acid,S664FA1,NA,JGarzke_UBC
U665,fatty_acid,S665FA1,NA,JGarzke_UBC
U666,fatty_acid,S666FA1,NA,JGarzke_UBC
U667,fatty_acid,S667FA1,NA,JGarzke_UBC
U668,fatty_acid,S668FA1,NA,NA
U669,fatty_acid,S669FA1,NA,NA
U670,fatty_acid,S670FA1,NA,NA
U671,fatty_acid,S671FA1,NA,JGarzke_UBC
U672,fatty_acid,S672FA1,NA,JGarzke_UBC
U673,fatty_acid,S673FA1,NA,JGarzke_UBC
U674,fatty_acid,S674FA1,NA,JGarzke_UBC
U675,fatty_acid,S675FA1,NA,JGarzke_UBC
U676,fatty_acid,S676FA1,NA,NA
U677,fatty_acid,S677FA1,NA,NA
U678,fatty_acid,S678FA1,NA,NA
U679,fatty_acid,S679FA1,NA,NA
U680,fatty_acid,S680FA1,NA,NA
U681,fatty_acid,S681FA1,NA,JGarzke_UBC
U682,fatty_acid,S682FA1,NA,NA
U683,fatty_acid,S683FA1,NA,JGarzke_UBC
U684,fatty_acid,S684FA1,NA,JGarzke_UBC
U685,fatty_acid,S685FA1,NA,NA
U686,fatty_acid,S686FA1,NA,NA
U687,fatty_acid,S687FA1,NA,NA
U688,fatty_acid,S688FA1,NA,NA
U689,fatty_acid,S689FA1,NA,NA
U690,fatty_acid,S690FA1,NA,NA
U691,fatty_acid,S691FA1,NA,JGarzke_UBC
U692,fatty_acid,S692FA1,NA,JGarzke_UBC
U693,fatty_acid,S693FA1,NA,NA
U694,fatty_acid,S694FA1,NA,JGarzke_UBC
U695,fatty_acid,S695FA1,NA,JGarzke_UBC
U696,fatty_acid,S696FA1,NA,JGarzke_UBC
U697,fatty_acid,S697FA1,NA,JGarzke_UBC
U698,fatty_acid,S698FA1,NA,NA
U699,fatty_acid,S699FA1,NA,NA
U700,fatty_acid,S700FA1,NA,NA
U701,fatty_acid,S701FA1,NA,NA
U702,fatty_acid,S702FA1,NA,NA
U703,fatty_acid,S703FA1,NA,NA
U704,fatty_acid,S704FA1,NA,NA
U705,fatty_acid,S705FA1,NA,NA
U706,fatty_acid,S706FA1,NA,NA
U707,fatty_acid,S707FA1,NA,NA
U708,fatty_acid,S708FA1,NA,NA
U709,fatty_acid,S709FA1,NA,NA
U710,fatty_acid,S710FA1,NA,NA
U711,fatty_acid,S711FA1,NA,NA
U712,fatty_acid,S712FA1,NA,NA
U713,fatty_acid,S713FA1,NA,NA
U714,fatty_acid,S714FA1,NA,NA
U715,fatty_acid,S715FA1,NA,NA
U716,fatty_acid,S716FA1,NA,NA
U717,fatty_acid,S717FA1,NA,NA
U718,fatty_acid,S718FA1,NA,NA
U719,fatty_acid,S719FA1,NA,NA
U720,fatty_acid,S720FA1,NA,NA
U721,fatty_acid,S721FA1,NA,NA
U722,fatty_acid,S722FA1,NA,NA
U723,fatty_acid,S723FA1,NA,NA
U724,fatty_acid,S724FA1,NA,NA
U725,fatty_acid,S725FA1,NA,NA
U726,fatty_acid,S726FA1,NA,NA
U727,fatty_acid,S727FA1,NA,NA
U728,fatty_acid,S728FA1,NA,NA
U729,fatty_acid,S729FA1,NA,NA
U730,fatty_acid,S730FA1,NA,NA
U731,fatty_acid,S731FA1,NA,NA
U732,fatty_acid,S732FA1,NA,NA
U733,fatty_acid,S733FA1,NA,NA
U734,fatty_acid,S734FA1,NA,NA
U735,fatty_acid,S735FA1,NA,JGarzke_UBC
U736,fatty_acid,S736FA1,NA,JGarzke_UBC
U737,fatty_acid,S737FA1,NA,NA
U738,fatty_acid,S738FA1,NA,NA
U739,fatty_acid,S739FA1,NA,NA
U740,fatty_acid,S740FA1,NA,NA
U741,fatty_acid,S741FA1,NA,NA
U742,fatty_acid,S742FA1,NA,NA
U743,fatty_acid,S743FA1,NA,NA
U744,fatty_acid,S744FA1,NA,NA
U745,fatty_acid,S745FA1,NA,NA
U746,fatty_acid,S746FA1,NA,NA
U747,fatty_acid,S747FA1,NA,NA
U748,fatty_acid,S748FA1,NA,NA
U749,fatty_acid,S749FA1,NA,NA
U750,fatty_acid,S750FA1,NA,NA
U751,fatty_acid,S751FA1,NA,NA
U752,fatty_acid,S752FA1,NA,NA
U753,fatty_acid,S753FA1,NA,NA
U754,fatty_acid,S754FA1,NA,NA
U755,fatty_acid,S755FA1,NA,JGarzke_UBC
U756,fatty_acid,S756FA1,NA,NA
U757,fatty_acid,S757FA1,NA,NA
U758,fatty_acid,S758FA1,NA,NA
U759,fatty_acid,S759FA1,NA,JGarzke_UBC
U760,fatty_acid,S760FA1,NA,JGarzke_UBC
U761,fatty_acid,S761FA1,NA,NA
U762,fatty_acid,S762FA1,NA,JGarzke_UBC
U763,fatty_acid,S763FA1,NA,JGarzke_UBC
U764,fatty_acid,S764FA1,NA,JGarzke_UBC
U765,fatty_acid,S765FA1,NA,JGarzke_UBC
U766,fatty_acid,S766FA1,NA,NA
U767,fatty_acid,S767FA1,NA,JGarzke_UBC
U768,fatty_acid,S768FA1,NA,JGarzke_UBC
U769,fatty_acid,S769FA1,NA,JGarzke_UBC
U770,fatty_acid,S770FA1,NA,JGarzke_UBC
U771,fatty_acid,S771FA1,NA,JGarzke_UBC
U772,fatty_acid,S772FA1,NA,JGarzke_UBC
U773,fatty_acid,S773FA1,NA,JGarzke_UBC
U774,fatty_acid,S774FA1,NA,JGarzke_UBC
U775,fatty_acid,S775FA1,NA,JGarzke_UBC
U776,fatty_acid,S776FA1,NA,JGarzke_UBC
U777,fatty_acid,S777FA1,NA,JGarzke_UBC
U778,fatty_acid,S778FA1,NA,NA
U779,fatty_acid,S779FA1,NA,NA
U780,fatty_acid,S780FA1,NA,NA
U781,fatty_acid,S781FA1,NA,NA
U782,fatty_acid,S782FA1,NA,NA
U783,fatty_acid,S783FA1,NA,NA
U784,fatty_acid,S784FA1,NA,NA
U785,fatty_acid,S785FA1,NA,JGarzke_UBC
U786,fatty_acid,S786FA1,NA,NA
U787,fatty_acid,S787FA1,NA,NA
