sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S258ST1,stomach,U258,NA,UBC_Hunt,AV,NA
S259ST1,stomach,U259,NA,UBC_Hunt,AV,NA
S260ST1,stomach,U260,NA,UBC_Hunt,AV,NA
S261ST1,stomach,U261,NA,UBC_Hunt,AV,NA
S262ST1,stomach,U262,NA,UBC_Hunt,AV,NA
S263ST1,stomach,U263,NA,UBC_Hunt,AV,NA
S264ST1,stomach,U264,NA,UBC_Hunt,AV,NA
S265ST1,stomach,U265,NA,UBC_Hunt,AV,NA
S266ST1,stomach,U266,NA,UBC_Hunt,AV,NA
S267ST1,stomach,U267,NA,UBC_Hunt,AV,NA
S268ST1,stomach,U268,NA,UBC_Hunt,AV,NA
S269ST1,stomach,U269,NA,UBC_Hunt,AV,NA
S270ST1,stomach,U270,NA,UBC_Hunt,AV,NA
S271ST1,stomach,U271,NA,UBC_Hunt,AV,NA
S272ST1,stomach,U272,NA,UBC_Hunt,AV,NA
S273ST1,stomach,U273,NA,UBC_Hunt,AV,NA
S274ST1,stomach,U274,NA,UBC_Hunt,AV,NA
S275ST1,stomach,U275,NA,UBC_Hunt,AV,NA
S276ST1,stomach,U276,NA,UBC_Hunt,AV,NA
S277ST1,stomach,U277,NA,UBC_Hunt,AV,NA
S278ST1,stomach,U278,NA,UBC_Hunt,AV,NA
S279ST1,stomach,U279,NA,UBC_Hunt,AV,NA
S280ST1,stomach,U280,NA,UBC_Hunt,AV,NA
S281ST1,stomach,U281,NA,UBC_Hunt,AV,NA
S284ST1,stomach,U284,NA,UBC_Hunt,AV,NA
S285ST1,stomach,U285,NA,UBC_Hunt,AV,NA
S286ST1,stomach,U286,NA,UBC_Hunt,AV,NA
S287ST1,stomach,U287,NA,UBC_Hunt,AV,NA
S288ST1,stomach,U288,NA,UBC_Hunt,AV,NA
S289ST1,stomach,U289,NA,UBC_Hunt,AV,NA
S290ST1,stomach,U290,NA,UBC_Hunt,AV,NA
S291ST1,stomach,U291,NA,UBC_Hunt,AV,NA
S292ST1,stomach,U292,NA,UBC_Hunt,AV,NA
S293ST1,stomach,U293,NA,UBC_Hunt,AV,NA
S294ST1,stomach,U294,NA,UBC_Hunt,AV,NA
S295ST1,stomach,U295,NA,UBC_Hunt,AV,NA
S296ST1,stomach,U296,NA,UBC_Hunt,AV,NA
S297ST1,stomach,U297,NA,UBC_Hunt,AV,NA
S298ST1,stomach,U298,NA,UBC_Hunt,AV,NA
S299ST1,stomach,U299,NA,UBC_Hunt,AV,NA
S300ST1,stomach,U300,NA,UBC_Hunt,AV,NA
S301ST1,stomach,U301,NA,UBC_Hunt,AV,NA
S302ST1,stomach,U302,NA,UBC_Hunt,AV,NA
S303ST1,stomach,U303,NA,UBC_Hunt,AV,NA
S304ST1,stomach,U304,NA,UBC_Hunt,AV,NA
S305ST1,stomach,U305,NA,UBC_Hunt,AV,NA
S306ST1,stomach,U306,NA,UBC_Hunt,AV,NA
S307ST1,stomach,U307,NA,UBC_Hunt,AV,NA
S308ST1,stomach,U308,NA,UBC_Hunt,AV,NA
S309ST1,stomach,U309,NA,UBC_Hunt,AV,NA
S310ST1,stomach,U310,NA,UBC_Hunt,AV,NA
S311ST1,stomach,U311,NA,UBC_Hunt,AV,NA
S312ST1,stomach,U312,NA,UBC_Hunt,AV,NA
S313ST1,stomach,U313,NA,UBC_Hunt,AV,NA
S315ST1,stomach,U315,NA,UBC_Hunt,AV,NA
S316ST1,stomach,U316,NA,UBC_Hunt,AV,NA
S317ST1,stomach,U317,NA,UBC_Hunt,AV,NA
S318ST1,stomach,U318,NA,UBC_Hunt,AV,NA
S319ST1,stomach,U319,NA,UBC_Hunt,AV,NA
S320ST1,stomach,U320,NA,UBC_Hunt,AV,NA
S321ST1,stomach,U321,NA,UBC_Hunt,AV,NA
S322ST1,stomach,U322,NA,UBC_Hunt,AV,NA
S323ST1,stomach,U323,NA,UBC_Hunt,AV,NA
S324ST1,stomach,U324,NA,UBC_Hunt,AV,NA
S325ST1,stomach,U325,NA,UBC_Hunt,AV,NA
S326ST1,stomach,U326,NA,UBC_Hunt,AV,NA
S327ST1,stomach,U327,NA,UBC_Hunt,AV,NA
S328ST1,stomach,U328,NA,UBC_Hunt,AV,NA
S329ST1,stomach,U329,NA,UBC_Hunt,AV,NA
S330ST1,stomach,U330,NA,UBC_Hunt,AV,NA
S331ST1,stomach,U331,NA,UBC_Hunt,AV,NA
S332ST1,stomach,U332,NA,UBC_Hunt,AV,NA
S333ST1,stomach,U333,NA,UBC_Hunt,AV,NA
S334ST1,stomach,U334,NA,UBC_Hunt,AV,NA
S335ST1,stomach,U335,NA,UBC_Hunt,AV,NA
S336ST1,stomach,U336,NA,UBC_Hunt,AV,NA
S337ST1,stomach,U337,NA,UBC_Hunt,AV,NA
S338ST1,stomach,U338,NA,UBC_Hunt,AV,NA
S339ST1,stomach,U339,NA,UBC_Hunt,AV,NA
S340ST1,stomach,U340,NA,UBC_Hunt,AV,NA
S341ST1,stomach,U341,NA,UBC_Hunt,AV,NA
S342ST1,stomach,U342,NA,UBC_Hunt,AV,NA
S343ST1,stomach,U343,NA,UBC_Hunt,AV,NA
S344ST1,stomach,U344,NA,UBC_Hunt,AV,NA
S345ST1,stomach,U345,NA,UBC_Hunt,AV,NA
S346ST1,stomach,U346,NA,UBC_Hunt,AV,NA
S347ST1,stomach,U347,NA,UBC_Hunt,AV,NA
S348ST1,stomach,U348,NA,UBC_Hunt,AV,NA
S349ST1,stomach,U349,NA,UBC_Hunt,AV,NA
S350ST1,stomach,U350,NA,UBC_Hunt,AV,NA
S351ST1,stomach,U351,NA,UBC_Hunt,AV,NA
S352ST1,stomach,U352,NA,UBC_Hunt,AV,NA
S353ST1,stomach,U353,NA,UBC_Hunt,AV,NA
S354ST1,stomach,U354,NA,UBC_Hunt,AV,NA
S355ST1,stomach,U355,NA,UBC_Hunt,AV,NA
S356ST1,stomach,U356,NA,UBC_Hunt,AV,NA
S357ST1,stomach,U357,NA,UBC_Hunt,AV,NA
S358ST1,stomach,U358,NA,UBC_Hunt,AV,NA
S359ST1,stomach,U359,NA,UBC_Hunt,AV,NA
S360ST1,stomach,U360,NA,UBC_Hunt,AV,NA
S361ST1,stomach,U361,NA,UBC_Hunt,AV,NA
S362ST1,stomach,U362,NA,UBC_Hunt,AV,NA
S363ST1,stomach,U363,NA,UBC_Hunt,AV,NA
S364ST1,stomach,U364,NA,UBC_Hunt,AV,NA
S365ST1,stomach,U365,NA,UBC_Hunt,AV,NA
S366ST1,stomach,U366,NA,UBC_Hunt,AV,NA
S367ST1,stomach,U367,NA,UBC_Hunt,AV,NA
S368ST1,stomach,U368,NA,UBC_Hunt,AV,NA
S369ST1,stomach,U369,NA,UBC_Hunt,AV,NA
S370ST1,stomach,U370,NA,UBC_Hunt,AV,NA
S371ST1,stomach,U371,NA,UBC_Hunt,AV,NA
S372ST1,stomach,U372,NA,UBC_Hunt,AV,NA
S373ST1,stomach,U373,NA,UBC_Hunt,AV,NA
S374ST1,stomach,U374,NA,UBC_Hunt,AV,NA
S375ST1,stomach,U375,NA,UBC_Hunt,AV,NA
S376ST1,stomach,U376,NA,UBC_Hunt,AV,NA
S377ST1,stomach,U377,NA,UBC_Hunt,AV,NA
S378ST1,stomach,U378,NA,UBC_Hunt,AV,NA
S379ST1,stomach,U379,NA,UBC_Hunt,AV,NA
S380ST1,stomach,U380,NA,UBC_Hunt,AV,NA
S381ST1,stomach,U381,NA,UBC_Hunt,AV,NA
S382ST1,stomach,U382,NA,UBC_Hunt,AV,NA
S383ST1,stomach,U383,NA,UBC_Hunt,AV,NA
S384ST1,stomach,U384,NA,UBC_Hunt,AV,NA
S385ST1,stomach,U385,NA,UBC_Hunt,AV,NA
S386ST1,stomach,U386,NA,UBC_Hunt,AV,NA
S387ST1,stomach,U387,NA,UBC_Hunt,AV,NA
S388ST1,stomach,U388,NA,UBC_Hunt,AV,NA
S389ST1,stomach,U389,NA,UBC_Hunt,AV,NA
S390ST1,stomach,U390,NA,UBC_Hunt,AV,NA
S391ST1,stomach,U391,NA,UBC_Hunt,AV,NA
S392ST1,stomach,U392,NA,UBC_Hunt,AV,NA
S393ST1,stomach,U393,NA,UBC_Hunt,AV,NA
S394ST1,stomach,U394,NA,UBC_Hunt,AV,NA
S395ST1,stomach,U395,NA,UBC_Hunt,AV,NA
S396ST1,stomach,U396,NA,UBC_Hunt,AV,NA
S397ST1,stomach,U397,NA,UBC_Hunt,AV,NA
S398ST1,stomach,U398,NA,UBC_Hunt,AV,NA
S399ST1,stomach,U399,NA,UBC_Hunt,AV,NA
S400ST1,stomach,U400,NA,UBC_Hunt,AV,NA
S401ST1,stomach,U401,NA,UBC_Hunt,AV,NA
S402ST1,stomach,U402,NA,UBC_Hunt,AV,NA
S403ST1,stomach,U403,NA,UBC_Hunt,AV,NA
S404ST1,stomach,U404,NA,UBC_Hunt,AV,NA
S405ST1,stomach,U405,NA,UBC_Hunt,AV,NA
S406ST1,stomach,U406,NA,UBC_Hunt,AV,NA
S407ST1,stomach,U407,NA,UBC_Hunt,AV,NA
S408ST1,stomach,U408,NA,UBC_Hunt,AV,NA
S409ST1,stomach,U409,NA,UBC_Hunt,AV,NA
S410ST1,stomach,U410,NA,UBC_Hunt,AV,NA
S411ST1,stomach,U411,NA,UBC_Hunt,AV,NA
S412ST1,stomach,U412,NA,UBC_Hunt,AV,NA
S413ST1,stomach,U413,NA,UBC_Hunt,AV,NA
S414ST1,stomach,U414,NA,UBC_Hunt,AV,NA
S415ST1,stomach,U415,NA,UBC_Hunt,AV,NA
S416ST1,stomach,U416,NA,UBC_Hunt,AV,NA
S417ST1,stomach,U417,NA,UBC_Hunt,AV,NA
S418ST1,stomach,U418,NA,UBC_Hunt,AV,NA
S419ST1,stomach,U419,NA,UBC_Hunt,AV,NA
S420ST1,stomach,U420,NA,UBC_Hunt,AV,NA
S421ST1,stomach,U421,NA,UBC_Hunt,AV,NA
S422ST1,stomach,U422,NA,UBC_Hunt,AV,NA
S423ST1,stomach,U423,NA,UBC_Hunt,AV,NA
S424ST1,stomach,U424,NA,UBC_Hunt,AV,NA
S425ST1,stomach,U425,NA,UBC_Hunt,AV,NA
S426ST1,stomach,U426,NA,UBC_Hunt,AV,NA
S427ST1,stomach,U427,NA,UBC_Hunt,AV,NA
S428ST1,stomach,U428,NA,UBC_Hunt,AV,NA
S429ST1,stomach,U429,NA,UBC_Hunt,AV,NA
S430ST1,stomach,U430,NA,UBC_Hunt,AV,NA
S431ST1,stomach,U431,NA,UBC_Hunt,AV,NA
S432ST1,stomach,U432,NA,UBC_Hunt,AV,NA
S433ST1,stomach,U433,NA,UBC_Hunt,AV,NA
S434ST1,stomach,U434,NA,UBC_Hunt,AV,NA
S435ST1,stomach,U435,NA,UBC_Hunt,AV,NA
S436ST1,stomach,U436,NA,UBC_Hunt,AV,NA
S437ST1,stomach,U437,NA,UBC_Hunt,AV,NA
S438ST1,stomach,U438,NA,UBC_Hunt,AV,NA
S439ST1,stomach,U439,NA,UBC_Hunt,AV,NA
S440ST1,stomach,U440,NA,UBC_Hunt,AV,NA
S441ST1,stomach,U441,NA,UBC_Hunt,AV,NA
S442ST1,stomach,U442,NA,UBC_Hunt,AV,NA
S443ST1,stomach,U443,NA,UBC_Hunt,AV,NA
S444ST1,stomach,U444,NA,UBC_Hunt,AV,NA
S445ST1,stomach,U445,NA,UBC_Hunt,AV,NA
S446ST1,stomach,U446,NA,UBC_Hunt,AV,NA
S447ST1,stomach,U447,NA,UBC_Hunt,AV,NA
S448ST1,stomach,U448,NA,UBC_Hunt,AV,NA
S449ST1,stomach,U449,NA,UBC_Hunt,AV,NA
S450ST1,stomach,U450,NA,UBC_Hunt,AV,NA
S451ST1,stomach,U451,NA,UBC_Hunt,AV,NA
S452ST1,stomach,U452,NA,UBC_Hunt,AV,NA
S453ST1,stomach,U453,NA,UBC_Hunt,AV,NA
S454ST1,stomach,U454,NA,UBC_Hunt,AV,NA
S455ST1,stomach,U455,NA,UBC_Hunt,AV,NA
