sample_id,sample_type,ufn,sample_comments,analyzing_lab
S273IS1,isotope,U273,NA,DCostalago_UBC
S274IS1,isotope,U274,NA,DCostalago_UBC
S275IS1,isotope,U275,NA,DCostalago_UBC
S276IS1,isotope,U276,NA,DCostalago_UBC
S277IS1,isotope,U277,NA,DCostalago_UBC
S278IS1,isotope,U278,NA,DCostalago_UBC
S279IS1,isotope,U279,NA,DCostalago_UBC
S280IS1,isotope,U280,NA,DCostalago_UBC
S281IS1,isotope,U281,NA,DCostalago_UBC
S284IS1,isotope,U284,NA,DCostalago_UBC
S285IS1,isotope,U285,NA,DCostalago_UBC
S286IS1,isotope,U286,NA,DCostalago_UBC
S287IS1,isotope,U287,NA,DCostalago_UBC
S288IS1,isotope,U288,NA,DCostalago_UBC
S289IS1,isotope,U289,NA,DCostalago_UBC
S290IS1,isotope,U290,NA,DCostalago_UBC
S291IS1,isotope,U291,NA,DCostalago_UBC
S292IS1,isotope,U292,NA,DCostalago_UBC
S293IS1,isotope,U293,NA,DCostalago_UBC
S294IS1,isotope,U294,NA,DCostalago_UBC
S295IS1,isotope,U295,NA,DCostalago_UBC
S296IS1,isotope,U296,NA,DCostalago_UBC
S297IS1,isotope,U297,NA,DCostalago_UBC
S298IS1,isotope,U298,NA,DCostalago_UBC
S299IS1,isotope,U299,NA,DCostalago_UBC
S300IS1,isotope,U300,NA,DCostalago_UBC
S301IS1,isotope,U301,NA,DCostalago_UBC
S302IS1,isotope,U302,NA,DCostalago_UBC
S303IS1,isotope,U303,NA,DCostalago_UBC
S304IS1,isotope,U304,NA,DCostalago_UBC
S305IS1,isotope,U305,NA,DCostalago_UBC
S306IS1,isotope,U306,NA,DCostalago_UBC
S307IS1,isotope,U307,NA,DCostalago_UBC
S308IS1,isotope,U308,NA,DCostalago_UBC
S309IS1,isotope,U309,NA,DCostalago_UBC
S310IS1,isotope,U310,NA,DCostalago_UBC
S311IS1,isotope,U311,NA,DCostalago_UBC
S312IS1,isotope,U312,NA,DCostalago_UBC
S313IS1,isotope,U313,NA,DCostalago_UBC
S315IS1,isotope,U315,NA,DCostalago_UBC
S316IS1,isotope,U316,NA,DCostalago_UBC
S317IS1,isotope,U317,NA,DCostalago_UBC
S318IS1,isotope,U318,NA,DCostalago_UBC
S319IS1,isotope,U319,NA,DCostalago_UBC
S320IS1,isotope,U320,NA,DCostalago_UBC
S321IS1,isotope,U321,NA,DCostalago_UBC
S322IS1,isotope,U322,NA,DCostalago_UBC
S323IS1,isotope,U323,NA,DCostalago_UBC
S324IS1,isotope,U324,NA,DCostalago_UBC
S325IS1,isotope,U325,NA,DCostalago_UBC
S326IS1,isotope,U326,NA,DCostalago_UBC
S327IS1,isotope,U327,NA,DCostalago_UBC
S328IS1,isotope,U328,NA,DCostalago_UBC
S329IS1,isotope,U329,NA,DCostalago_UBC
S330IS1,isotope,U330,NA,DCostalago_UBC
S331IS1,isotope,U331,NA,DCostalago_UBC
S332IS1,isotope,U332,NA,DCostalago_UBC
S333IS1,isotope,U333,NA,DCostalago_UBC
S334IS1,isotope,U334,NA,DCostalago_UBC
S335IS1,isotope,U335,NA,DCostalago_UBC
S336IS1,isotope,U336,NA,DCostalago_UBC
S337IS1,isotope,U337,NA,DCostalago_UBC
S338IS1,isotope,U338,NA,DCostalago_UBC
S339IS1,isotope,U339,NA,DCostalago_UBC
S340IS1,isotope,U340,NA,DCostalago_UBC
S341IS1,isotope,U341,NA,DCostalago_UBC
S342IS1,isotope,U342,NA,DCostalago_UBC
S343IS1,isotope,U343,NA,DCostalago_UBC
S344IS1,isotope,U344,NA,DCostalago_UBC
S345IS1,isotope,U345,NA,DCostalago_UBC
S346IS1,isotope,U346,NA,DCostalago_UBC
S347IS1,isotope,U347,NA,DCostalago_UBC
S348IS1,isotope,U348,NA,DCostalago_UBC
S349IS1,isotope,U349,NA,DCostalago_UBC
S350IS1,isotope,U350,NA,DCostalago_UBC
S351IS1,isotope,U351,NA,DCostalago_UBC
S352IS1,isotope,U352,NA,DCostalago_UBC
S353IS1,isotope,U353,NA,DCostalago_UBC
S354IS1,isotope,U354,NA,DCostalago_UBC
S355IS1,isotope,U355,NA,DCostalago_UBC
S356IS1,isotope,U356,NA,DCostalago_UBC
S357IS1,isotope,U357,NA,DCostalago_UBC
S358IS1,isotope,U358,NA,DCostalago_UBC
S359IS1,isotope,U359,NA,DCostalago_UBC
S360IS1,isotope,U360,NA,DCostalago_UBC
S361IS1,isotope,U361,NA,DCostalago_UBC
S362IS1,isotope,U362,NA,DCostalago_UBC
S363IS1,isotope,U363,NA,DCostalago_UBC
S364IS1,isotope,U364,NA,DCostalago_UBC
S365IS1,isotope,U365,NA,DCostalago_UBC
S366IS1,isotope,U366,NA,DCostalago_UBC
S367IS1,isotope,U367,NA,DCostalago_UBC
S368IS1,isotope,U368,NA,DCostalago_UBC
S369IS1,isotope,U369,NA,DCostalago_UBC
S370IS1,isotope,U370,NA,DCostalago_UBC
S371IS1,isotope,U371,NA,DCostalago_UBC
S372IS1,isotope,U372,NA,DCostalago_UBC
S373IS1,isotope,U373,NA,DCostalago_UBC
S374IS1,isotope,U374,NA,DCostalago_UBC
S375IS1,isotope,U375,NA,DCostalago_UBC
S376IS1,isotope,U376,NA,DCostalago_UBC
S377IS1,isotope,U377,NA,DCostalago_UBC
S378IS1,isotope,U378,NA,DCostalago_UBC
S379IS1,isotope,U379,NA,DCostalago_UBC
S380IS1,isotope,U380,NA,DCostalago_UBC
S381IS1,isotope,U381,NA,DCostalago_UBC
S382IS1,isotope,U382,NA,DCostalago_UBC
S383IS1,isotope,U383,NA,DCostalago_UBC
S384IS1,isotope,U384,NA,DCostalago_UBC
S385IS1,isotope,U385,NA,DCostalago_UBC
S386IS1,isotope,U386,NA,DCostalago_UBC
S387IS1,isotope,U387,NA,DCostalago_UBC
S388IS1,isotope,U388,NA,DCostalago_UBC
S389IS1,isotope,U389,NA,DCostalago_UBC
S390IS1,isotope,U390,NA,DCostalago_UBC
S391IS1,isotope,U391,NA,DCostalago_UBC
S392IS1,isotope,U392,NA,DCostalago_UBC
S393IS1,isotope,U393,NA,DCostalago_UBC
S394IS1,isotope,U394,NA,DCostalago_UBC
S395IS1,isotope,U395,NA,DCostalago_UBC
S396IS1,isotope,U396,NA,DCostalago_UBC
S397IS1,isotope,U397,NA,DCostalago_UBC
S398IS1,isotope,U398,NA,DCostalago_UBC
S399IS1,isotope,U399,NA,DCostalago_UBC
S400IS1,isotope,U400,NA,DCostalago_UBC
S401IS1,isotope,U401,NA,DCostalago_UBC
S402IS1,isotope,U402,NA,DCostalago_UBC
S403IS1,isotope,U403,NA,DCostalago_UBC
S404IS1,isotope,U404,NA,DCostalago_UBC
S405IS1,isotope,U405,NA,DCostalago_UBC
S406IS1,isotope,U406,NA,DCostalago_UBC
S407IS1,isotope,U407,NA,DCostalago_UBC
S408IS1,isotope,U408,NA,DCostalago_UBC
S409IS1,isotope,U409,NA,DCostalago_UBC
S410IS1,isotope,U410,NA,DCostalago_UBC
S411IS1,isotope,U411,NA,DCostalago_UBC
S412IS1,isotope,U412,NA,DCostalago_UBC
S413IS1,isotope,U413,NA,DCostalago_UBC
S414IS1,isotope,U414,NA,DCostalago_UBC
S415IS1,isotope,U415,NA,DCostalago_UBC
S416IS1,isotope,U416,NA,DCostalago_UBC
S417IS1,isotope,U417,NA,DCostalago_UBC
S418IS1,isotope,U418,NA,DCostalago_UBC
S419IS1,isotope,U419,NA,DCostalago_UBC
S420IS1,isotope,U420,NA,DCostalago_UBC
S421IS1,isotope,U421,NA,DCostalago_UBC
S422IS1,isotope,U422,NA,DCostalago_UBC
S423IS1,isotope,U423,NA,DCostalago_UBC
S424IS1,isotope,U424,NA,DCostalago_UBC
S425IS1,isotope,U425,NA,DCostalago_UBC
S426IS1,isotope,U426,NA,DCostalago_UBC
S427IS1,isotope,U427,NA,DCostalago_UBC
S428IS1,isotope,U428,NA,DCostalago_UBC
S429IS1,isotope,U429,NA,DCostalago_UBC
S430IS1,isotope,U430,NA,DCostalago_UBC
S431IS1,isotope,U431,NA,DCostalago_UBC
S432IS1,isotope,U432,NA,DCostalago_UBC
S433IS1,isotope,U433,NA,DCostalago_UBC
S434IS1,isotope,U434,NA,DCostalago_UBC
S435IS1,isotope,U435,NA,DCostalago_UBC
S436IS1,isotope,U436,NA,DCostalago_UBC
S437IS1,isotope,U437,NA,DCostalago_UBC
S438IS1,isotope,U438,NA,DCostalago_UBC
S439IS1,isotope,U439,NA,DCostalago_UBC
S440IS1,isotope,U440,NA,DCostalago_UBC
S441IS1,isotope,U441,NA,DCostalago_UBC
S442IS1,isotope,U442,NA,DCostalago_UBC
S443IS1,isotope,U443,NA,DCostalago_UBC
S444IS1,isotope,U444,NA,DCostalago_UBC
S445IS1,isotope,U445,NA,DCostalago_UBC
S446IS1,isotope,U446,NA,DCostalago_UBC
S447IS1,isotope,U447,NA,DCostalago_UBC
S448IS1,isotope,U448,NA,DCostalago_UBC
S449IS1,isotope,U449,NA,DCostalago_UBC
S450IS1,isotope,U450,NA,DCostalago_UBC
S451IS1,isotope,U451,NA,DCostalago_UBC
S452IS1,isotope,U452,NA,DCostalago_UBC
S453IS1,isotope,U453,NA,DCostalago_UBC
S454IS1,isotope,U454,NA,DCostalago_UBC
S455IS1,isotope,U455,NA,DCostalago_UBC
S456IS1,isotope,U456,NA,DCostalago_UBC
S457IS1,isotope,U457,NA,DCostalago_UBC
S458IS1,isotope,U458,NA,DCostalago_UBC
