sample_id,sample_type,ufn,tissue_type,sample_comments,analyzing_lab,quality_log
S2897DN1,DNA,U2897,liver,NA,NA,NA
S2898DN1,DNA,U2898,liver,NA,NA,NA
S2899DN1,DNA,U2899,liver,NA,NA,NA
S2900DN1,DNA,U2900,liver,NA,NA,NA
DS00632,DNA,U2901,fin_clip,NA,NA,NA
DS00635,DNA,U2902,fin_clip,NA,NA,NA
DS00227,DNA,U2903,fin_clip,NA,PBS,NA
S2904DN1,DNA,U2904,liver,NA,NA,NA
S2905DN1,DNA,U2905,liver,NA,NA,NA
S2906DN1,DNA,U2906,liver,NA,NA,NA
S2907DN1,DNA,U2907,liver,NA,NA,NA
S2908DN1,DNA,U2908,liver,NA,NA,NA
S2909DN1,DNA,U2909,liver,NA,NA,NA
S2910DN1,DNA,U2910,liver,NA,NA,NA
S2911DN1,DNA,U2911,liver,NA,NA,NA
S2912DN1,DNA,U2912,liver,NA,NA,NA
S2913DN1,DNA,U2913,liver,NA,NA,NA
S2914DN1,DNA,U2914,liver,NA,NA,NA
S2915DN1,DNA,U2915,liver,NA,NA,NA
S2916DN1,DNA,U2916,liver,NA,NA,NA
S2917DN1,DNA,U2917,liver,NA,NA,NA
S2918DN1,DNA,U2918,liver,NA,NA,NA
S2919DN1,DNA,U2919,liver,NA,NA,NA
S2920DN1,DNA,U2920,liver,NA,NA,NA
S2921DN1,DNA,U2921,liver,NA,NA,NA
S2922DN1,DNA,U2922,liver,NA,NA,NA
S2923DN1,DNA,U2923,liver,NA,NA,NA
S2924DN1,DNA,U2924,liver,NA,NA,NA
S2925DN1,DNA,U2925,liver,NA,NA,NA
S2926DN1,DNA,U2926,liver,NA,NA,NA
S2927DN1,DNA,U2927,liver,NA,NA,NA
S2928DN1,DNA,U2928,liver,NA,NA,NA
S2929DN1,DNA,U2929,liver,NA,NA,NA
S2930DN1,DNA,U2930,liver,NA,NA,NA
S2931DN1,DNA,U2931,liver,NA,NA,NA
S2932DN1,DNA,U2932,liver,NA,NA,NA
S2933DN1,DNA,U2933,liver,NA,NA,NA
S2934DN1,DNA,U2934,liver,NA,NA,NA
S2935DN1,DNA,U2935,liver,NA,NA,NA
S2936DN1,DNA,U2936,liver,NA,NA,NA
S2937DN1,DNA,U2937,liver,NA,NA,NA
S2938DN1,DNA,U2938,liver,NA,NA,NA
S2939DN1,DNA,U2939,liver,NA,NA,NA
S2940DN1,DNA,U2940,liver,NA,NA,NA
S2941DN1,DNA,U2941,liver,NA,NA,NA
S2942DN1,DNA,U2942,liver,NA,NA,NA
S2943DN1,DNA,U2943,liver,NA,NA,NA
S2944DN1,DNA,U2944,liver,NA,NA,NA
S2945DN1,DNA,U2945,liver,NA,NA,NA
S2946DN1,DNA,U2946,liver,NA,NA,NA
S3001DN1,DNA,U3001,liver,NA,NA,NA
S3002DN1,DNA,U3002,liver,NA,NA,NA
S3003DN1,DNA,U3003,liver,NA,NA,NA
S3004DN1,DNA,U3004,liver,NA,NA,NA
S3005DN1,DNA,U3005,liver,NA,NA,NA
S3006DN1,DNA,U3006,liver,NA,NA,NA
S3007DN1,DNA,U3007,liver,NA,NA,NA
S3008DN1,DNA,U3008,liver,NA,NA,NA
S3009DN1,DNA,U3009,liver,NA,NA,NA
S3010DN1,DNA,U3010,liver,NA,NA,NA
S3011DN1,DNA,U3011,liver,NA,NA,NA
S3012DN1,DNA,U3012,liver,NA,NA,NA
S3013DN1,DNA,U3013,liver,NA,NA,NA
S3014DN1,DNA,U3014,liver,NA,NA,NA
S3015DN1,DNA,U3015,liver,NA,NA,NA
S3016DN1,DNA,U3016,liver,NA,NA,NA
S3017DN1,DNA,U3017,liver,NA,NA,NA
S3018DN1,DNA,U3018,liver,NA,NA,NA
S3019DN1,DNA,U3019,liver,NA,NA,NA
S3020DN1,DNA,U3020,liver,NA,NA,NA
S3021DN1,DNA,U3021,liver,NA,NA,NA
S3022DN1,DNA,U3022,liver,NA,NA,NA
S3023DN1,DNA,U3023,liver,NA,NA,NA
S3024DN1,DNA,U3024,liver,NA,NA,NA
S3025DN1,DNA,U3025,liver,NA,NA,NA
S3026DN1,DNA,U3026,liver,NA,NA,NA
S3027DN1,DNA,U3027,liver,NA,NA,NA
S3028DN1,DNA,U3028,liver,NA,NA,NA
S3029DN1,DNA,U3029,liver,NA,NA,NA
S3030DN1,DNA,U3030,liver,NA,NA,NA
S3031DN1,DNA,U3031,liver,NA,NA,NA
S3032DN1,DNA,U3032,liver,NA,NA,NA
S3033DN1,DNA,U3033,liver,NA,NA,NA
S3034DN1,DNA,U3034,liver,NA,NA,NA
S3035DN1,DNA,U3035,liver,NA,NA,NA
S3036DN1,DNA,U3036,liver,NA,NA,NA
S3037DN1,DNA,U3037,liver,NA,NA,NA
S3038DN1,DNA,U3038,liver,NA,NA,NA
S3039DN1,DNA,U3039,liver,NA,NA,NA
S3040DN1,DNA,U3040,liver,NA,NA,NA
S3041DN1,DNA,U3041,liver,NA,NA,NA
S3042DN1,DNA,U3042,liver,NA,NA,NA
S3043DN1,DNA,U3043,liver,NA,NA,NA
S3044DN1,DNA,U3044,liver,NA,NA,NA
S3045DN1,DNA,U3045,liver,NA,NA,NA
S3046DN1,DNA,U3046,liver,NA,NA,NA
S3047DN1,DNA,U3047,liver,NA,NA,NA
S3048DN1,DNA,U3048,liver,NA,NA,NA
S3049DN1,DNA,U3049,liver,NA,NA,NA
S3050DN1,DNA,U3050,liver,NA,NA,NA
S3051DN1,DNA,U3051,liver,NA,NA,NA
S3052DN1,DNA,U3052,liver,NA,NA,NA
S3053DN1,DNA,U3053,liver,NA,NA,NA
S3054DN1,DNA,U3054,liver,NA,NA,NA
S3055DN1,DNA,U3055,liver,NA,NA,NA
S3056DN1,DNA,U3056,liver,NA,NA,NA
S3057DN1,DNA,U3057,liver,NA,NA,NA
S3058DN1,DNA,U3058,liver,NA,NA,NA
S3059DN1,DNA,U3059,liver,NA,NA,NA
S3060DN1,DNA,U3060,liver,NA,NA,NA
S3061DN1,DNA,U3061,liver,NA,NA,NA
S3062DN1,DNA,U3062,liver,NA,NA,NA
S3063DN1,DNA,U3063,liver,NA,NA,NA
S3064DN1,DNA,U3064,liver,NA,NA,NA
S3065DN1,DNA,U3065,liver,NA,NA,NA
S3066DN1,DNA,U3066,liver,NA,NA,NA
S3067DN1,DNA,U3067,liver,NA,NA,NA
S3068DN1,DNA,U3068,liver,NA,NA,NA
S3069DN1,DNA,U3069,liver,NA,NA,NA
S3070DN1,DNA,U3070,liver,NA,NA,NA
S3071DN1,DNA,U3071,liver,NA,NA,NA
S3072DN1,DNA,U3072,liver,NA,NA,NA
S3073DN1,DNA,U3073,liver,NA,NA,NA
S3074DN1,DNA,U3074,liver,NA,NA,NA
S3075DN1,DNA,U3075,liver,NA,NA,NA
S3076DN1,DNA,U3076,liver,NA,NA,NA
S3077DN1,DNA,U3077,liver,NA,NA,NA
S3078DN1,DNA,U3078,liver,NA,NA,NA
S3079DN1,DNA,U3079,liver,NA,NA,NA
S3080DN1,DNA,U3080,liver,NA,NA,NA
S3081DN1,DNA,U3081,liver,NA,NA,NA
S3082DN1,DNA,U3082,liver,NA,NA,NA
S3083DN1,DNA,U3083,liver,NA,NA,NA
S3084DN1,DNA,U3084,liver,NA,NA,NA
S3085DN1,DNA,U3085,liver,NA,NA,NA
S3086DN1,DNA,U3086,liver,NA,NA,NA
S3087DN1,DNA,U3087,liver,NA,NA,NA
S3088DN1,DNA,U3088,liver,NA,NA,NA
S3089DN1,DNA,U3089,liver,NA,NA,NA
S3090DN1,DNA,U3090,liver,NA,NA,NA
S3091DN1,DNA,U3091,liver,NA,NA,NA
S3092DN1,DNA,U3092,liver,NA,NA,NA
S3093DN1,DNA,U3093,liver,NA,NA,NA
S3094DN1,DNA,U3094,liver,NA,NA,NA
S3095DN1,DNA,U3095,liver,NA,NA,NA
S3096DN1,DNA,U3096,liver,NA,NA,NA
S3097DN1,DNA,U3097,liver,NA,NA,NA
S3098DN1,DNA,U3098,liver,NA,NA,NA
S3099DN1,DNA,U3099,liver,NA,NA,NA
S3100DN1,DNA,U3100,liver,NA,NA,NA
S3101DN1,DNA,U3101,liver,NA,NA,NA
S3102DN1,DNA,U3102,liver,NA,NA,NA
S3103DN1,DNA,U3103,liver,NA,NA,NA
S3104DN1,DNA,U3104,liver,NA,NA,NA
S3105DN1,DNA,U3105,liver,NA,NA,NA
S3106DN1,DNA,U3106,liver,NA,NA,NA
S3107DN1,DNA,U3107,liver,NA,NA,NA
S3108DN1,DNA,U3108,liver,NA,NA,NA
S3109DN1,DNA,U3109,liver,NA,NA,NA
S3110DN1,DNA,U3110,liver,NA,NA,NA
S3111DN1,DNA,U3111,liver,NA,NA,NA
S3112DN1,DNA,U3112,liver,NA,NA,NA
S3113DN1,DNA,U3113,liver,NA,NA,NA
S3114DN1,DNA,U3114,liver,NA,NA,NA
S3115DN1,DNA,U3115,liver,NA,NA,NA
S3116DN1,DNA,U3116,liver,NA,NA,NA
S3117DN1,DNA,U3117,liver,NA,NA,NA
S3118DN1,DNA,U3118,liver,NA,NA,NA
S3119DN1,DNA,U3119,liver,NA,NA,NA
S3120DN1,DNA,U3120,liver,NA,NA,NA
S3121DN1,DNA,U3121,liver,NA,NA,NA
S3122DN1,DNA,U3122,liver,NA,NA,NA
S3123DN1,DNA,U3123,liver,NA,NA,NA
S3124DN1,DNA,U3124,liver,NA,NA,NA
S3125DN1,DNA,U3125,liver,NA,NA,NA
S3126DN1,DNA,U3126,liver,NA,NA,NA
S3127DN1,DNA,U3127,liver,NA,NA,NA
S3128DN1,DNA,U3128,liver,NA,NA,NA
S3129DN1,DNA,U3129,liver,NA,NA,NA
S3130DN1,DNA,U3130,liver,NA,NA,NA
S3131DN1,DNA,U3131,liver,NA,NA,NA
S3132DN1,DNA,U3132,liver,NA,NA,NA
S3133DN1,DNA,U3133,liver,NA,NA,NA
S3134DN1,DNA,U3134,liver,NA,NA,NA
S3135DN1,DNA,U3135,liver,NA,NA,NA
S3136DN1,DNA,U3136,liver,NA,NA,NA
S3137DN1,DNA,U3137,liver,NA,NA,NA
S3138DN1,DNA,U3138,liver,NA,NA,NA
S3139DN1,DNA,U3139,liver,NA,NA,NA
S3140DN1,DNA,U3140,liver,NA,NA,NA
S3141DN1,DNA,U3141,liver,NA,NA,NA
S3142DN1,DNA,U3142,liver,NA,NA,NA
S3143DN1,DNA,U3143,liver,NA,NA,NA
S3144DN1,DNA,U3144,liver,NA,NA,NA
S3145DN1,DNA,U3145,liver,NA,NA,NA
S3146DN1,DNA,U3146,liver,NA,NA,NA
S3147DN1,DNA,U3147,liver,NA,NA,NA
S3148DN1,DNA,U3148,liver,NA,NA,NA
S3149DN1,DNA,U3149,liver,NA,NA,NA
S3150DN1,DNA,U3150,liver,NA,NA,NA
S3151DN1,DNA,U3151,liver,NA,NA,NA
S3152DN1,DNA,U3152,liver,NA,NA,NA
S3153DN1,DNA,U3153,liver,NA,NA,NA
S3154DN1,DNA,U3154,liver,NA,NA,NA
S3155DN1,DNA,U3155,liver,NA,NA,NA
S3156DN1,DNA,U3156,liver,NA,NA,NA
S3157DN1,DNA,U3157,liver,NA,NA,NA
S3158DN1,DNA,U3158,liver,NA,NA,NA
S3159DN1,DNA,U3159,liver,NA,NA,NA
S3160DN1,DNA,U3160,liver,NA,NA,NA
S3161DN1,DNA,U3161,liver,NA,NA,NA
S3162DN1,DNA,U3162,liver,NA,NA,NA
S3163DN1,DNA,U3163,liver,NA,NA,NA
S3164DN1,DNA,U3164,liver,NA,NA,NA
S3165DN1,DNA,U3165,liver,NA,NA,NA
S3166DN1,DNA,U3166,liver,NA,NA,NA
S3167DN1,DNA,U3167,liver,NA,NA,NA
S3168DN1,DNA,U3168,liver,NA,NA,NA
