sample_id,sample_type,ufn,sample_comments,analyzing_lab
S1015SL1,sealice_id_fs,U1015,NA,LPortner
S1009SL1,sealice_id_fs,U1009,NA,LPortner
S1031SL1,sealice_id_fs,U1031,NA,LPortner
S1016SL1,sealice_id_fs,U1016,NA,LPortner
S1010SL1,sealice_id_fs,U1010,NA,LPortner
S1032SL1,sealice_id_fs,U1032,NA,LPortner
S1017SL1,sealice_id_fs,U1017,NA,LPortner
S1041SL1,sealice_id_fs,U1041,NA,LPortner
S1033SL1,sealice_id_fs,U1033,NA,LPortner
S1028SL1,sealice_id_fs,U1028,NA,LPortner
S1053SL1,sealice_id_fs,U1053,NA,LPortner
S1034SL1,sealice_id_fs,U1034,NA,LPortner
S1052SL1,sealice_id_fs,U1052,NA,LPortner
S1054SL1,sealice_id_fs,U1054,NA,LPortner
S1035SL1,sealice_id_fs,U1035,NA,LPortner
S68SL1,sealice_id_fs,U68,NA,LPortner
S59SL1,sealice_id_fs,U59,"One louse on dorsal fin damaged put into vial, likely Chal B stage",LPortner
S78SL1,sealice_id_fs,U78,NA,LPortner
S69SL1,sealice_id_fs,U69,NA,LPortner
S70SL1,sealice_id_fs,U70,NA,LPortner
S60SL1,sealice_id_fs,U60,NA,LPortner
S91SL1,sealice_id_fs,U91,NA,LPortner
S101SL1,sealice_id_fs,U101,NA,LPortner
S79SL1,sealice_id_fs,U79,NA,LPortner
S92SL1,sealice_id_fs,U92,NA,LPortner
S102SL1,sealice_id_fs,U102,NA,LPortner
S80SL1,sealice_id_fs,U80,NA,LPortner
S103SL1,sealice_id_fs,U103,NA,LPortner
S82SL1,sealice_id_fs,U82,NA,LPortner
S93SL1,sealice_id_fs,U93,NA,LPortner
S94SL1,sealice_id_fs,U94,NA,LPortner
S95SL1,sealice_id_fs,U95,NA,LPortner
S83SL1,sealice_id_fs,U83,1 Chal. A destroyed but retained,LPortner
S96SL1,sealice_id_fs,U96,NA,LPortner
S84SL1,sealice_id_fs,U84,NA,LPortner
S97SL1,sealice_id_fs,U97,NA,LPortner
S98SL1,sealice_id_fs,U98,NA,LPortner
S85SL1,sealice_id_fs,U85,Half of a calanus motile retained,LPortner
S86SL1,sealice_id_fs,U86,NA,LPortner
S87SL1,sealice_id_fs,U87,NA,LPortner
S88SL1,sealice_id_fs,U88,NA,LPortner
S111SL1,sealice_id_fs,U111,NA,LPortner
S89SL1,sealice_id_fs,U89,NA,LPortner
S112SL1,sealice_id_fs,U112,1 mangled Cal Chal B retained,LPortner
S90SL1,sealice_id_fs,U90,NA,LPortner
S104SL1,sealice_id_fs,U104,NA,LPortner
S121SL1,sealice_id_fs,U121,NA,LPortner
S113SL1,sealice_id_fs,U113,NA,LPortner
S105SL1,sealice_id_fs,U105,NA,LPortner
S114SL1,sealice_id_fs,U114,NA,LPortner
S106SL1,sealice_id_fs,U106,NA,LPortner
S122SL1,sealice_id_fs,U122,NA,LPortner
S115SL1,sealice_id_fs,U115,NA,LPortner
S107SL1,sealice_id_fs,U107,NA,LPortner
S108SL1,sealice_id_fs,U108,NA,LPortner
S123SL1,sealice_id_fs,U123,NA,LPortner
S116SL1,sealice_id_fs,U116,NA,LPortner
S117SL1,sealice_id_fs,U117,NA,LPortner
S124SL1,sealice_id_fs,U124,NA,LPortner
S109SL1,sealice_id_fs,U109,NA,LPortner
S118SL1,sealice_id_fs,U118,NA,LPortner
S99SL1,sealice_id_fs,U99,NA,LPortner
S119SL1,sealice_id_fs,U119,NA,LPortner
S1045SL1,sealice_id_fs,U1045,NA,LPortner
S1046SL1,sealice_id_fs,U1046,NA,LPortner
S1055SL1,sealice_id_fs,U1055,NA,LPortner
S1036SL1,sealice_id_fs,U1036,NA,LPortner
S1047SL1,sealice_id_fs,U1047,NA,LPortner
S1056SL1,sealice_id_fs,U1056,NA,LPortner
S1048SL1,sealice_id_fs,U1048,NA,LPortner
S1037SL1,sealice_id_fs,U1037,NA,LPortner
S1057SL1,sealice_id_fs,U1057,NA,LPortner
S1038SL1,sealice_id_fs,U1038,NA,LPortner
S1049SL1,sealice_id_fs,U1049,NA,LPortner
S1039SL1,sealice_id_fs,U1039,NA,LPortner
S1050SL1,sealice_id_fs,U1050,NA,LPortner
S1029SL1,sealice_id_fs,U1029,NA,LPortner
S1040SL1,sealice_id_fs,U1040,NA,LPortner
S1071SL1,sealice_id_fs,U1071,NA,LPortner
S1072SL1,sealice_id_fs,U1072,NA,LPortner
S1073SL1,sealice_id_fs,U1073,NA,LPortner
S1030SL1,sealice_id_fs,U1030,NA,LPortner
S1058SL1,sealice_id_fs,U1058,NA,LPortner
S1081SL1,sealice_id_fs,U1081,NA,LPortner
S1059SL1,sealice_id_fs,U1059,NA,LPortner
S1091SL1,sealice_id_fs,U1091,NA,LPortner
S1082SL1,sealice_id_fs,U1082,NA,LPortner
S1060SL1,sealice_id_fs,U1060,NA,LPortner
S1095SL1,sealice_id_fs,U1095,NA,LPortner
S1077SL1,sealice_id_fs,U1077,NA,LPortner
S1096SL1,sealice_id_fs,U1096,NA,LPortner
S1097SL1,sealice_id_fs,U1097,NA,LPortner
S1089SL1,sealice_id_fs,U1089,NA,LPortner
S1098SL1,sealice_id_fs,U1098,NA,LPortner
S1099SL1,sealice_id_fs,U1099,NA,LPortner
S1065SL1,sealice_id_fs,U1065,NA,LPortner
S1080SL1,sealice_id_fs,U1080,NA,LPortner
S1090SL1,sealice_id_fs,U1090,NA,LPortner
S1100SL1,sealice_id_fs,U1100,NA,LPortner
S1121SL1,sealice_id_fs,U1121,NA,LPortner
S1101SL1,sealice_id_fs,U1101,NA,LPortner
S1124SL1,sealice_id_fs,U1124,NA,LPortner
S1069SL1,sealice_id_fs,U1069,NA,LPortner
S1108SL1,sealice_id_fs,U1108,NA,LPortner
S1140SL1,sealice_id_fs,U1140,NA,LPortner
S1129SL1,sealice_id_fs,U1129,NA,LPortner
S1161SL1,sealice_id_fs,U1161,NA,LPortner
S1130SL1,sealice_id_fs,U1130,NA,LPortner
S1109SL1,sealice_id_fs,U1109,NA,LPortner
S1162SL1,sealice_id_fs,U1162,NA,LPortner
S1151SL1,sealice_id_fs,U1151,NA,LPortner
S1110SL1,sealice_id_fs,U1110,NA,LPortner
S1144SL1,sealice_id_fs,U1144,NA,LPortner
S1152SL1,sealice_id_fs,U1152,NA,LPortner
S1163SL1,sealice_id_fs,U1163,NA,LPortner
S1145SL1,sealice_id_fs,U1145,NA,LPortner
S1164SL1,sealice_id_fs,U1164,NA,LPortner
