ufn,sample_type,sample_id,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
U246,RNA_DNA,S246RD1,NA,UBC_Hunt,AV,NA
U247,RNA_DNA,S247RD1,NA,UBC_Hunt,AV,NA
U248,RNA_DNA,S248RD1,NA,UBC_Hunt,AV,NA
U249,RNA_DNA,S249RD1,NA,UBC_Hunt,AV,NA
U250,RNA_DNA,S250RD1,NA,UBC_Hunt,AV,NA
U261,RNA_DNA,S261RD1,NA,UBC_Hunt,AV,NA
U262,RNA_DNA,S262RD1,NA,UBC_Hunt,AV,NA
U255,RNA_DNA,S255RD1,NA,UBC_Hunt,AV,NA
U256,RNA_DNA,S256RD1,NA,UBC_Hunt,AV,NA
U257,RNA_DNA,S257RD1,NA,UBC_Hunt,AV,NA
U258,RNA_DNA,S258RD1,NA,UBC_Hunt,AV,NA
U259,RNA_DNA,S259RD1,NA,UBC_Hunt,AV,NA
U260,RNA_DNA,S260RD1,NA,UBC_Hunt,AV,NA
U271,RNA_DNA,S271RD1,NA,UBC_Hunt,AV,NA
U272,RNA_DNA,S272RD1,NA,UBC_Hunt,AV,NA
U263,RNA_DNA,S263RD1,NA,UBC_Hunt,AV,NA
U264,RNA_DNA,S264RD1,NA,UBC_Hunt,AV,NA
U265,RNA_DNA,S265RD1,NA,UBC_Hunt,AV,NA
U266,RNA_DNA,S266RD1,NA,UBC_Hunt,AV,NA
U267,RNA_DNA,S267RD1,NA,UBC_Hunt,AV,NA
U268,RNA_DNA,S268RD1,NA,UBC_Hunt,AV,NA
U269,RNA_DNA,S269RD1,NA,UBC_Hunt,AV,NA
U270,RNA_DNA,S270RD1,NA,UBC_Hunt,AV,NA
U286,RNA_DNA,S286RD1,NA,UBC_Hunt,AV,NA
U285,RNA_DNA,S285RD1,NA,UBC_Hunt,AV,NA
U284,RNA_DNA,S284RD1,NA,UBC_Hunt,AV,NA
U281,RNA_DNA,S281RD1,NA,UBC_Hunt,AV,NA
U230,RNA_DNA,S230RD1,NA,UBC_Hunt,AV,NA
U229,RNA_DNA,S229RD1,NA,UBC_Hunt,AV,NA
U273,RNA_DNA,S273RD1,NA,UBC_Hunt,AV,NA
U274,RNA_DNA,S274RD1,NA,UBC_Hunt,AV,NA
U275,RNA_DNA,S275RD1,NA,UBC_Hunt,AV,NA
U276,RNA_DNA,S276RD1,NA,UBC_Hunt,AV,NA
U277,RNA_DNA,S277RD1,NA,UBC_Hunt,AV,NA
U278,RNA_DNA,S278RD1,NA,UBC_Hunt,AV,NA
U279,RNA_DNA,S279RD1,NA,UBC_Hunt,AV,NA
U280,RNA_DNA,S280RD1,NA,UBC_Hunt,AV,NA
U294,RNA_DNA,S294RD1,NA,UBC_Hunt,AV,NA
U293,RNA_DNA,S293RD1,NA,UBC_Hunt,AV,NA
U292,RNA_DNA,S292RD1,NA,UBC_Hunt,AV,NA
U291,RNA_DNA,S291RD1,NA,UBC_Hunt,AV,NA
U290,RNA_DNA,S290RD1,NA,UBC_Hunt,AV,NA
U289,RNA_DNA,S289RD1,NA,UBC_Hunt,AV,NA
U288,RNA_DNA,S288RD1,NA,UBC_Hunt,AV,NA
U287,RNA_DNA,S287RD1,NA,UBC_Hunt,AV,NA
U301,RNA_DNA,S301RD1,NA,UBC_Hunt,AV,NA
U302,RNA_DNA,S302RD1,NA,UBC_Hunt,AV,NA
U303,RNA_DNA,S303RD1,NA,UBC_Hunt,AV,NA
U304,RNA_DNA,S304RD1,NA,UBC_Hunt,AV,NA
U305,RNA_DNA,S305RD1,NA,UBC_Hunt,AV,NA
U306,RNA_DNA,S306RD1,NA,UBC_Hunt,AV,NA
U307,RNA_DNA,S307RD1,NA,UBC_Hunt,AV,NA
U308,RNA_DNA,S308RD1,NA,UBC_Hunt,AV,NA
U332,RNA_DNA,S332RD1,NA,UBC_Hunt,AV,NA
U331,RNA_DNA,S331RD1,NA,UBC_Hunt,AV,NA
U300,RNA_DNA,S300RD1,NA,UBC_Hunt,AV,NA
U299,RNA_DNA,S299RD1,NA,UBC_Hunt,AV,NA
U298,RNA_DNA,S298RD1,NA,UBC_Hunt,AV,NA
U297,RNA_DNA,S297RD1,NA,UBC_Hunt,AV,NA
U296,RNA_DNA,S296RD1,NA,UBC_Hunt,AV,NA
U295,RNA_DNA,S295RD1,NA,UBC_Hunt,AV,NA
U315,RNA_DNA,S315RD1,NA,UBC_Hunt,AV,NA
U316,RNA_DNA,S316RD1,NA,UBC_Hunt,AV,NA
U317,RNA_DNA,S317RD1,NA,UBC_Hunt,AV,NA
U318,RNA_DNA,S318RD1,NA,UBC_Hunt,AV,NA
U319,RNA_DNA,S319RD1,NA,UBC_Hunt,AV,NA
U320,RNA_DNA,S320RD1,NA,UBC_Hunt,AV,NA
U351,RNA_DNA,S351RD1,NA,UBC_Hunt,AV,NA
U352,RNA_DNA,S352RD1,NA,UBC_Hunt,AV,NA
U321,RNA_DNA,S321RD1,NA,UBC_Hunt,AV,NA
U375,RNA_DNA,S375RD1,NA,UBC_Hunt,AV,NA
U376,RNA_DNA,S376RD1,NA,UBC_Hunt,AV,NA
U377,RNA_DNA,S377RD1,NA,UBC_Hunt,AV,NA
U378,RNA_DNA,S378RD1,NA,UBC_Hunt,AV,NA
U379,RNA_DNA,S379RD1,NA,UBC_Hunt,AV,NA
U380,RNA_DNA,S380RD1,NA,UBC_Hunt,AV,NA
U401,RNA_DNA,S401RD1,NA,UBC_Hunt,AV,NA
U309,RNA_DNA,S309RD1,NA,UBC_Hunt,AV,NA
U310,RNA_DNA,S310RD1,NA,UBC_Hunt,AV,NA
U341,RNA_DNA,S341RD1,NA,UBC_Hunt,AV,NA
U342,RNA_DNA,S342RD1,NA,UBC_Hunt,AV,NA
U343,RNA_DNA,S343RD1,NA,UBC_Hunt,AV,NA
U344,RNA_DNA,S344RD1,NA,UBC_Hunt,AV,NA
U345,RNA_DNA,S345RD1,NA,UBC_Hunt,AV,NA
U346,RNA_DNA,S346RD1,NA,UBC_Hunt,AV,NA
U340,RNA_DNA,S340RD1,NA,UBC_Hunt,AV,NA
U339,RNA_DNA,S339RD1,NA,UBC_Hunt,AV,NA
U338,RNA_DNA,S338RD1,NA,UBC_Hunt,AV,NA
U337,RNA_DNA,S337RD1,NA,UBC_Hunt,AV,NA
U336,RNA_DNA,S336RD1,NA,UBC_Hunt,AV,NA
U335,RNA_DNA,S335RD1,NA,UBC_Hunt,AV,NA
U334,RNA_DNA,S334RD1,NA,UBC_Hunt,AV,NA
U333,RNA_DNA,S333RD1,NA,UBC_Hunt,AV,NA
U353,RNA_DNA,S353RD1,NA,UBC_Hunt,AV,NA
U354,RNA_DNA,S354RD1,NA,UBC_Hunt,AV,NA
U355,RNA_DNA,S355RD1,NA,UBC_Hunt,AV,NA
U356,RNA_DNA,S356RD1,NA,UBC_Hunt,AV,NA
U357,RNA_DNA,S357RD1,NA,UBC_Hunt,AV,NA
U358,RNA_DNA,S358RD1,NA,UBC_Hunt,AV,NA
U359,RNA_DNA,S359RD1,NA,UBC_Hunt,AV,NA
U360,RNA_DNA,S360RD1,NA,UBC_Hunt,AV,NA
U347,RNA_DNA,S347RD1,NA,UBC_Hunt,AV,NA
U348,RNA_DNA,S348RD1,NA,UBC_Hunt,AV,NA
U349,RNA_DNA,S349RD1,NA,UBC_Hunt,AV,NA
U350,RNA_DNA,S350RD1,NA,UBC_Hunt,AV,NA
U371,RNA_DNA,S371RD1,NA,UBC_Hunt,AV,NA
U372,RNA_DNA,S372RD1,NA,UBC_Hunt,AV,NA
U373,RNA_DNA,S373RD1,NA,UBC_Hunt,AV,NA
U374,RNA_DNA,S374RD1,NA,UBC_Hunt,AV,NA
U368,RNA_DNA,S368RD1,NA,UBC_Hunt,AV,NA
U367,RNA_DNA,S367RD1,NA,UBC_Hunt,AV,NA
U366,RNA_DNA,S366RD1,NA,UBC_Hunt,AV,NA
U365,RNA_DNA,S365RD1,NA,UBC_Hunt,AV,NA
U364,RNA_DNA,S364RD1,NA,UBC_Hunt,AV,NA
U363,RNA_DNA,S363RD1,NA,UBC_Hunt,AV,NA
U362,RNA_DNA,S362RD1,NA,UBC_Hunt,AV,NA
U361,RNA_DNA,S361RD1,NA,UBC_Hunt,AV,NA
U381,RNA_DNA,S381RD1,NA,UBC_Hunt,AV,NA
U382,RNA_DNA,S382RD1,NA,UBC_Hunt,AV,NA
U383,RNA_DNA,S383RD1,NA,UBC_Hunt,AV,NA
U384,RNA_DNA,S384RD1,NA,UBC_Hunt,AV,NA
U385,RNA_DNA,S385RD1,NA,UBC_Hunt,AV,NA
U386,RNA_DNA,S386RD1,NA,UBC_Hunt,AV,NA
U387,RNA_DNA,S387RD1,NA,UBC_Hunt,AV,NA
U388,RNA_DNA,S388RD1,NA,UBC_Hunt,AV,NA
U396,RNA_DNA,S396RD1,NA,UBC_Hunt,AV,NA
U395,RNA_DNA,S395RD1,NA,UBC_Hunt,AV,NA
U394,RNA_DNA,S394RD1,NA,UBC_Hunt,AV,NA
U393,RNA_DNA,S393RD1,NA,UBC_Hunt,AV,NA
U392,RNA_DNA,S392RD1,NA,UBC_Hunt,AV,NA
U391,RNA_DNA,S391RD1,NA,UBC_Hunt,AV,NA
U370,RNA_DNA,S370RD1,NA,UBC_Hunt,AV,NA
U369,RNA_DNA,S369RD1,NA,UBC_Hunt,AV,NA
U424,RNA_DNA,S424RD1,NA,UBC_Hunt,AV,NA
U423,RNA_DNA,S423RD1,NA,UBC_Hunt,AV,NA
U422,RNA_DNA,S422RD1,NA,UBC_Hunt,AV,NA
U421,RNA_DNA,S421RD1,NA,UBC_Hunt,AV,NA
U400,RNA_DNA,S400RD1,NA,UBC_Hunt,AV,NA
U399,RNA_DNA,S399RD1,NA,UBC_Hunt,AV,NA
U398,RNA_DNA,S398RD1,NA,UBC_Hunt,AV,NA
U397,RNA_DNA,S397RD1,NA,UBC_Hunt,AV,NA
U389,RNA_DNA,S389RD1,NA,UBC_Hunt,AV,NA
U390,RNA_DNA,S390RD1,NA,UBC_Hunt,AV,NA
U411,RNA_DNA,S411RD1,NA,UBC_Hunt,AV,NA
U412,RNA_DNA,S412RD1,NA,UBC_Hunt,AV,NA
U413,RNA_DNA,S413RD1,NA,UBC_Hunt,AV,NA
U414,RNA_DNA,S414RD1,NA,UBC_Hunt,AV,NA
U415,RNA_DNA,S415RD1,NA,UBC_Hunt,AV,NA
U416,RNA_DNA,S416RD1,NA,UBC_Hunt,AV,NA
U442,RNA_DNA,S442RD1,NA,UBC_Hunt,AV,NA
U441,RNA_DNA,S441RD1,NA,UBC_Hunt,AV,NA
U430,RNA_DNA,S430RD1,NA,UBC_Hunt,AV,NA
U429,RNA_DNA,S429RD1,NA,UBC_Hunt,AV,NA
U428,RNA_DNA,S428RD1,NA,UBC_Hunt,AV,NA
U427,RNA_DNA,S427RD1,NA,UBC_Hunt,AV,NA
U426,RNA_DNA,S426RD1,NA,UBC_Hunt,AV,NA
U425,RNA_DNA,S425RD1,NA,UBC_Hunt,AV,NA
U417,RNA_DNA,S417RD1,NA,UBC_Hunt,AV,NA
U418,RNA_DNA,S418RD1,NA,UBC_Hunt,AV,NA
U419,RNA_DNA,S419RD1,NA,UBC_Hunt,AV,NA
U420,RNA_DNA,S420RD1,NA,UBC_Hunt,AV,NA
U431,RNA_DNA,S431RD1,NA,UBC_Hunt,AV,NA
U432,RNA_DNA,S432RD1,NA,UBC_Hunt,AV,NA
U433,RNA_DNA,S433RD1,NA,UBC_Hunt,AV,NA
U434,RNA_DNA,S434RD1,NA,UBC_Hunt,AV,NA
U322,RNA_DNA,S322RD1,NA,UBC_Hunt,AV,NA
U323,RNA_DNA,S323RD1,NA,UBC_Hunt,AV,NA
U324,RNA_DNA,S324RD1,NA,UBC_Hunt,AV,NA
U325,RNA_DNA,S325RD1,NA,UBC_Hunt,AV,NA
U326,RNA_DNA,S326RD1,NA,UBC_Hunt,AV,NA
U327,RNA_DNA,S327RD1,NA,UBC_Hunt,AV,NA
U328,RNA_DNA,S328RD1,NA,UBC_Hunt,AV,NA
U498,RNA_DNA,S498RD1,NA,UBC_Hunt,AV,NA
U435,RNA_DNA,S435RD1,NA,UBC_Hunt,AV,NA
U436,RNA_DNA,S436RD1,NA,UBC_Hunt,AV,NA
U437,RNA_DNA,S437RD1,NA,UBC_Hunt,AV,NA
U438,RNA_DNA,S438RD1,NA,UBC_Hunt,AV,NA
U439,RNA_DNA,S439RD1,NA,UBC_Hunt,AV,NA
U440,RNA_DNA,S440RD1,NA,UBC_Hunt,AV,NA
U451,RNA_DNA,S451RD1,NA,UBC_Hunt,AV,NA
U452,RNA_DNA,S452RD1,NA,UBC_Hunt,AV,NA
U453,RNA_DNA,S453RD1,NA,UBC_Hunt,AV,NA
U449,RNA_DNA,S449RD1,NA,UBC_Hunt,AV,NA
U448,RNA_DNA,S448RD1,NA,UBC_Hunt,AV,NA
U447,RNA_DNA,S447RD1,NA,UBC_Hunt,AV,NA
U446,RNA_DNA,S446RD1,NA,UBC_Hunt,AV,NA
U445,RNA_DNA,S445RD1,NA,UBC_Hunt,AV,NA
U444,RNA_DNA,S444RD1,NA,UBC_Hunt,AV,NA
U443,RNA_DNA,S443RD1,NA,UBC_Hunt,AV,NA
U402,RNA_DNA,S402RD1,NA,UBC_Hunt,AV,NA
U403,RNA_DNA,S403RD1,NA,UBC_Hunt,AV,NA
U404,RNA_DNA,S404RD1,NA,UBC_Hunt,AV,NA
U405,RNA_DNA,S405RD1,NA,UBC_Hunt,AV,NA
U406,RNA_DNA,S406RD1,NA,UBC_Hunt,AV,NA
U407,RNA_DNA,S407RD1,NA,UBC_Hunt,AV,NA
U408,RNA_DNA,S408RD1,NA,UBC_Hunt,AV,NA
U409,RNA_DNA,S409RD1,NA,UBC_Hunt,AV,NA
U467,RNA_DNA,S467RD1,NA,UBC_Hunt,AV,NA
U466,RNA_DNA,S466RD1,NA,UBC_Hunt,AV,NA
U465,RNA_DNA,S465RD1,NA,UBC_Hunt,AV,NA
U464,RNA_DNA,S464RD1,NA,UBC_Hunt,AV,NA
U463,RNA_DNA,S463RD1,NA,UBC_Hunt,AV,NA
U462,RNA_DNA,S462RD1,NA,UBC_Hunt,AV,NA
U461,RNA_DNA,S461RD1,NA,UBC_Hunt,AV,NA
U450,RNA_DNA,S450RD1,NA,UBC_Hunt,AV,NA
U485,RNA_DNA,S485RD1,NA,UBC_Hunt,AV,NA
U484,RNA_DNA,S484RD1,NA,UBC_Hunt,AV,NA
U483,RNA_DNA,S483RD1,NA,UBC_Hunt,AV,NA
U482,RNA_DNA,S482RD1,NA,UBC_Hunt,AV,NA
U481,RNA_DNA,S481RD1,NA,UBC_Hunt,AV,NA
U470,RNA_DNA,S470RD1,NA,UBC_Hunt,AV,NA
U469,RNA_DNA,S469RD1,NA,UBC_Hunt,AV,NA
U468,RNA_DNA,S468RD1,NA,UBC_Hunt,AV,NA
U410,RNA_DNA,S410RD1,NA,UBC_Hunt,AV,NA
U491,RNA_DNA,S491RD1,NA,UBC_Hunt,AV,NA
U492,RNA_DNA,S492RD1,NA,UBC_Hunt,AV,NA
U493,RNA_DNA,S493RD1,NA,UBC_Hunt,AV,NA
U494,RNA_DNA,S494RD1,NA,UBC_Hunt,AV,NA
U495,RNA_DNA,S495RD1,NA,UBC_Hunt,AV,NA
U496,RNA_DNA,S496RD1,NA,UBC_Hunt,AV,NA
U497,RNA_DNA,S497RD1,NA,UBC_Hunt,AV,NA
U512,RNA_DNA,S512RD1,NA,UBC_Hunt,AV,NA
U511,RNA_DNA,S511RD1,NA,UBC_Hunt,AV,NA
U490,RNA_DNA,S490RD1,NA,UBC_Hunt,AV,NA
U499,RNA_DNA,S499RD1,NA,UBC_Hunt,AV,NA
U489,RNA_DNA,S489RD1,NA,UBC_Hunt,AV,NA
U488,RNA_DNA,S488RD1,NA,UBC_Hunt,AV,NA
U487,RNA_DNA,S487RD1,NA,UBC_Hunt,AV,NA
U486,RNA_DNA,S486RD1,NA,UBC_Hunt,AV,NA
U500,RNA_DNA,S500RD1,NA,UBC_Hunt,AV,NA
U501,RNA_DNA,S501RD1,NA,UBC_Hunt,AV,NA
U502,RNA_DNA,S502RD1,NA,UBC_Hunt,AV,NA
U503,RNA_DNA,S503RD1,NA,UBC_Hunt,AV,NA
U504,RNA_DNA,S504RD1,NA,UBC_Hunt,AV,NA
U505,RNA_DNA,S505RD1,NA,UBC_Hunt,AV,NA
U506,RNA_DNA,S506RD1,NA,UBC_Hunt,AV,NA
U507,RNA_DNA,S507RD1,NA,UBC_Hunt,AV,NA
U454,RNA_DNA,S454RD1,NA,UBC_Hunt,AV,NA
U455,RNA_DNA,S455RD1,NA,UBC_Hunt,AV,NA
U456,RNA_DNA,S456RD1,NA,UBC_Hunt,AV,NA
U457,RNA_DNA,S457RD1,NA,UBC_Hunt,AV,NA
U458,RNA_DNA,S458RD1,NA,UBC_Hunt,AV,NA
U459,RNA_DNA,S459RD1,NA,UBC_Hunt,AV,NA
U460,RNA_DNA,S460RD1,NA,UBC_Hunt,AV,NA
U531,RNA_DNA,S531RD1,NA,UBC_Hunt,AV,NA
U513,RNA_DNA,S513RD1,NA,UBC_Hunt,AV,NA
U514,RNA_DNA,S514RD1,NA,UBC_Hunt,AV,NA
U515,RNA_DNA,S515RD1,NA,UBC_Hunt,AV,NA
U516,RNA_DNA,S516RD1,NA,UBC_Hunt,AV,NA
U517,RNA_DNA,S517RD1,NA,UBC_Hunt,AV,NA
U518,RNA_DNA,S518RD1,NA,UBC_Hunt,AV,NA
U519,RNA_DNA,S519RD1,NA,UBC_Hunt,AV,NA
U520,RNA_DNA,S520RD1,NA,UBC_Hunt,AV,NA
U508,RNA_DNA,S508RD1,NA,UBC_Hunt,AV,NA
U509,RNA_DNA,S509RD1,NA,UBC_Hunt,AV,NA
U510,RNA_DNA,S510RD1,NA,UBC_Hunt,AV,NA
U541,RNA_DNA,S541RD1,NA,UBC_Hunt,AV,NA
U542,RNA_DNA,S542RD1,NA,UBC_Hunt,AV,NA
U543,RNA_DNA,S543RD1,NA,UBC_Hunt,AV,NA
U544,RNA_DNA,S544RD1,NA,UBC_Hunt,AV,NA
U545,RNA_DNA,S545RD1,NA,UBC_Hunt,AV,NA
U528,RNA_DNA,S528RD1,NA,UBC_Hunt,AV,NA
U527,RNA_DNA,S527RD1,NA,UBC_Hunt,AV,NA
U526,RNA_DNA,S526RD1,NA,UBC_Hunt,AV,NA
U525,RNA_DNA,S525RD1,NA,UBC_Hunt,AV,NA
U524,RNA_DNA,S524RD1,NA,UBC_Hunt,AV,NA
U523,RNA_DNA,S523RD1,NA,UBC_Hunt,AV,NA
U522,RNA_DNA,S522RD1,NA,UBC_Hunt,AV,NA
U521,RNA_DNA,S521RD1,NA,UBC_Hunt,AV,NA
U532,RNA_DNA,S532RD1,NA,UBC_Hunt,AV,NA
U533,RNA_DNA,S533RD1,NA,UBC_Hunt,AV,NA
U534,RNA_DNA,S534RD1,NA,UBC_Hunt,AV,NA
U535,RNA_DNA,S535RD1,NA,UBC_Hunt,AV,NA
U536,RNA_DNA,S536RD1,NA,UBC_Hunt,AV,NA
U537,RNA_DNA,S537RD1,NA,UBC_Hunt,AV,NA
U538,RNA_DNA,S538RD1,NA,UBC_Hunt,AV,NA
U539,RNA_DNA,S539RD1,NA,UBC_Hunt,AV,NA
U546,RNA_DNA,S546RD1,NA,UBC_Hunt,AV,NA
U547,RNA_DNA,S547RD1,NA,UBC_Hunt,AV,NA
U548,RNA_DNA,S548RD1,NA,UBC_Hunt,AV,NA
U549,RNA_DNA,S549RD1,NA,UBC_Hunt,AV,NA
U550,RNA_DNA,S550RD1,NA,UBC_Hunt,AV,NA
U561,RNA_DNA,S561RD1,NA,UBC_Hunt,AV,NA
U562,RNA_DNA,S562RD1,NA,UBC_Hunt,AV,NA
U563,RNA_DNA,S563RD1,NA,UBC_Hunt,AV,NA
U556,RNA_DNA,S556RD1,NA,UBC_Hunt,AV,NA
U555,RNA_DNA,S555RD1,NA,UBC_Hunt,AV,NA
U554,RNA_DNA,S554RD1,NA,UBC_Hunt,AV,NA
U553,RNA_DNA,S553RD1,NA,UBC_Hunt,AV,NA
U552,RNA_DNA,S552RD1,NA,UBC_Hunt,AV,NA
U551,RNA_DNA,S551RD1,NA,UBC_Hunt,AV,NA
U530,RNA_DNA,S530RD1,NA,UBC_Hunt,AV,NA
U529,RNA_DNA,S529RD1,NA,UBC_Hunt,AV,NA
U540,RNA_DNA,S540RD1,NA,UBC_Hunt,AV,NA
U581,RNA_DNA,S581RD1,NA,UBC_Hunt,AV,NA
U582,RNA_DNA,S582RD1,NA,UBC_Hunt,AV,NA
U583,RNA_DNA,S583RD1,NA,UBC_Hunt,AV,NA
U584,RNA_DNA,S584RD1,NA,UBC_Hunt,AV,NA
U558,RNA_DNA,S558RD1,NA,UBC_Hunt,AV,NA
U586,RNA_DNA,S586RD1,NA,UBC_Hunt,AV,NA
U564,RNA_DNA,S564RD1,NA,UBC_Hunt,AV,NA
U565,RNA_DNA,S565RD1,NA,UBC_Hunt,AV,NA
U566,RNA_DNA,S566RD1,NA,UBC_Hunt,AV,NA
U557,RNA_DNA,S557RD1,NA,UBC_Hunt,AV,NA
U567,RNA_DNA,S567RD1,NA,UBC_Hunt,AV,NA
U568,RNA_DNA,S568RD1,NA,UBC_Hunt,AV,NA
U569,RNA_DNA,S569RD1,NA,UBC_Hunt,AV,NA
U587,RNA_DNA,S587RD1,NA,UBC_Hunt,AV,NA
U574,RNA_DNA,S574RD1,NA,UBC_Hunt,AV,NA
U589,RNA_DNA,S589RD1,NA,UBC_Hunt,AV,NA
U573,RNA_DNA,S573RD1,NA,UBC_Hunt,AV,NA
U588,RNA_DNA,S588RD1,NA,UBC_Hunt,AV,NA
U572,RNA_DNA,S572RD1,NA,UBC_Hunt,AV,NA
U571,RNA_DNA,S571RD1,NA,UBC_Hunt,AV,NA
U560,RNA_DNA,S560RD1,NA,UBC_Hunt,AV,NA
U559,RNA_DNA,S559RD1,NA,UBC_Hunt,AV,NA
U570,RNA_DNA,S570RD1,NA,UBC_Hunt,AV,NA
U329,RNA_DNA,S329RD1,NA,UBC_Hunt,AV,NA
U330,RNA_DNA,S330RD1,NA,UBC_Hunt,AV,NA
U621,RNA_DNA,S621RD1,NA,UBC_Hunt,AV,NA
U631,RNA_DNA,S631RD1,NA,UBC_Hunt,AV,NA
U632,RNA_DNA,S632RD1,NA,UBC_Hunt,AV,NA
U633,RNA_DNA,S633RD1,NA,UBC_Hunt,AV,NA
U634,RNA_DNA,S634RD1,NA,UBC_Hunt,AV,NA
U590,RNA_DNA,S590RD1,NA,UBC_Hunt,AV,NA
U591,RNA_DNA,S591RD1,NA,UBC_Hunt,AV,NA
U592,RNA_DNA,S592RD1,NA,UBC_Hunt,AV,NA
U593,RNA_DNA,S593RD1,NA,UBC_Hunt,AV,NA
U594,RNA_DNA,S594RD1,NA,UBC_Hunt,AV,NA
U595,RNA_DNA,S595RD1,NA,UBC_Hunt,AV,NA
U596,RNA_DNA,S596RD1,NA,UBC_Hunt,AV,NA
U597,RNA_DNA,S597RD1,NA,UBC_Hunt,AV,NA
U612,RNA_DNA,S612RD1,NA,UBC_Hunt,AV,NA
U611,RNA_DNA,S611RD1,NA,UBC_Hunt,AV,NA
U580,RNA_DNA,S580RD1,NA,UBC_Hunt,AV,NA
U579,RNA_DNA,S579RD1,NA,UBC_Hunt,AV,NA
U578,RNA_DNA,S578RD1,NA,UBC_Hunt,AV,NA
U577,RNA_DNA,S577RD1,NA,UBC_Hunt,AV,NA
U576,RNA_DNA,S576RD1,NA,UBC_Hunt,AV,NA
U575,RNA_DNA,S575RD1,NA,UBC_Hunt,AV,NA
U635,RNA_DNA,S635RD1,NA,UBC_Hunt,AV,NA
U636,RNA_DNA,S636RD1,NA,UBC_Hunt,AV,NA
U637,RNA_DNA,S637RD1,NA,UBC_Hunt,AV,NA
U638,RNA_DNA,S638RD1,NA,UBC_Hunt,AV,NA
U639,RNA_DNA,S639RD1,NA,UBC_Hunt,AV,NA
U640,RNA_DNA,S640RD1,NA,UBC_Hunt,AV,NA
U642,RNA_DNA,S642RD1,NA,UBC_Hunt,AV,NA
U619,RNA_DNA,S619RD1,NA,UBC_Hunt,AV,NA
U618,RNA_DNA,S618RD1,NA,UBC_Hunt,AV,NA
