package_id,seine_id,pkg_species,n_fish,field_liced_status,preservation_status,pkg_type,pkg_comments
DP285,DE455AN3,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP288,DE455AN4,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP291,DE455BN5,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP294,DE455BN6,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP297,DE455BN7,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP300,DE455BN8,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP354,DE457N1,SO,7,N,OK,SJ_UBC,SJ 24 hr fish. U15318-U15320 euthanized at 05:40 & in dewar at 06:00. U15321-U15322 euthanized at 06:30 & in dewar at 06:50. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP355,DE457N1,PI,7,N,OK,SJ_UBC,SJ 24 hr fish. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP356,DE457N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP357,DE458N1,SO,10,N,OK,SJ_UBC,SJ 24 hr fish.
DP358,DE458N1,PI,10,N,OK,SJ_UBC,SJ 24 hr fish. U15361-U15364 euthanized at 08:10. U15365 euthaized at 08:15. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP359,DE458N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish.
DP360,DE459N1,SO,10,N,OK,SJ_UBC,SJ 24 hr fish. U15387-U15385 euthanized at 11:52 & in dewar at 12:03. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP361,DE459N1,PI,2,N,OK,SJ_UBC,SJ 24 hr fish. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP362,DE459N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish. Fish batch euthanized in MS-222 bucket and motile sea lice fell off.
DP363,DE460N1,SO,10,N,OK,SJ_UBC,SJ 24 hr fish. U15436-U15441 euthaniozed at 14:03. U15442-U15445 euthanized at 14:19
DP364,DE460N1,PI,1,N,OK,SJ_UBC,SJ 24 hr fish.
DP365,DE460N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish.
DP366,DE461N1,SO,9,N,OK,SJ_UBC,U15436-U15444. SJ 24hr Fish
DP367,DE461N1,PI,5,N,OK,SJ_UBC,"U15446-U154450. SJ 24hr fish. time.out and time.dewar entered are for U15446 and U15447. U15448-U15449 had time.out: 14:20, time.dewar: 14:26. U15450 had time.out: 14:28, time.dewar: 14:31."
DP368,DE461N1,CU,10,N,OK,SJ_UBC,SJ 24hr fish
DP369,DE462N1,SO,10,N,OK,SJ_UBC,"SJ 24hr fish. First 6 fish caught in first set, second set caught 4 sockeye. time.out=17:25, time.dewar=17:32."
DP370,DE462N1,PI,3,N,OK,SJ_UBC,SJ 24hr fish.
DP371,DE462N1,CU,10,N,OK,SJ_UBC,SJ 24hr fish.
DP372,DE463N1,SO,4,N,OK,SJ_UBC,"SJ 24 hr fish. U15497-U15499 out at 21:10, dewar at 21:22"
DP373,DE463N1,PI,10,N,OK,SJ_UBC,"SJ 24 hr fish. U15510-U15515 time.out = 20:55, time.dewar = 21:08"
DP374,DE463N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish
DP375,DE464N1,SO,5,N,OK,SJ_UBC,SJ 24 hr fish
DP376,DE464N1,PI,4,N,OK,SJ_UBC,SJ 24 hr fish. U15539 time.dewar = 23:13
DP377,DE464N1,CU,10,N,OK,SJ_UBC,SJ 24 hr fish. Last 3 CU caught in second set (U15553-U15555). time.out = 23:30. time.dewar = 23:39.
P1045,DE506N1,PI,10,Y,OK,JSP,NA
P1044,DE506N1,CU,10,Y,OK,JSP,NA
P1043,DE506N1,CO,2,Y,OK,JSP,NA
P1050,DE510N1,CU,10,Y,OK,JSP,NA
P1006,DE510N1,PI,10,Y,OK,JSP,NA
P1048,DE512N1,PI,8,Y,OK,JSP,NA
P1025,DE512N1,CU,9,Y,OK,JSP,NA
P1017,DE513N2,SO,10,Y,OK,JSP,NA
P1024,DE513N2,CU,10,Y,OK,JSP,"First 6 chum were put in dewar at 09:10, last 4 chum were put in dewar at 10:19 due to issues with net and current"
P1023,DE513N2,PI,5,Y,OK,JSP,NA
P1035,DE513N2,SO,10,Y,OK,JSP,NA
P1016,DE513N2,SO,10,Y,OK,JSP,NA
P1046,DE514N1,SO,4,Y,OK,JSP,NA
P1009,DE514N1,CU,10,Y,OK,JSP,NA
P1041,DE514N1,PI,10,Y,OK,JSP,NA
P1034,DE514N1,CK,1,N,OK,JSP,NA
P1001,DE516N2,PI,10,Y,OK,JSP,NA
P1011,DE516N2,CU,7,Y,OK,JSP,NA
P1010,DE516N2,CO,10,N,OK,JSP,NA
P1008,DE516N2,CK,1,N,OK,JSP,NA
P1007,DE517N2,SO,10,Y,OK,JSP,NA
P1012,DE517N2,CU,8,Y,OK,JSP,NA
P1049,DE517N2,PI,10,Y,OK,JSP,NA
P1020,DE517N2,SO,10,N,OK,JSP,NA
P1026,DE517N2,SO,10,N,OK,JSP,NA
P1014,DE517N2,CO,1,N,OK,JSP,NA
P1018,DE517N2,HE,2,N,OK,JSP,NA
P1013,DE519N1,SO,3,Y,OK,JSP,NA
P1047,DE519N1,CU,10,Y,OK,JSP,NA
P1029,DE519N1,PI,10,Y,OK,JSP,NA
P1030,DE520N3,SO,8,Y,OK,JSP,NA
P1027,DE520N3,CU,10,Y,OK,JSP,NA
P1004,DE520N3,PI,10,Y,OK,JSP,NA
P1110,DE521N1,SO,10,Y,OK,JSP,NA
P1112,DE521N1,CU,10,Y,OK,JSP,NA
P1111,DE521N1,PI,10,Y,OK,JSP,NA
P1002,DE521N1,SO,10,N,OK,JSP,NA
P1022,DE521N1,HE,6,N,OK,JSP,First 3 HE in at 8:54
P1003,DE521N1,SO,4,N,OK,JSP,NA
P1124,DE522N1,SO,10,Y,OK,JSP,NA
P1109,DE522N1,CU,10,Y,OK,JSP,NA
P1126,DE522N1,PI,10,Y,OK,JSP,NA
P1127,DE522N1,SO,10,N,OK,JSP,NA
P1128,DE522N1,SO,10,N,OK,JSP,NA
P1125,DE522N1,HE,10,N,OK,JSP,NA
P1143,DE523N3,SO,10,Y,OK,JSP,NA
P1121,DE523N3,PI,10,Y,OK,JSP,NA
P1122,DE523N3,CU,10,Y,OK,JSP,NA
P1120,DE523N3,SO,10,N,OK,JSP,NA
P1142,DE523N3,SO,6,Y,OK,JSP,NA
P1133,DE525N1,CU,10,Y,OK,JSP,NA
P1148,DE525N1,PI,10,Y,OK,JSP,NA
P1130,DE526N1,SO,1,Y,OK,JSP,NA
P1131,DE526N1,PI,10,Y,OK,JSP,NA
P1132,DE526N1,CU,10,Y,OK,JSP,NA
P1107,DE526N1,CK,1,N,OK,JSP,NA
P1115,DE527N3,CU,10,Y,OK,JSP,Chum 8 & 9 in at 10:57. All individuals put in dewar in under 20 minutes from time out of net.
P1116,DE527N3,PI,10,Y,OK,JSP,NA
P1042,DE530N2,PI,10,Y,OK,JSP,NA
P1106,DE530N2,CU,10,Y,OK,JSP,NA
P1039,DE530N2,CK,1,N,OK,JSP,NA
P1019,DE531N1,SO,10,Y,OK,JSP,NA
P1037,DE531N1,CU,4,Y,OK,JSP,NA
P1021,DE531N1,PI,10,Y,OK,JSP,NA
P1015,DE531N1,SO,10,N,OK,JSP,NA
P1036,DE531N1,SO,10,N,OK,JSP,NA
P1038,DE531N1,HE,2,N,OK,JSP,NA
P1136,DE532N3,SO,10,Y,OK,JSP,no ice packs for keeping fish cold while processing
P1146,DE532N3,PI,10,Y,OK,JSP,no ice packs for keeping fish cold while processing
P1103,DE532N3,CU,10,Y,OK,JSP,no ice packs for keeping fish cold while processing
P1118,DE532N3,HE,9,N,OK,JSP,"first 3 herring in 12:20, no ice packs for keeping fish cold while processing"
P1147,DE533N2,PI,10,Y,OK,JSP,NA
P1117,DE533N2,CU,10,Y,OK,JSP,NA
P1105,DE534N2,SO,1,Y,OK,JSP,NA
P1119,DE534N2,PI,10,Y,OK,JSP,NA
P1139,DE534N2,CU,10,Y,OK,JSP,NA
P1149,DE534N2,CK,1,N,OK,JSP,NA
P1138,DE535N1,PI,10,Y,OK,JSP,NA
P1135,DE535N1,CU,10,Y,OK,JSP,CHUM U17341 was out way earlier thn the rest. CHUM U17341 was out @07:52
P1108,DE536N1,SO,2,Y,OK,JSP,NON STANDARD SURVEY (SETTING FOR TAGGING CREW AND FOUND SOCKEYES)
P1140,DE536N1,CU,1,Y,OK,JSP,NON STANDARD SURVEY (SETTING FOR TAGGING CREW AND FOUND SOCKEYES)
P1005,DE537N1,PI,10,Y,OK,JSP,NA
P1040,DE537N1,CU,1,Y,OK,JSP,NA
P1150,DE538N2,PI,6,Y,OK,JSP,NA
P1102,DE538N2,CU,1,Y,OK,JSP,NA
P1144,DE538N2,HE,1,N,OK,JSP,NA
P1032,DE538N2,CK,2,N,OK,JSP,NA
P1129,DE539N2,PI,10,Y,OK,JSP,NA
P1145,DE539N2,CU,10,Y,OK,JSP,NA
P1104,DE540N1,CK,1,N,OK,JSP,NA
P1114,DE540N1,PI,10,Y,OK,JSP,NA
P1123,DE541N1,PI,10,Y,OK,JSP,NA
P1113,DE541N1,CU,6,Y,OK,JSP,NA
P1347,DE701N2,CU,10,N,OK,JSP,NA
P1348,DE701N2,PI,10,N,OK,JSP,NA
P1349,DE701N2,SO,1,N,OK,JSP,NA
