sample_type,sample_id,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
RNA_DNA,S270RD1,U270,NA,UBC_Hunt,AV,NA
RNA_DNA,S286RD1,U286,NA,UBC_Hunt,AV,NA
RNA_DNA,S285RD1,U285,NA,UBC_Hunt,AV,NA
RNA_DNA,S284RD1,U284,NA,UBC_Hunt,AV,NA
RNA_DNA,S281RD1,U281,NA,UBC_Hunt,AV,NA
RNA_DNA,S230RD1,U230,NA,UBC_Hunt,AV,NA
RNA_DNA,S229RD1,U229,NA,UBC_Hunt,AV,NA
RNA_DNA,S273RD1,U273,NA,UBC_Hunt,AV,NA
RNA_DNA,S274RD1,U274,NA,UBC_Hunt,AV,NA
RNA_DNA,S275RD1,U275,NA,UBC_Hunt,AV,NA
RNA_DNA,S276RD1,U276,NA,UBC_Hunt,AV,NA
RNA_DNA,S277RD1,U277,NA,UBC_Hunt,AV,NA
RNA_DNA,S278RD1,U278,NA,UBC_Hunt,AV,NA
RNA_DNA,S279RD1,U279,NA,UBC_Hunt,AV,NA
RNA_DNA,S280RD1,U280,NA,UBC_Hunt,AV,NA
RNA_DNA,S294RD1,U294,NA,UBC_Hunt,AV,NA
RNA_DNA,S293RD1,U293,NA,UBC_Hunt,AV,NA
RNA_DNA,S292RD1,U292,NA,UBC_Hunt,AV,NA
RNA_DNA,S291RD1,U291,NA,UBC_Hunt,AV,NA
RNA_DNA,S290RD1,U290,NA,UBC_Hunt,AV,NA
RNA_DNA,S289RD1,U289,NA,UBC_Hunt,AV,NA
RNA_DNA,S288RD1,U288,NA,UBC_Hunt,AV,NA
RNA_DNA,S287RD1,U287,NA,UBC_Hunt,AV,NA
RNA_DNA,S301RD1,U301,NA,UBC_Hunt,AV,NA
RNA_DNA,S302RD1,U302,NA,UBC_Hunt,AV,NA
RNA_DNA,S303RD1,U303,NA,UBC_Hunt,AV,NA
RNA_DNA,S304RD1,U304,NA,UBC_Hunt,AV,NA
RNA_DNA,S305RD1,U305,NA,UBC_Hunt,AV,NA
RNA_DNA,S306RD1,U306,NA,UBC_Hunt,AV,NA
RNA_DNA,S307RD1,U307,NA,UBC_Hunt,AV,NA
RNA_DNA,S308RD1,U308,NA,UBC_Hunt,AV,NA
RNA_DNA,S332RD1,U332,NA,UBC_Hunt,AV,NA
RNA_DNA,S331RD1,U331,NA,UBC_Hunt,AV,NA
RNA_DNA,S300RD1,U300,NA,UBC_Hunt,AV,NA
RNA_DNA,S299RD1,U299,NA,UBC_Hunt,AV,NA
RNA_DNA,S298RD1,U298,NA,UBC_Hunt,AV,NA
RNA_DNA,S297RD1,U297,NA,UBC_Hunt,AV,NA
RNA_DNA,S296RD1,U296,NA,UBC_Hunt,AV,NA
RNA_DNA,S295RD1,U295,NA,UBC_Hunt,AV,NA
RNA_DNA,S315RD1,U315,NA,UBC_Hunt,AV,NA
RNA_DNA,S316RD1,U316,NA,UBC_Hunt,AV,NA
RNA_DNA,S317RD1,U317,NA,UBC_Hunt,AV,NA
RNA_DNA,S318RD1,U318,NA,UBC_Hunt,AV,NA
RNA_DNA,S319RD1,U319,NA,UBC_Hunt,AV,NA
RNA_DNA,S320RD1,U320,NA,UBC_Hunt,AV,NA
RNA_DNA,S351RD1,U351,NA,UBC_Hunt,AV,NA
RNA_DNA,S352RD1,U352,NA,UBC_Hunt,AV,NA
RNA_DNA,S321RD1,U321,NA,UBC_Hunt,AV,NA
RNA_DNA,S375RD1,U375,NA,UBC_Hunt,AV,NA
RNA_DNA,S376RD1,U376,NA,UBC_Hunt,AV,NA
RNA_DNA,S377RD1,U377,NA,UBC_Hunt,AV,NA
RNA_DNA,S378RD1,U378,NA,UBC_Hunt,AV,NA
RNA_DNA,S379RD1,U379,NA,UBC_Hunt,AV,NA
RNA_DNA,S380RD1,U380,NA,UBC_Hunt,AV,NA
RNA_DNA,S401RD1,U401,NA,UBC_Hunt,AV,NA
RNA_DNA,S309RD1,U309,NA,UBC_Hunt,AV,NA
RNA_DNA,S310RD1,U310,NA,UBC_Hunt,AV,NA
RNA_DNA,S341RD1,U341,NA,UBC_Hunt,AV,NA
RNA_DNA,S342RD1,U342,NA,UBC_Hunt,AV,NA
RNA_DNA,S343RD1,U343,NA,UBC_Hunt,AV,NA
RNA_DNA,S344RD1,U344,NA,UBC_Hunt,AV,NA
RNA_DNA,S345RD1,U345,NA,UBC_Hunt,AV,NA
RNA_DNA,S346RD1,U346,NA,UBC_Hunt,AV,NA
RNA_DNA,S340RD1,U340,NA,UBC_Hunt,AV,NA
RNA_DNA,S339RD1,U339,NA,UBC_Hunt,AV,NA
