sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
S5128DN1,Tulsequah,16,0.587,Birkenhead,3,0.185,Iskut,14,0.139,Craig,14,0.027,Stikine_main,14,0.021
S5129DN1,Horsefly,3,0.379,FiveMile,1,0.271,U_Horsefly,3,0.133,Chilko,3,0.074,Middle,3,0.043
S5130DN1,Chilko,3,0.956,Scotch,2,0.018,Middle,3,0.004,U_Horsefly,3,0.003,Horsefly,3,0.003
S5131DN1,Scotch,2,0.993,Portage_Cr,4,0.004,MiddleShuswap,4,0.002,Little,4,0.001,,,
S5096DN1,L_Adams,4,0.42,L_Shuswap,4,0.206,M_Horsefly,3,0.191,Portage_Cr,4,0.044,Horsefly,3,0.033
S5097DN1,L_Adams,4,0.445,Portage_Cr,4,0.38,L_Shuswap,4,0.158,M_Horsefly,3,0.008,Horsefly,3,0.003
S5098DN1,Fennell,2,0.987,L_Adams,4,0.011,Chilko_south,2,0.001,Nadina,2,0.001,,,
S5099DN1,L_Adams,4,0.469,Quesnel_Mitche,3,0.264,L_Shuswap,4,0.174,Portage_Cr,4,0.052,McDonald,20,0.013
S5100DN1,Portage_Cr,4,0.535,L_Adams,4,0.432,L_Shuswap,4,0.033,,,,,,
S5101DN1,L_Adams,4,0.399,Portage_Cr,4,0.362,L_Shuswap,4,0.222,Seymour,2,0.01,MiddleShuswap,4,0.003
S5102DN1,Quesnel_Mitche,3,1,,,,,,,,,,,,
S5103DN1,Quesnel_Mitche,3,0.998,Blue_Lead_Ck,3,0.002,,,,,,,,,
S5104DN1,Fennell,2,0.994,L_Adams,4,0.006,,,,,,,,,
S5105DN1,Seymour,2,0.925,L_Adams,4,0.064,Eagle,2,0.007,Scotch,2,0.003,Eagle_L,4,0.001
S5106DN1,L_Shuswap,4,0.466,L_Adams,4,0.465,Seymour,2,0.046,Fennell,2,0.014,Portage_Cr,4,0.007
S5107DN1,Portage_Cr,4,0.679,L_Adams,4,0.321,,,,,,,,,
S5108DN1,Quesnel_Mitche,3,0.998,Blue_Lead_Ck,3,0.002,,,,,,,,,
S5109DN1,Seymour,2,0.72,Portage_Cr,4,0.233,L_Adams,4,0.044,Eagle,2,0.002,Scotch,2,0.001
S5110DN1,L_Adams,4,0.436,L_Shuswap,4,0.419,Portage_Cr,4,0.137,Raft,2,0.003,Fennell,2,0.003
S5111DN1,Portage_Cr,4,0.521,L_Adams,4,0.369,L_Shuswap,4,0.11,,,,,,
S5112DN1,Portage_Cr,4,0.551,L_Adams,4,0.449,,,,,,,,,
S5113DN1,Seymour,2,0.838,Portage_Cr,4,0.052,L_Adams,4,0.044,L_Shuswap,4,0.033,Wannock,18,0.017
S5114DN1,Quesnel_Mitche,3,0.999,Blue_Lead_Ck,3,0.001,,,,,,,,,
SDN17,Tachie,3,0.9337,Kuzkwa_Cr,3,0.0605,Weaver,4,0.0058,,,,,,
SDN20,Weaver,4,0.5689,Tachie,3,0.1909,Porter_Cr,1,0.1863,Kuzkwa_Cr,3,0.0232,Stellako,3,0.0114
SDN12,Tachie,3,0.9069,Kuzkwa_Cr,3,0.0546,Stellako,3,0.0229,Chilko,3,0.0052,Portage_Cr,4,0.0027
SDN21,Tachie,3,0.7927,Chilko,3,0.0634,Little,4,0.0448,Kuzkwa_Cr,3,0.0406,Dust,1,0.0245
SDN13,McKinley,3,0.5072,L_Horsefly,3,0.3414,Chilko,3,0.1433,L_Adams,4,0.0054,U_Horsefly,3,0.0018
SDN24,Chilko,3,0.9942,Little,4,0.002,Chilko-North,3,0.0019,L_Shuswap,4,0.0018,Kuzkwa_Cr,3,0.0001
SDN15,Chilko,3,0.9468,Eagle_L,4,0.0129,Seymour,2,0.0107,Scotch,2,0.0073,Eagle,2,0.0068
SDN27,Weaver,4,0.9026,Tachie,3,0.0394,Porter_Cr,1,0.0261,Chilko,3,0.016,Birkenhead,3,0.0066
SDN30,Mitchell,3,0.7228,Quesnel_Mitche,3,0.2772,,,,,,,,,
SDN31,L_Horsefly,3,0.3182,McKinley,3,0.3037,Little,4,0.2279,Chilko,3,0.0589,L_Adams,4,0.0316
SDN90,Tachie,3,0.86,Kuzkwa_Cr,3,0.0632,Porter_Cr,1,0.0242,Stellako,3,0.0231,Forfar,1,0.0085
SDN146,Weaver,4,0.8946,Birkenhead,3,0.0781,LakeWashington,5,0.014,Tachie,3,0.0082,Chilko,3,0.0042
SDN147,Porter_Cr,1,0.7373,Forfar,1,0.0951,FiveMile,1,0.0738,Dust,1,0.0504,Hudson_Bay,1,0.0098
SDN148,Tachie,3,0.8913,Kuzkwa_Cr,3,0.0575,Weaver,4,0.0335,Chilko,3,0.0086,Sarkar,20,0.0036
SDN149,Chilko,3,0.9767,Chilko_south,2,0.0142,Chilko-North,3,0.0091,,,,,,
SDN143,Chilko,3,0.52,Little,4,0.3597,Dust,1,0.0243,Porter_Cr,1,0.0194,L_Adams,4,0.0172
SDN145,Tachie,3,0.8987,Kuzkwa_Cr,3,0.0521,Stellako,3,0.0124,Weaver,4,0.0089,Forfar,1,0.0064
SDN152,Tachie,3,0.534,Porter_Cr,1,0.2331,Forfar,1,0.0562,FiveMile,1,0.0558,Dust,1,0.0396
SDN153,Birkenhead,3,0.9946,Weaver,4,0.0051,Tachie,3,0.0002,Chilko,3,0.0001,,,
SDN154,Porter_Cr,1,0.7332,Forfar,1,0.0945,FiveMile,1,0.0738,Dust,1,0.0441,Bivouac,1,0.0149
SDN155,Chilko,3,0.992,Little,4,0.0028,Porter_Cr,1,0.0019,McKinley,3,0.0018,FiveMile,1,0.0009
SDN156,Porter_Cr,1,0.4359,Little,4,0.3319,Dust,1,0.0596,Tachie,3,0.0289,Weaver,4,0.0257
SDN63,Mitchell,3,0.7209,Quesnel_Mitche,3,0.2791,,,,,,,,,
SDN77,Tachie,3,0.8819,Stellako,3,0.0563,Kuzkwa_Cr,3,0.056,Nadina,2,0.0027,Porter_Cr,1,0.0018
SDN84,Tachie,3,0.7349,Kuzkwa_Cr,3,0.0553,Little,4,0.0416,Stellako,3,0.0344,Chilko,3,0.0339
SDN95,Chilko,3,0.9933,Chilko-North,3,0.0036,Chilko_south,2,0.0021,Mitchell,3,0.0009,L_Horsefly,3,0.0001
SDN96,Chilko,3,0.9907,Raft,2,0.0045,Tachie,3,0.0038,Thompson_N,2,0.0009,Sinta,1,0.0001
S1119DN1,Chilko,3,0.9938,Chilko_south,2,0.0048,U_Horsefly,3,0.0006,L_Adams,4,0.0004,Tachie,3,0.0002
SDN1366,Chilko,3,0.9132,Thompson_N,2,0.0658,L_Adams,4,0.02,Chilko_south,2,0.0006,Tachie,3,0.0002
SDN1139,Chilko,3,0.9716,Middle,3,0.0162,Chilko_south,2,0.005,Felix,1,0.0018,Porter_Cr,1,0.0016
SDN1140,Thompson_N,2,0.4502,Birkenhead,3,0.2226,Chilko,3,0.1632,U_Horsefly,3,0.0836,Quesnel_Horsef,3,0.03
SDN1141,Thompson_N,2,0.9986,Chilko,3,0.0014,,,,,,,,,
SDN1142,Chilko,3,0.996,Middle,3,0.004,,,,,,,,,
SDN1137,Gates_Cr,2,1,,,,,,,,,,,,
SDN1145,Chilko,3,0.998,Middle,3,0.0014,Chilko_south,2,0.0004,Tachie,3,0.0002,,,
SDN1146,Quesnel_Mitche,3,0.9362,Mitchell,3,0.0618,Blue_Lead_Ck,3,0.0012,Wasko_Cr,3,0.0008,,,
SDN1147,Chilko,3,0.9868,Chilko_south,2,0.0132,,,,,,,,,
SDN1138,Gates_Cr,2,1,,,,,,,,,,,,
SDN1152,Chilko,3,0.9376,Middle,3,0.0428,Porter_Cr,1,0.0036,Pinchi_Cr,3,0.0024,Tachie,3,0.0022
SDN1371,Middle,3,0.4518,Porter_Cr,1,0.2696,Felix,1,0.1124,Gluskie,1,0.0312,Tachie,3,0.0188
SDN1372,Chilko,3,0.5878,Thompson_N,2,0.169,U_Horsefly,3,0.0958,Middle,3,0.066,L_Adams,4,0.0384
SDN1373,Middle,3,0.789,Porter_Cr,1,0.1118,Tachie,3,0.04,FiveMile,1,0.0256,Nahatlatch,2,0.0106
SDN1374,Birkenhead,3,0.9938,Harrison,4,0.0028,Thompson_N,2,0.0016,L_Adams,4,0.001,Pitt,2,0.0008
SDN1375,L_Adams,4,0.9362,Horsefly,3,0.0228,U_Horsefly,3,0.0164,Portage_Cr,4,0.013,Quesnel_Horsef,3,0.0062
SDN1376,Quesnel_Mitche,3,0.8562,Mitchell,3,0.1416,Roaring,3,0.001,Quesnel_Horsef,3,0.0006,Blue_Lead_Ck,3,0.0006
SDN1329,Chilko,3,0.5408,L_Adams,4,0.1298,Birkenhead,3,0.1078,Chilko_south,2,0.0496,Horsefly,3,0.042
SDN1330,Chilko,3,0.9994,Chilko_south,2,0.0004,Chilko-North,3,0.0002,,,,,,
SDN1331,Quesnel_Mitche,3,0.9676,Mitchell,3,0.026,Chilko,3,0.0036,Wasko_Cr,3,0.0016,U_Horsefly,3,0.0008
SDN1353,Chilko,3,0.9984,Horsefly,3,0.0008,Chilko_south,2,0.0004,Mitchell,3,0.0002,Tachie,3,0.0002
SDN1354,Quesnel_Mitche,3,0.9612,Mitchell,3,0.0388,,,,,,,,,
SDN1355,U_Horsefly,3,0.6756,Horsefly,3,0.175,Quesnel_Horsef,3,0.133,L_Adams,4,0.0068,M_Horsefly,3,0.0048
SDN1332,Chilko,3,0.7662,Middle,3,0.071,Tachie,3,0.048,U_Horsefly,3,0.0186,Gluskie,1,0.0176
SDN1333,Chilko,3,0.5894,Porter_Cr,1,0.3272,Felix,1,0.0412,Gluskie,1,0.018,Sandpoint,1,0.006
SDN1334,Chilko,3,0.9998,Chilko-North,3,0.0002,,,,,,,,,
SDN1335,Weaver,4,0.9922,Middle,3,0.0078,,,,,,,,,
SDN1336,Quesnel_Mitche,3,0.9578,Mitchell,3,0.0422,,,,,,,,,
SDN1337,U_Horsefly,3,0.5188,Horsefly,3,0.1692,Middle,3,0.1364,Quesnel_Horsef,3,0.0592,Porter_Cr,1,0.035
SDN1338,Thompson_N,2,1,,,,,,,,,,,,
SDN1339,Weaver,4,0.6776,Birkenhead,3,0.3034,Chilko,3,0.0146,Porter_Cr,1,0.0014,Gluskie,1,0.0006
SDN1356,Chilko,3,0.9924,Chilko-North,3,0.0024,Horsefly,3,0.002,U_Horsefly,3,0.002,Middle,3,0.0008
SDN1340,Chilko,3,0.9782,Birkenhead,3,0.0184,Weaver,4,0.002,Middle,3,0.0006,Chilko-North,3,0.0006
SDN1341,Quesnel_Mitche,3,0.9688,Mitchell,3,0.031,Wasko_Cr,3,0.0002,,,,,,
SDN1342,Middle,3,0.5268,Porter_Cr,1,0.1172,Tachie,3,0.1002,Stellako,3,0.0774,Felix,1,0.0648
SDN1343,Chilko,3,0.9998,Chilko_south,2,0.0002,,,,,,,,,
SDN1359,Quesnel_Mitche,3,0.9182,Mitchell,3,0.0774,Wasko_Cr,3,0.0024,Weaver,4,0.0008,Middle,3,0.0006
SDN1360,Chilko,3,0.9868,Horsefly,3,0.0056,L_Adams,4,0.003,Chilko_south,2,0.0016,U_Horsefly,3,0.0012
SDN1361,Middle,3,0.6552,Chilko,3,0.1462,Tachie,3,0.1016,Stellako,3,0.0862,Pinchi_Cr,3,0.0088
SDN1362,Quesnel_Mitche,3,0.9738,Mitchell,3,0.0252,Wasko_Cr,3,0.001,,,,,,
SDN1326,Middle,3,0.5484,Porter_Cr,1,0.1394,Felix,1,0.1194,Tachie,3,0.1046,Sandpoint,1,0.0224
SDN1327,U_Horsefly,3,0.5654,Thompson_N,2,0.1956,Horsefly,3,0.1102,Quesnel_Horsef,3,0.1012,Chilko,3,0.0116
SDN1328,Gates_Cr,2,1,,,,,,,,,,,,
SDN1344,U_Horsefly,3,0.6502,Horsefly,3,0.2026,Quesnel_Horsef,3,0.1062,Chilko,3,0.025,M_Horsefly,3,0.0072
SDN1345,Chilko,3,0.9998,Chilko_south,2,0.0002,,,,,,,,,
SDN1346,Chilko,3,0.7004,Middle,3,0.0994,Stellako,3,0.0926,Tachie,3,0.0882,U_Horsefly,3,0.0068
SDN1347,Chilko,3,0.9768,U_Horsefly,3,0.0142,Horsefly,3,0.0036,Quesnel_Horsef,3,0.0022,Middle,3,0.0014
SDN1348,Chilko,3,0.9742,Birkenhead,3,0.0192,Chilko_south,2,0.005,L_Adams,4,0.0016,,,
SDN1305,Middle,3,0.8888,Tachie,3,0.1002,Porter_Cr,1,0.0054,Pinchi_Cr,3,0.0026,Hudson_Bay,1,0.001
SDN1306,U_Horsefly,3,0.623,Horsefly,3,0.171,Quesnel_Horsef,3,0.1128,L_Adams,4,0.0582,Thompson_N,2,0.01
SDN1307,U_Horsefly,3,0.6746,Horsefly,3,0.1734,Quesnel_Horsef,3,0.1378,M_Horsefly,3,0.005,Chilko,3,0.0048
SDN1308,Chilko,3,0.9506,Porter_Cr,1,0.0226,Middle,3,0.0084,Chilko-North,3,0.0058,Gluskie,1,0.0054
SDN1309,Middle,3,0.8874,Tachie,3,0.0992,Chilko,3,0.0124,Pinchi_Cr,3,0.0006,Porter_Cr,1,0.0004
SDN1310,Chilko,3,0.979,Horsefly,3,0.009,U_Horsefly,3,0.0036,Quesnel_Horsef,3,0.0028,Felix,1,0.0026
SDN1311,Porter_Cr,1,0.362,Middle,3,0.2042,Felix,1,0.1596,Gluskie,1,0.0744,Chilko,3,0.0706
SDN1312,Gates_Cr,2,1,,,,,,,,,,,,
SDN1313,Chilko,3,0.5666,L_Adams,4,0.4326,Thompson_N,2,0.0008,,,,,,
SDN1314,Quesnel_Mitche,3,0.8918,Mitchell,3,0.1078,Blue_Lead_Ck,3,0.0002,Roaring,3,0.0002,,,
SDN1315,Chilko,3,0.9986,Horsefly,3,0.001,U_Horsefly,3,0.0002,Quesnel_Horsef,3,0.0002,,,
SDN1316,Chilko,3,0.995,Chilko-North,3,0.0042,Middle,3,0.0006,Stellako,3,0.0002,,,
SDN1317,Chilko,3,0.61,Middle,3,0.1636,Horsefly,3,0.065,U_Horsefly,3,0.0626,L_Adams,4,0.0448
SDN1318,Chilko,3,0.9204,Quesnel_Mitche,3,0.0272,U_Horsefly,3,0.0262,Quesnel_Horsef,3,0.0078,Horsefly,3,0.0062
SDN1319,Chilko,3,0.976,L_Adams,4,0.0114,Middle,3,0.0088,Scotch,2,0.0016,Weaver,4,0.0008
SDN1321,Chilko,3,0.984,Middle,3,0.0076,Birkenhead,3,0.0046,U_Horsefly,3,0.0018,Pinchi_Cr,3,0.0006
SDN1357,Quesnel_Mitche,3,0.9804,Mitchell,3,0.0196,,,,,,,,,
SDN1358,Chilko,3,0.9084,Weaver,4,0.0908,L_Adams,4,0.0008,,,,,,
SDN1363,Porter_Cr,1,0.4692,Middle,3,0.1376,Felix,1,0.1336,Gluskie,1,0.1286,Rossette,1,0.0238
SDN1364,Quesnel_Mitche,3,0.9016,Mitchell,3,0.0866,Wasko_Cr,3,0.0058,Chilko,3,0.0044,Roaring,3,0.001
SDN1349,Quesnel_Mitche,3,0.9496,Mitchell,3,0.0504,,,,,,,,,
SDN1350,Quesnel_Mitche,3,0.8142,Mitchell,3,0.1022,Wasko_Cr,3,0.042,Roaring,3,0.0136,Thompson_N,2,0.0094
SDN1367,Chilko,3,0.9966,Middle,3,0.0018,Thompson_N,2,0.0006,Chilko_south,2,0.0006,L_Adams,4,0.0002
SDN1288,Middle,3,0.489,U_Horsefly,3,0.1754,Horsefly,3,0.1034,Tachie,3,0.092,Quesnel_Horsef,3,0.0392
SDN1302,Thompson_N,2,0.5058,Weaver,4,0.36,Pitt,2,0.1082,Birkenhead,3,0.014,Sproat,7,0.0046
SDN1303,Chilko,3,0.9986,Middle,3,0.0012,Chilko_south,2,0.0002,,,,,,
SDN1304,Quesnel_Mitche,3,0.9582,Mitchell,3,0.0418,,,,,,,,,
SDN1370,Weaver,4,0.9978,Birkenhead,3,0.0018,L_Adams,4,0.0002,Chilko,3,0.0002,,,
SDN1351,Gates_Cr,2,1,,,,,,,,,,,,
SDN1352,Middle,3,0.8372,Tachie,3,0.0664,Porter_Cr,1,0.0614,Gluskie,1,0.0156,Hudson_Bay,1,0.0084
SDN1064,Chilko,3,1,,,,,,,,,,,,
SDN1065,Weaver,4,0.9316,Pitt,2,0.0684,,,,,,,,,
SDN1076,Middle,3,0.7156,Porter_Cr,1,0.1554,Gluskie,1,0.039,Felix,1,0.0194,Tachie,3,0.0186
SDN1070,Weaver,4,1,,,,,,,,,,,,
SDN1071,U_Horsefly,3,0.674,Horsefly,3,0.2362,Quesnel_Horsef,3,0.0848,McKinley,3,0.0026,M_Horsefly,3,0.0024
SDN1072,Chilko,3,0.9872,Thompson_N,2,0.0098,L_Adams,4,0.0024,Chilko-North,3,0.0006,,,
SDN1082,Chilko,3,0.8812,Horsefly,3,0.0902,U_Horsefly,3,0.0132,L_Adams,4,0.0072,Quesnel_Horsef,3,0.0048
SDN1073,Gates_Cr,2,1,,,,,,,,,,,,
SDN1074,Middle,3,0.7802,Tachie,3,0.0656,Porter_Cr,1,0.0526,Chilko,3,0.0478,Weaver,4,0.0222
SDN1075,Scotch,2,0.9966,L_Adams,4,0.0034,,,,,,,,,
SDN873,Birkenhead,3,1,,,,,,,,,,,,
SDN874,Chilko,3,0.99,L_Adams,4,0.0092,Chilko_south,2,0.0004,Thompson_N,2,0.0004,,,
SDN888,Thompson_N,2,0.99,L_Adams,4,0.0092,Chilko,3,0.0008,,,,,,
SDN875,Chilko,3,0.994,Chilko-North,3,0.006,,,,,,,,,
SDN876,Chilko,3,1,,,,,,,,,,,,
SDN889,Chilko,3,0.8438,Horsefly,3,0.0486,U_Horsefly,3,0.0446,L_Adams,4,0.019,Quesnel_Mitche,3,0.0114
SDN903,Middle,3,0.721,Porter_Cr,1,0.132,Tachie,3,0.0842,Stellako,3,0.0314,Pinchi_Cr,3,0.0082
SDN906,Middle,3,0.8542,Tachie,3,0.1186,L_Adams,4,0.0084,Pinchi_Cr,3,0.007,Stellako,3,0.0044
SDN909,Chilko,3,0.9856,Weaver,4,0.0114,Horsefly,3,0.001,Quesnel_Horsef,3,0.001,Chilko-North,3,0.0006
SDN910,U_Horsefly,3,0.6236,Horsefly,3,0.2562,Quesnel_Horsef,3,0.0764,L_Horsefly,3,0.0152,McKinley,3,0.0078
SDN911,Quesnel_Mitche,3,0.9136,Mitchell,3,0.0864,,,,,,,,,
SDN915,L_Adams,4,0.8632,Chilko,3,0.0874,Scotch,2,0.035,Middle,3,0.0052,Kynock,1,0.0024
SDN916,Chilko,3,1,,,,,,,,,,,,
SDN917,U_Horsefly,3,0.6682,Quesnel_Horsef,3,0.1706,L_Adams,4,0.0888,Quesnel_Mitche,3,0.0266,Wasko_Cr,3,0.0194
SDN919,Chilko,3,0.938,Chilko_south,2,0.0384,Pitt,2,0.0142,Chilko-North,3,0.0048,Thompson_N,2,0.002
SDN1254,Quesnel_Mitche,3,0.92,Mitchell,3,0.08,,,,,,,,,
SDN1301,Chilko,3,0.4362,Middle,3,0.4106,Porter_Cr,1,0.0696,Gluskie,1,0.0288,Felix,1,0.013
SDN883,L_Adams,4,0.9846,U_Horsefly,3,0.0098,Horsefly,3,0.0038,Quesnel_Horsef,3,0.0008,Portage_Cr,4,0.0008
SDN870,Scotch,2,0.86,Middle,3,0.068,L_Adams,4,0.0584,Seymour,2,0.0068,Eagle,2,0.0032
SDN882,Chilko,3,0.3948,Porter_Cr,1,0.3734,Felix,1,0.1126,Gluskie,1,0.0552,Gates_Cr,2,0.0138
S937DN1,Birkenhead,3,0.7176,Weaver,4,0.2778,Middle,3,0.0024,Chilko,3,0.0012,Pinchi_Cr,3,0.0006
S938DN1,Chilko,3,0.9974,Chilko-North,3,0.0024,Chilko_south,2,0.0002,,,,,,
SDN1041,Chilko,3,0.982,Chilko_south,2,0.0106,Chilko-North,3,0.0024,Horsefly,3,0.0016,Felix,1,0.0012
SDN1044,L_Adams,4,0.9046,Scotch,2,0.044,Chilko,3,0.0382,Middle,3,0.0078,Thompson_N,2,0.0034
SDN1037,Chilko,3,0.9994,Chilko-North,3,0.0006,,,,,,,,,
SDN1045,L_Adams,4,0.7372,Chilko,3,0.1962,Thompson_N,2,0.0438,U_Horsefly,3,0.0118,MiddleShuswap,4,0.0026
SDN1023,Weaver,4,0.8928,L_Adams,4,0.058,Thompson_N,2,0.0176,Scotch,2,0.017,Portage_Cr,4,0.0046
SDN1038,Quesnel_Mitche,3,0.971,Mitchell,3,0.029,,,,,,,,,
SDN1039,Quesnel_Mitche,3,0.9176,Mitchell,3,0.082,Wasko_Cr,3,0.0002,Roaring,3,0.0002,,,
SDN1040,L_Adams,4,0.9294,Scotch,2,0.0478,Weaver,4,0.0166,Thompson_N,2,0.0022,Portage_Cr,4,0.0016
SDN1046,Chilko,3,0.9938,Quesnel_Mitche,3,0.0034,Chilko-North,3,0.0006,Gluskie,1,0.0006,Middle,3,0.0006
SDN1047,Chilko,3,0.99,Porter_Cr,1,0.0096,U_Horsefly,3,0.0002,Chilko_south,2,0.0002,,,
SDN1048,Chilko,3,0.994,Porter_Cr,1,0.0028,Felix,1,0.001,FiveMile,1,0.0008,Narrows,1,0.0006
SDN1049,Chilko,3,0.9988,Chilko-North,3,0.0004,U_Horsefly,3,0.0004,Chilko_south,2,0.0002,Horsefly,3,0.0002
S1344DN1,Quesnel_Mitche,3,0.9122,Mitchell,3,0.0878,,,,,,,,,
SDN1286,Chilko,3,0.7514,U_Horsefly,3,0.1386,Horsefly,3,0.0748,Quesnel_Horsef,3,0.0278,L_Horsefly,3,0.0018
SDN1287,Quesnel_Mitche,3,0.6066,Chilko,3,0.1588,Mitchell,3,0.1284,Scotch,2,0.029,U_Horsefly,3,0.02
SDN1289,Chilko,3,0.9974,Chilko_south,2,0.0026,,,,,,,,,
S1359DN1,Chilko,3,0.9956,Middle,3,0.0036,Tachie,3,0.0008,,,,,,
SDN1291,Chilko,3,0.5982,Thompson_N,2,0.1778,Middle,3,0.076,L_Adams,4,0.0518,Chilko_south,2,0.0244
SDN1295,Scotch,2,0.9512,Seymour,2,0.0384,Eagle,2,0.0104,,,,,,
SDN1297,Chilko,3,0.9986,Chilko_south,2,0.0008,Chilko-North,3,0.0006,,,,,,
SDN79,L_Adams,4,0.6108,Chilko,3,0.2054,Quesnel_Horsef,3,0.0719,Dust,1,0.0323,U_Horsefly,3,0.0168
SDN971,Raft,2,0.4121,L_Adams,4,0.3296,Fennell,2,0.1456,Chilko,3,0.0522,Thompson_N,2,0.0226
SDN957,Chilko,3,0.9586,L_Adams,4,0.02,Chilko_south,2,0.0088,Tachie,3,0.008,Middle,3,0.0025
SDN958,Quesnel_Mitche,3,0.7718,Mitchell,3,0.2282,,,,,,,,,
SDN959,L_Adams,4,0.3611,Narrows,1,0.1926,Bivouac,1,0.1797,Dust,1,0.0678,Middle,3,0.0467
SDN961,Chilko,3,0.9322,Pitt,2,0.0322,Chilko_south,2,0.0292,L_Adams,4,0.0045,U_Horsefly,3,0.0009
