sample_id,ufn,Stock_1,Region_1,Prob_1,Stock_2,Region_2,Prob_2,Stock_3,Region_3,Prob_3,Stock_4,Region_4,Prob_4,Stock_5,Region_5,Prob_5
SDN466,U483,Chilko,3,0.9131,Thompson_N,2,0.069,L_Adams,4,0.0128,Weaver,4,0.0041,Dust,1,0.0005
SDN467,U484,Chilko,3,0.9631,Stellako,3,0.0268,Horsefly,3,0.0096,Middle,3,0.0004,Sandpoint,1,0.0001
SDN468,U485,Porter_Cr,1,0.7059,Stellako,3,0.1025,FiveMile,1,0.0625,Blackwater,1,0.0434,Paula,1,0.0217
SDN469,U486,Thompson_N,2,0.8305,Chilko,3,0.1088,Gluskie,1,0.0359,L_Adams,4,0.0189,Porter_Cr,1,0.0023
SDN464,U492,Horsefly,3,0.8655,L_Horsefly,3,0.055,Quesnel_Horsef,3,0.0536,McKinley,3,0.0174,U_Horsefly,3,0.0062
SDN473,U493,Porter_Cr,1,0.7417,Stellako,3,0.0603,Blackwater,1,0.0498,FiveMile,1,0.0456,Middle,3,0.0306
SDN474,U494,Gluskie,1,0.9368,L_Adams,4,0.0245,Forfar,1,0.0166,Sandpoint,1,0.0081,Porter_Cr,1,0.005
SDN475,U495,Chilko,3,0.9436,L_Adams,4,0.0331,Thompson_N,2,0.0133,Portage_Cr,4,0.0039,Stellako,3,0.0033
SDN476,U496,Chilko,3,0.9958,Horsefly,3,0.0025,L_Adams,4,0.0016,L_Horsefly,3,0.0001,,,
SDN477,U497,Porter_Cr,1,0.573,Gluskie,1,0.2828,FiveMile,1,0.0477,Blackwater,1,0.0324,Chilko,3,0.02
SDN1232,U1296,Chilko,3,0.9832,Porter_Cr,1,0.0055,Chilko-North,3,0.0028,L_Adams,4,0.0019,Blackwater,1,0.0016
SDN314,U309,Gluskie,1,0.9333,FiveMile,1,0.0555,Forfar,1,0.0042,Blackwater,1,0.0024,Porter_Cr,1,0.0016
SDN315,U310,Chilko,3,0.9955,Horsefly,3,0.0019,L_Adams,4,0.0014,Quesnel_Mitche,3,0.0006,McKinley,3,0.0004
SDN320,U320,Stellako,3,0.5686,L_Adams,4,0.3419,Chilko,3,0.0416,Seymour,2,0.0194,Eagle,2,0.0107
SDN325,U334,Chilko,3,0.9984,Porter_Cr,1,0.001,Chilko-North,3,0.0006,,,,,,
SDN327,U335,L_Adams,4,0.4939,Gluskie,1,0.1739,Porter_Cr,1,0.1207,Kynock,1,0.0461,Sandpoint,1,0.0429
SDN328,U336,Stellako,3,0.9965,L_Adams,4,0.0018,Gluskie,1,0.0009,Tachie,3,0.0004,Kuzkwa_Cr,3,0.0001
SDN326,U341,Gates_Cr,2,1,,,,,,,,,,,,
SDN333,U342,Gates_Cr,2,1,,,,,,,,,,,,
SDN334,U343,Chilko,3,0.5073,L_Adams,4,0.3931,Portage_Cr,4,0.0957,Chilko-North,3,0.0008,Blue_Lead_Ck,3,0.0007
SDN340,U351,Horsefly,3,0.2428,Chilko,3,0.2379,L_Adams,4,0.2298,Thompson_N,2,0.1186,Porter_Cr,1,0.103
SDN391,U400,Chilko,3,0.9978,L_Adams,4,0.0011,Horsefly,3,0.0005,Quesnel_Mitche,3,0.0005,Kuzkwa_Cr,3,0.0001
SDN394,U412,Chilko,3,0.9732,Horsefly,3,0.0056,Porter_Cr,1,0.005,L_Adams,4,0.0042,Thompson_N,2,0.0031
SDN395,U413,Porter_Cr,1,0.5194,Gluskie,1,0.3754,FiveMile,1,0.0509,Blackwater,1,0.0308,Kynock,1,0.0122
SDN396,U414,Chilko,3,0.9025,Horsefly,3,0.0743,Quesnel_Horsef,3,0.0103,L_Horsefly,3,0.0063,Quesnel_Mitche,3,0.0026
SDN397,U415,Porter_Cr,1,0.8494,FiveMile,1,0.0593,Blackwater,1,0.036,Gluskie,1,0.0236,Sandpoint,1,0.0101
SDN398,U416,Gluskie,1,0.46,Chilko,3,0.3551,Porter_Cr,1,0.0557,L_Adams,4,0.0275,Sandpoint,1,0.0189
SDN401,U421,Stellako,3,0.7063,Chilko,3,0.2161,Thompson_N,2,0.0369,L_Adams,4,0.0337,Middle,3,0.0026
SDN402,U422,Stellako,3,0.9781,Porter_Cr,1,0.0065,Middle,3,0.0035,L_Adams,4,0.0023,Kuzkwa_Cr,3,0.0016
SDN403,U423,Chilko,3,0.9914,Portage_Cr,4,0.0041,L_Adams,4,0.0035,Thompson_N,2,0.001,,,
SDN404,U424,Chilko,3,0.9969,Chilko-North,3,0.0016,Gluskie,1,0.0008,Pitt,2,0.0005,L_Horsefly,3,0.0001
SDN427,U327,Quesnel_Mitche,3,0.9659,Mitchell,3,0.0219,Roaring,3,0.0045,Horsefly,3,0.0028,Blue_Lead_Ck,3,0.0018
SDN442,U403,Stellako,3,0.3462,Gluskie,1,0.3399,Porter_Cr,1,0.079,Chilko,3,0.073,Kynock,1,0.0482
SDN443,U404,Quesnel_Mitche,3,0.9929,Mitchell,3,0.005,Chilko,3,0.0011,Blue_Lead_Ck,3,0.001,,,
SDN444,U405,Quesnel_Mitche,3,0.9882,Mitchell,3,0.0114,Blue_Lead_Ck,3,0.0004,,,,,,
SDN445,U406,Stellako,3,0.9969,Kuzkwa_Cr,3,0.0013,Pinchi_Cr,3,0.001,Chilko,3,0.0005,FiveMile,1,0.0002
SDN446,U407,Chilko,3,1,,,,,,,,,,,,
SDN423,U436,Stellako,3,0.9948,Kuzkwa_Cr,3,0.0019,Pinchi_Cr,3,0.0011,Porter_Cr,1,0.0007,Kynock,1,0.0005
SDN424,U437,L_Adams,4,0.678,Chilko,3,0.2999,Thompson_N,2,0.0127,Portage_Cr,4,0.0047,Eagle_L,4,0.0021
SDN428,U438,Chilko,3,0.997,Portage_Cr,4,0.0011,Chilko-North,3,0.0009,Porter_Cr,1,0.0005,Pitt,2,0.0004
SDN429,U439,Pitt,2,0.9968,Tuskwa,16,0.002,Basin_Cr,17,0.0006,Harrison,4,0.0005,VernRichie,17,0.0001
SDN425,U441,Porter_Cr,1,0.7021,Chilko,3,0.1669,Thompson_N,2,0.0463,Gluskie,1,0.0251,Sandpoint,1,0.0214
SDN426,U442,Porter_Cr,1,0.7478,Gluskie,1,0.0626,FiveMile,1,0.0614,Blackwater,1,0.0416,Stellako,3,0.036
SDN431,U443,Quesnel_Mitche,3,0.9997,Roaring,3,0.0002,Mitchell,3,0.0001,,,,,,
SDN432,U444,L_Adams,4,0.9715,Horsefly,3,0.0125,Portage_Cr,4,0.0119,L_Horsefly,3,0.0015,L_Shuswap,4,0.0006
SDN448,U461,Horsefly,3,0.8353,L_Horsefly,3,0.0548,Quesnel_Horsef,3,0.0341,L_Adams,4,0.0323,McKinley,3,0.0222
SDN449,U462,Gates_Cr,2,1,,,,,,,,,,,,
SDN450,U463,L_Adams,4,0.6523,Horsefly,3,0.2968,Chilko,3,0.0168,Thompson_N,2,0.0131,Portage_Cr,4,0.0113
SDN451,U464,Horsefly,3,0.6908,L_Adams,4,0.2383,Quesnel_Horsef,3,0.0245,L_Horsefly,3,0.0233,McKinley,3,0.0129
SDN452,U465,Chilko,3,0.9653,Horsefly,3,0.0104,L_Adams,4,0.0063,Porter_Cr,1,0.0042,Stellako,3,0.0039
SDN410,U325,Horsefly,3,0.4459,L_Adams,4,0.3185,Chilko,3,0.1229,Quesnel_Horsef,3,0.0332,Stellako,3,0.0246
SDN415,U326,Porter_Cr,1,0.571,Gluskie,1,0.2409,Thompson_N,2,0.0335,Stellako,3,0.0314,Blackwater,1,0.0314
SDN416,U427,Horsefly,3,0.542,Chilko,3,0.2411,Gluskie,1,0.0739,Stellako,3,0.0352,L_Horsefly,3,0.0266
SDN417,U428,L_Adams,4,0.9589,Seymour,2,0.0229,Eagle_L,4,0.0095,Scotch,2,0.0056,Eagle,2,0.0022
SDN418,U429,Chilko,3,0.9488,Quesnel_Mitche,3,0.0431,L_Adams,4,0.0051,Quesnel_Decept,3,0.001,Eagle_L,4,0.0005
SDN419,U430,Chilko,3,0.9768,Horsefly,3,0.0153,Weaver,4,0.004,Pitt,2,0.0015,L_Adams,4,0.001
SDN414,U432,Porter_Cr,1,0.7916,Gluskie,1,0.0945,FiveMile,1,0.0457,Blackwater,1,0.0429,Forfar,1,0.0152
SDN420,U433,Gluskie,1,0.5008,Porter_Cr,1,0.3773,FiveMile,1,0.0403,Blackwater,1,0.0327,Sandpoint,1,0.0305
SDN421,U434,Chilko,3,0.9716,Porter_Cr,1,0.0149,FiveMile,1,0.0043,L_Adams,4,0.0025,Horsefly,3,0.001
SDN422,U435,Gluskie,1,0.3879,Porter_Cr,1,0.3531,Sandpoint,1,0.0524,Iskut,14,0.0337,L_Adams,4,0.0296
SDN1296,U1369,Stellako,3,0.9964,Kuzkwa_Cr,3,0.002,Middle,3,0.0006,Dust,1,0.0005,Pinchi_Cr,3,0.0005
SDN522,U526,Tachie,3,0.7484,Middle,3,0.1862,Bowron,2,0.0337,Pinchi_Cr,3,0.0259,Dust,1,0.0021
SDN534,U546,L_Adams,4,0.9892,L_Shuswap,4,0.0042,Little,4,0.0026,Chilko,3,0.0019,Thompson_N,2,0.0018
SDN441,U402,Chilko,3,0.9485,Chilko-North,3,0.0407,L_Adams,4,0.0098,Quesnel_Decept,3,0.0007,Middle,3,0.0002
SDN430,U440,Chilko,3,0.9616,Tachie,3,0.0119,Bowron,2,0.0052,Thompson_N,2,0.0039,Middle,3,0.0027
SDN434,U446,Chilko,3,0.9991,Pinchi_Cr,3,0.0007,Narrows,1,0.0002,,,,,,
SDN435,U447,Thompson_N,2,0.6188,L_Adams,4,0.2544,Raft,2,0.1214,Chilko,3,0.0031,L_Shuswap,4,0.0008
SDN436,U448,Chilko,3,0.9552,Thompson_N,2,0.0257,L_Adams,4,0.0161,Chilko_south,2,0.0009,Pinchi_Cr,3,0.0007
SDN437,U449,Chilko,3,0.7414,Paula,1,0.0618,Porter_Cr,1,0.049,L_Adams,4,0.0325,FiveMile,1,0.0299
SDN447,U450,Thompson_N,2,0.455,L_Adams,4,0.2327,Chilko,3,0.1694,Fennell,2,0.0764,Raft,2,0.0585
SDN438,U451,Chilko,3,0.9794,L_Adams,4,0.0152,Chilko-North,3,0.0047,Chilko_south,2,0.0007,,,
SDN439,U452,Chilko,3,0.9743,Chilko-North,3,0.0202,L_Adams,4,0.0048,Middle,3,0.0004,Tachie,3,0.0003
SDN440,U453,Quesnel_Mitche,3,0.6334,Mitchell,3,0.3631,Blue_Lead_Ck,3,0.0025,Chilko,3,0.001,,,
SDN470,U487,Tachie,3,0.4354,Middle,3,0.169,FiveMile,1,0.0745,Hudson_Bay,1,0.0631,Porter_Cr,1,0.0616
SDN471,U488,L_Adams,4,0.6413,Thompson_N,2,0.187,Chilko,3,0.1155,Raft,2,0.044,L_Shuswap,4,0.0054
SDN472,U489,Quesnel_Mitche,3,0.5817,Mitchell,3,0.4176,Quesnel_Decept,3,0.0007,,,,,,
SDN485,U490,Chilko,3,0.7771,L_Adams,4,0.1477,Chilko-North,3,0.0659,L_Shuswap,4,0.0084,Scotch,2,0.0007
SDN478,U498,L_Adams,4,0.6195,Tachie,3,0.2591,Thompson_N,2,0.0599,Middle,3,0.0176,L_Shuswap,4,0.0119
SDN479,U499,Chilko,3,0.7926,L_Adams,4,0.09,Scotch,2,0.0294,Chilko-North,3,0.012,L_Horsefly,3,0.0117
SDN486,U500,Chilko,3,0.5159,L_Adams,4,0.2419,Scotch,2,0.0844,Thompson_N,2,0.0519,Porter_Cr,1,0.0147
SDN488,U502,Porter_Cr,1,0.2914,Paula,1,0.1602,Hudson_Bay,1,0.131,FiveMile,1,0.1166,Narrows,1,0.0895
SDN493,U511,Scotch,2,0.9998,Thompson_N,2,0.0002,,,,,,,,,
SDN494,U512,Chilko,3,0.9802,Chilko-North,3,0.0154,Tachie,3,0.0024,Pinchi_Cr,3,0.0008,Sandpoint,1,0.0007
SDN511,U523,Quesnel_Mitche,3,0.6115,Mitchell,3,0.3873,Roaring,3,0.0007,Blue_Lead_Ck,3,0.0003,Quesnel_Decept,3,0.0002
SDN512,U524,Tachie,3,0.7304,Middle,3,0.2135,Pinchi_Cr,3,0.0387,Hudson_Bay,1,0.0042,FiveMile,1,0.0041
SDN521,U525,Chilko,3,0.9702,Chilko-North,3,0.0243,L_Adams,4,0.0026,Chilko_south,2,0.0021,Fennell,2,0.0006
SDN514,U532,Tachie,3,0.7285,Middle,3,0.1704,Pinchi_Cr,3,0.0744,Chilko,3,0.0121,FiveMile,1,0.0056
SDN515,U533,L_Adams,4,0.9158,Chilko,3,0.0741,MiddleShuswap,4,0.0038,L_Shuswap,4,0.0023,Dust,1,0.0018
SDN516,U534,Quesnel_Mitche,3,0.6755,Mitchell,3,0.3219,Blue_Lead_Ck,3,0.0015,Roaring,3,0.0011,,,
SDN527,U535,Chilko,3,0.892,Chilko-North,3,0.0267,Tachie,3,0.0264,Thompson_N,2,0.0152,Porter_Cr,1,0.0093
SDN519,U543,Chilko,3,0.9922,L_Adams,4,0.0055,Thompson_N,2,0.0014,Chilko-North,3,0.0008,L_Horsefly,3,0.0001
SDN520,U544,Quesnel_Mitche,3,0.9571,Mitchell,3,0.0401,Roaring,3,0.0028,,,,,,
SDN533,U545,Pitt,2,0.9995,Tachie,3,0.0005,,,,,,,,,
SDN250,U226,Chilko,3,0.9956,Tachie,3,0.0025,Middle,3,0.001,Chilko-North,3,0.0006,Sandpoint,1,0.0002
SDN251,U227,Chilko,3,0.6048,L_Adams,4,0.2769,Thompson_N,2,0.0362,Chilko-North,3,0.0302,Tachie,3,0.0129
SDN252,U228,Tachie,3,0.5686,Chilko,3,0.3261,Pinchi_Cr,3,0.0633,Middle,3,0.0119,Chilko-North,3,0.0114
SDN253,U229,Chilko,3,0.7189,Thompson_N,2,0.2291,Raft,2,0.0347,L_Adams,4,0.0118,Chilko-North,3,0.0043
SDN255,U257,Porter_Cr,1,0.3,Paula,1,0.1722,Hudson_Bay,1,0.1164,FiveMile,1,0.1159,Narrows,1,0.1057
SDN256,U258,Chilko,3,0.9824,L_Adams,4,0.0075,Thompson_N,2,0.0062,Chilko-North,3,0.0022,Porter_Cr,1,0.0007
SDN257,U259,Chilko,3,0.9678,L_Adams,4,0.0306,M_Horsefly,3,0.0007,Mitchell,3,0.0002,Chilko-North,3,0.0002
SDN262,U264,Quesnel_Mitche,3,0.6822,Mitchell,3,0.316,Chilko,3,0.0016,Blue_Lead_Ck,3,0.0002,,,
SDN740,U770,Scotch,2,1,,,,,,,,,,,,
SDN742,U775,Chilko,3,0.9777,Chilko-North,3,0.0216,Pinchi_Cr,3,0.0007,,,,,,
SDN743,U776,Chilko,3,0.6915,Tachie,3,0.1473,Chilko-North,3,0.0559,Dust,1,0.0477,Bowron,2,0.0251
SDN748,U793,Chilko,3,0.9461,Tachie,3,0.0293,Thompson_N,2,0.0135,L_Adams,4,0.0085,Pinchi_Cr,3,0.0014
SDN749,U794,Chilko,3,0.979,Tachie,3,0.0098,Quesnel_Mitche,3,0.0028,Mitchell,3,0.0021,FiveMile,1,0.0014
SDN750,U795,Chilko,3,0.9709,Chilko-North,3,0.0276,Tachie,3,0.0008,Chilko_south,2,0.0007,,,
SDN751,U796,Thompson_N,2,0.5126,L_Adams,4,0.4695,Raft,2,0.0134,Quesnel_Decept,3,0.0028,Chilko,3,0.0014
SDN754,U801,Chilko,3,0.9565,Chilko-North,3,0.0429,L_Adams,4,0.0004,FiveMile,1,0.0002,,,
SDN755,U802,Chilko,3,0.9928,Porter_Cr,1,0.0022,Narrows,1,0.001,Sandpoint,1,0.0009,Tachie,3,0.0009
SDN756,U803,L_Adams,4,0.5096,Chilko,3,0.2967,Tachie,3,0.0727,Quesnel_Mitche,3,0.0281,Heckman,20,0.0222
SDN275,U130,Chilko,3,0.9231,L_Adams,4,0.0358,Chilko-North,3,0.0315,Bowron,2,0.0059,Quesnel_Mitche,3,0.0014
SDN276,U266,Scotch,2,0.9996,Seymour,2,0.0004,,,,,,,,,
SDN277,U267,Pitt,2,0.9966,Scotch,2,0.0009,Thompson_N,2,0.0007,Porter_Cr,1,0.0007,Chilko,3,0.0003
SDN265,U271,L_Adams,4,0.9681,Scotch,2,0.029,L_Horsefly,3,0.0007,Tachie,3,0.0007,MiddleShuswap,4,0.0007
SDN281,U275,Porter_Cr,1,0.2516,Paula,1,0.185,Tachie,3,0.1245,FiveMile,1,0.1138,Hudson_Bay,1,0.1007
SDN282,U276,L_Adams,4,0.6507,Chilko,3,0.2933,Thompson_N,2,0.0362,Scotch,2,0.011,Little,4,0.0017
SDN283,U277,Bowron,2,1,,,,,,,,,,,,
SDN286,U287,Chilko,3,0.7769,Thompson_N,2,0.1963,Raft,2,0.013,Fennell,2,0.0086,L_Adams,4,0.003
SDN287,U288,Scotch,2,0.9936,Porter_Cr,1,0.0036,Narrows,1,0.0008,L_Adams,4,0.0008,Paula,1,0.0007
SDN288,U289,Scotch,2,0.9998,Seymour,2,0.0002,,,,,,,,,
SDN223,U219,Chilko,3,0.7706,Thompson_N,2,0.1103,Tachie,3,0.0486,L_Adams,4,0.031,L_Horsefly,3,0.0154
SDN224,U220,Scotch,2,0.928,L_Adams,4,0.0325,Thompson_N,2,0.0198,Chilko,3,0.0123,Pitt,2,0.0061
SDN225,U221,Chilko,3,0.979,Pitt,2,0.0068,Tachie,3,0.004,Chilko-North,3,0.0035,L_Adams,4,0.0024
SDN226,U222,Chilko,3,0.9971,Chilko-North,3,0.0017,L_Adams,4,0.001,Middle,3,0.0002,,,
SDN229,U237,Chilko,3,0.8739,L_Adams,4,0.1124,Chilko_south,2,0.0098,Chilko-North,3,0.0015,Pitt,2,0.0008
SDN230,U238,Tachie,3,0.2526,Paula,1,0.2256,Hudson_Bay,1,0.1275,Narrows,1,0.0771,Chilko,3,0.0763
SDN231,U239,L_Adams,4,0.8654,Chilko,3,0.0945,Pitt,2,0.019,L_Shuswap,4,0.0128,MiddleShuswap,4,0.004
SDN233,U242,Chilko,3,0.9622,Chilko-North,3,0.037,Tachie,3,0.0008,,,,,,
SDN234,U243,Porter_Cr,1,0.2611,Tachie,3,0.1671,Paula,1,0.1428,FiveMile,1,0.1287,Hudson_Bay,1,0.0765
SDN235,U244,Porter_Cr,1,0.3006,Paula,1,0.181,Hudson_Bay,1,0.1355,Narrows,1,0.1093,FiveMile,1,0.1084
SDN781,U759,Chilko,3,0.9832,L_Adams,4,0.0158,Chilko-North,3,0.0009,Tachie,3,0.0001,,,
SDN782,U760,L_Adams,4,0.974,Scotch,2,0.0099,Chilko,3,0.0066,Portage_Cr,4,0.0037,Little,4,0.0031
SDN775,U817,L_Adams,4,0.9986,Chilko,3,0.0007,Little,4,0.0007,,,,,,
SDN783,U818,L_Adams,4,0.9959,Portage_Cr,4,0.0031,Scotch,2,0.001,,,,,,
SDN784,U819,Tachie,3,0.75,Middle,3,0.1757,Pinchi_Cr,3,0.0546,L_Adams,4,0.0097,Chilko,3,0.0045
SDN785,U820,L_Adams,4,0.9532,Scotch,2,0.0417,Little,4,0.0049,Portage_Cr,4,0.0002,,,
SDN786,U824,Quesnel_Mitche,3,0.6159,Mitchell,3,0.3841,,,,,,,,,
SDN780,U832,L_Adams,4,0.6879,Chilko,3,0.2868,Chilko_south,2,0.0077,Thompson_N,2,0.0064,Pitt,2,0.0028
SDN787,U833,Chilko,3,0.8332,L_Adams,4,0.1328,Tachie,3,0.016,Chilko-North,3,0.0071,Thompson_N,2,0.0052
SDN788,U834,Chilko,3,0.3929,Tachie,3,0.2711,L_Adams,4,0.1916,Chilko-North,3,0.0536,Porter_Cr,1,0.0291
SDN968,U947,Chilko,3,0.8919,L_Adams,4,0.1021,Chilko-North,3,0.0045,Chilko_south,2,0.0007,Little,4,0.0004
SDN969,U948,Scotch,2,0.4345,L_Adams,4,0.2825,Thompson_N,2,0.2701,Tachie,3,0.0037,MiddleShuswap,4,0.0018
SDN970,U949,Fennell,2,0.3912,Thompson_N,2,0.258,L_Adams,4,0.181,Raft,2,0.0877,Chilko,3,0.0711
SDN954,U999,Quesnel_Mitche,3,0.5834,Mitchell,3,0.2922,Blue_Lead_Ck,3,0.0504,Quesnel_Decept,3,0.0503,Roaring,3,0.0119
SDN955,U1000,L_Adams,4,0.7388,Rossette,1,0.0513,Thompson_N,2,0.0467,Pitt,2,0.0383,Nahatlatch,2,0.0315
SDN942,U1005,L_Adams,4,0.8618,Chilko,3,0.1048,Scotch,2,0.0272,Tachie,3,0.0034,Horsefly,3,0.001
SDN943,U1006,Quesnel_Mitche,3,0.5977,Mitchell,3,0.3982,Blue_Lead_Ck,3,0.0037,Roaring,3,0.0004,,,
SDN956,U1007,L_Adams,4,0.9819,Chilko,3,0.0141,Chilko-North,3,0.0013,Little,4,0.0011,Scotch,2,0.0009
SDN946,U1013,Chilko,3,0.3622,Mitchell,3,0.2976,Quesnel_Mitche,3,0.2637,L_Adams,4,0.0507,Blue_Lead_Ck,3,0.0145
SDN960,U1014,Chilko,3,0.9404,Tachie,3,0.0148,Chilko-North,3,0.0078,FiveMile,1,0.0076,L_Adams,4,0.0073
SDN964,U1021,Scotch,2,0.9963,L_Adams,4,0.0033,Seymour,2,0.0002,L_Shuswap,4,0.0001,Thompson_N,2,0.0001
SDN799,U826,Chilko,3,0.9305,Gluskie,1,0.0274,Horsefly,3,0.007,Narrows,1,0.0063,Quesnel_Horsef,3,0.0055
SDN797,U844,Chilko,3,0.5604,Seymour,2,0.304,L_Adams,4,0.0411,Gluskie,1,0.035,Paula,1,0.0202
SDN805,U845,Paula,1,0.4485,Birkenhead,3,0.372,Tachie,3,0.1414,Pitt,2,0.0165,Chilko,3,0.0092
SDN806,U846,Chilko,3,0.9527,Quesnel_Decept,3,0.04,Chilko_south,2,0.0021,Portage_Cr,4,0.0021,L_Adams,4,0.0016
SDN807,U847,Seymour,2,0.9647,Scotch,2,0.0341,L_Adams,4,0.0008,Eagle_L,4,0.0004,,,
SDN809,U849,Seymour,2,0.9176,Scotch,2,0.0812,Portage_Cr,4,0.0009,Eagle_L,4,0.0002,L_Adams,4,0.0001
SDN810,U850,Mitchell,3,0.9652,Quesnel_Decept,3,0.028,Seymour,2,0.0033,Roaring,3,0.0022,Chilko,3,0.0011
SDN811,U861,Chilko,3,0.9931,Tachie,3,0.0053,Chilko_south,2,0.0014,Kuzkwa_Cr,3,0.0001,Nadina,2,0.0001
SDN814,U864,Quesnel_Decept,3,0.7017,Mitchell,3,0.2816,Roaring,3,0.0151,Quesnel_Horsef,3,0.0011,McKinley,3,0.0003
SDN923,U946,Portage_Cr,4,0.7843,L_Adams,4,0.145,Eagle_L,4,0.0623,Chilko,3,0.0056,L_Shuswap,4,0.0014
SDN925,U958,Paula,1,0.4398,Gluskie,1,0.3007,Sandpoint,1,0.2311,Narrows,1,0.0162,Rossette,1,0.0084
SDN926,U959,Portage_Cr,4,0.7803,L_Adams,4,0.1717,Quesnel_Decept,3,0.0293,Paula,1,0.0083,Little,4,0.004
SDN927,U960,Paula,1,0.4368,Sandpoint,1,0.2377,Gluskie,1,0.2291,Tachie,3,0.0741,Narrows,1,0.0133
SDN931,U985,Portage_Cr,4,0.6008,L_Adams,4,0.183,Seymour,2,0.1597,Scotch,2,0.0406,Little,4,0.0103
SDN932,U986,Chilko,3,0.9991,Chilko-North,3,0.0004,Quesnel_Horsef,3,0.0003,L_Adams,4,0.0002,,,
SDN933,U987,Tachie,3,0.7937,Kuzkwa_Cr,3,0.1801,Paula,1,0.0134,Stellako,3,0.0085,Pinchi_Cr,3,0.0014
SDN947,U988,Mitchell,3,0.9773,Quesnel_Decept,3,0.018,Quesnel_Mitche,3,0.0026,Blue_Lead_Ck,3,0.0021,,,
SDN935,U992,Tachie,3,0.8052,Kuzkwa_Cr,3,0.1783,Gluskie,1,0.0069,Sandpoint,1,0.0042,Middle,3,0.0023
SDN936,U993,Paula,1,0.4714,Gluskie,1,0.2588,Sandpoint,1,0.2325,Narrows,1,0.0156,Rossette,1,0.0121
SDN937,U994,Tachie,3,0.7634,Chilko,3,0.1286,Kuzkwa_Cr,3,0.0544,Nadina,2,0.0285,Middle,3,0.01
SDN950,U995,Quesnel_Decept,3,0.405,Tachie,3,0.2108,L_Adams,4,0.1663,Chilko,3,0.1641,Kuzkwa_Cr,3,0.0278
SDN798,U825,Tachie,3,0.4344,Chilko,3,0.2941,Seymour,2,0.1128,Kuzkwa_Cr,3,0.08,L_Adams,4,0.0436
SDN800,U827,Portage_Cr,4,0.7757,L_Adams,4,0.1039,Pitt,2,0.0524,Eagle_L,4,0.0276,Seymour,2,0.0227
SDN801,U828,Chilko,3,0.9995,Chilko-North,3,0.0005,,,,,,,,,
SDN793,U839,Chilko,3,0.9653,Quesnel_Decept,3,0.0165,Chilko-North,3,0.0122,L_Adams,4,0.0052,Quesnel_Horsef,3,0.0007
SDN808,U848,Seymour,2,0.9627,Scotch,2,0.0372,L_Adams,4,0.0001,,,,,,
SDN812,U862,Chilko,3,0.9413,L_Adams,4,0.041,Portage_Cr,4,0.0162,Seymour,2,0.0008,Quesnel_Decept,3,0.0007
SDN813,U863,Quesnel_Decept,3,0.8454,Mitchell,3,0.1117,Roaring,3,0.019,Chilko,3,0.0127,Chilko_south,2,0.0061
SDN854,U876,Seymour,2,0.4633,Paula,1,0.0906,L_Adams,4,0.0864,Tachie,3,0.0786,Quesnel_Decept,3,0.0586
SDN855,U877,Seymour,2,0.8935,Scotch,2,0.0469,L_Adams,4,0.02,Tachie,3,0.0135,Portage_Cr,4,0.0104
SDN858,U907,Portage_Cr,4,0.7162,L_Adams,4,0.2366,MiddleShuswap,4,0.0172,Little,4,0.0072,Eagle_L,4,0.007
SDN859,U908,Mitchell,3,0.9993,Blue_Lead_Ck,3,0.0007,,,,,,,,,
SDN860,U909,Chilko,3,0.9919,Quesnel_Decept,3,0.005,M_Horsefly,3,0.0013,McKinley,3,0.0009,Roaring,3,0.0007
SDN861,U910,Seymour,2,0.9436,Scotch,2,0.0551,Eagle_L,4,0.0007,L_Adams,4,0.0003,Eagle,2,0.0003
SDN864,U914,Portage_Cr,4,0.3474,Seymour,2,0.2594,L_Adams,4,0.1351,Kalum,10,0.1167,Little,4,0.0385
SDN865,U915,Seymour,2,0.9514,Scotch,2,0.0437,L_Adams,4,0.0045,Eagle_L,4,0.0004,,,
SDN1252,U1298,Chilko,3,0.9821,Quesnel_Decept,3,0.0095,Chilko_south,2,0.0049,Mitchell,3,0.0019,Tachie,3,0.0007
SDN1248,U1310,Seymour,2,0.9152,Scotch,2,0.0748,L_Adams,4,0.0097,Eagle_L,4,0.0002,Eagle,2,0.0001
SDN1249,U1316,Portage_Cr,4,0.6812,Kitkiata_Lake,15,0.1628,L_Adams,4,0.0815,Eagle_L,4,0.0286,Craig,14,0.0093
SDN1255,U1318,Chilko,3,0.9756,Tachie,3,0.008,L_Adams,4,0.008,Chilko-North,3,0.0041,Portage_Cr,4,0.0041
SDN1250,U1328,Chilko,3,0.4738,Tachie,3,0.2277,Portage_Cr,4,0.078,Paula,1,0.0689,L_Adams,4,0.0344
SDN739,U755,Mitchell,3,0.9747,Quesnel_Decept,3,0.0176,Quesnel_Mitche,3,0.0033,Roaring,3,0.003,Blue_Lead_Ck,3,0.0014
SDN726,U767,Tachie,3,0.7178,Kuzkwa_Cr,3,0.2023,Middle,3,0.0231,Paula,1,0.0165,Chilko,3,0.0163
SDN727,U768,Seymour,2,0.696,Portage_Cr,4,0.1063,L_Adams,4,0.1041,Scotch,2,0.0906,Little,4,0.002
SDN728,U769,Chilko,3,0.9293,Quesnel_Decept,3,0.0648,Roaring,3,0.0021,Chilko_south,2,0.0021,L_Adams,4,0.0008
SDN729,U771,Seymour,2,0.8213,Scotch,2,0.1157,L_Adams,4,0.063,,,,,,
SDN730,U772,Pitt,2,1,,,,,,,,,,,,
