sample_id,ufn,Stock_1,Region_1,Prob_1,Stock_2,Region_2,Prob_2,Stock_3,Region_3,Prob_3,Stock_4,Region_4,Prob_4,Stock_5,Region_5,Prob_5
SDN1330,U606,Chilko,3,0.9994,Chilko_south,2,0.0004,Chilko-North,3,0.0002,,,,,,
SDN1331,U607,Quesnel_Mitche,3,0.9676,Mitchell,3,0.026,Chilko,3,0.0036,Wasko_Cr,3,0.0016,U_Horsefly,3,0.0008
SDN1353,U608,Chilko,3,0.9984,Horsefly,3,0.0008,Chilko_south,2,0.0004,Mitchell,3,0.0002,Tachie,3,0.0002
SDN1354,U609,Quesnel_Mitche,3,0.9612,Mitchell,3,0.0388,,,,,,,,,
SDN1355,U610,U_Horsefly,3,0.6756,Horsefly,3,0.175,Quesnel_Horsef,3,0.133,L_Adams,4,0.0068,M_Horsefly,3,0.0048
SDN1332,U698,Chilko,3,0.7662,Middle,3,0.071,Tachie,3,0.048,U_Horsefly,3,0.0186,Gluskie,1,0.0176
SDN1333,U699,Chilko,3,0.5894,Porter_Cr,1,0.3272,Felix,1,0.0412,Gluskie,1,0.018,Sandpoint,1,0.006
SDN1334,U700,Chilko,3,0.9998,Chilko-North,3,0.0002,,,,,,,,,
SDN1335,U743,Weaver,4,0.9922,Middle,3,0.0078,,,,,,,,,
SDN1336,U744,Quesnel_Mitche,3,0.9578,Mitchell,3,0.0422,,,,,,,,,
SDN1337,U745,U_Horsefly,3,0.5188,Horsefly,3,0.1692,Middle,3,0.1364,Quesnel_Horsef,3,0.0592,Porter_Cr,1,0.035
SDN1338,U746,Thompson_N,2,1,,,,,,,,,,,,
SDN1339,U747,Weaver,4,0.6776,Birkenhead,3,0.3034,Chilko,3,0.0146,Porter_Cr,1,0.0014,Gluskie,1,0.0006
SDN1356,U748,Chilko,3,0.9924,Chilko-North,3,0.0024,Horsefly,3,0.002,U_Horsefly,3,0.002,Middle,3,0.0008
SDN1340,U973,Chilko,3,0.9782,Birkenhead,3,0.0184,Weaver,4,0.002,Middle,3,0.0006,Chilko-North,3,0.0006
SDN1341,U974,Quesnel_Mitche,3,0.9688,Mitchell,3,0.031,Wasko_Cr,3,0.0002,,,,,,
SDN1342,U975,Middle,3,0.5268,Porter_Cr,1,0.1172,Tachie,3,0.1002,Stellako,3,0.0774,Felix,1,0.0648
SDN1343,U976,Chilko,3,0.9998,Chilko_south,2,0.0002,,,,,,,,,
SDN1359,U977,Quesnel_Mitche,3,0.9182,Mitchell,3,0.0774,Wasko_Cr,3,0.0024,Weaver,4,0.0008,Middle,3,0.0006
SDN1360,U978,Chilko,3,0.9868,Horsefly,3,0.0056,L_Adams,4,0.003,Chilko_south,2,0.0016,U_Horsefly,3,0.0012
SDN1361,U979,Middle,3,0.6552,Chilko,3,0.1462,Tachie,3,0.1016,Stellako,3,0.0862,Pinchi_Cr,3,0.0088
SDN1362,U980,Quesnel_Mitche,3,0.9738,Mitchell,3,0.0252,Wasko_Cr,3,0.001,,,,,,
SDN1326,U1111,Middle,3,0.5484,Porter_Cr,1,0.1394,Felix,1,0.1194,Tachie,3,0.1046,Sandpoint,1,0.0224
SDN1327,U1112,U_Horsefly,3,0.5654,Thompson_N,2,0.1956,Horsefly,3,0.1102,Quesnel_Horsef,3,0.1012,Chilko,3,0.0116
SDN1328,U1113,Gates_Cr,2,1,,,,,,,,,,,,
SDN1344,U1114,U_Horsefly,3,0.6502,Horsefly,3,0.2026,Quesnel_Horsef,3,0.1062,Chilko,3,0.025,M_Horsefly,3,0.0072
SDN1345,U1115,Chilko,3,0.9998,Chilko_south,2,0.0002,,,,,,,,,
SDN1346,U1116,Chilko,3,0.7004,Middle,3,0.0994,Stellako,3,0.0926,Tachie,3,0.0882,U_Horsefly,3,0.0068
SDN1347,U1181,Chilko,3,0.9768,U_Horsefly,3,0.0142,Horsefly,3,0.0036,Quesnel_Horsef,3,0.0022,Middle,3,0.0014
SDN1348,U1182,Chilko,3,0.9742,Birkenhead,3,0.0192,Chilko_south,2,0.005,L_Adams,4,0.0016,,,
SDN1305,U475,Middle,3,0.8888,Tachie,3,0.1002,Porter_Cr,1,0.0054,Pinchi_Cr,3,0.0026,Hudson_Bay,1,0.001
SDN1306,U476,U_Horsefly,3,0.623,Horsefly,3,0.171,Quesnel_Horsef,3,0.1128,L_Adams,4,0.0582,Thompson_N,2,0.01
SDN1307,U477,U_Horsefly,3,0.6746,Horsefly,3,0.1734,Quesnel_Horsef,3,0.1378,M_Horsefly,3,0.005,Chilko,3,0.0048
SDN1308,U478,Chilko,3,0.9506,Porter_Cr,1,0.0226,Middle,3,0.0084,Chilko-North,3,0.0058,Gluskie,1,0.0054
SDN1309,U479,Middle,3,0.8874,Tachie,3,0.0992,Chilko,3,0.0124,Pinchi_Cr,3,0.0006,Porter_Cr,1,0.0004
SDN1310,U480,Chilko,3,0.979,Horsefly,3,0.009,U_Horsefly,3,0.0036,Quesnel_Horsef,3,0.0028,Felix,1,0.0026
SDN1311,U601,Porter_Cr,1,0.362,Middle,3,0.2042,Felix,1,0.1596,Gluskie,1,0.0744,Chilko,3,0.0706
SDN1312,U602,Gates_Cr,2,1,,,,,,,,,,,,
SDN1313,U603,Chilko,3,0.5666,L_Adams,4,0.4326,Thompson_N,2,0.0008,,,,,,
SDN1314,U691,Quesnel_Mitche,3,0.8918,Mitchell,3,0.1078,Blue_Lead_Ck,3,0.0002,Roaring,3,0.0002,,,
SDN1315,U692,Chilko,3,0.9986,Horsefly,3,0.001,U_Horsefly,3,0.0002,Quesnel_Horsef,3,0.0002,,,
SDN1316,U693,Chilko,3,0.995,Chilko-North,3,0.0042,Middle,3,0.0006,Stellako,3,0.0002,,,
SDN1317,U694,Chilko,3,0.61,Middle,3,0.1636,Horsefly,3,0.065,U_Horsefly,3,0.0626,L_Adams,4,0.0448
SDN1318,U695,Chilko,3,0.9204,Quesnel_Mitche,3,0.0272,U_Horsefly,3,0.0262,Quesnel_Horsef,3,0.0078,Horsefly,3,0.0062
SDN1319,U696,Chilko,3,0.976,L_Adams,4,0.0114,Middle,3,0.0088,Scotch,2,0.0016,Weaver,4,0.0008
SDN1321,U697,Chilko,3,0.984,Middle,3,0.0076,Birkenhead,3,0.0046,U_Horsefly,3,0.0018,Pinchi_Cr,3,0.0006
SDN1357,U749,Quesnel_Mitche,3,0.9804,Mitchell,3,0.0196,,,,,,,,,
SDN1358,U750,Chilko,3,0.9084,Weaver,4,0.0908,L_Adams,4,0.0008,,,,,,
SDN1363,U1117,Porter_Cr,1,0.4692,Middle,3,0.1376,Felix,1,0.1336,Gluskie,1,0.1286,Rossette,1,0.0238
SDN1364,U1118,Quesnel_Mitche,3,0.9016,Mitchell,3,0.0866,Wasko_Cr,3,0.0058,Chilko,3,0.0044,Roaring,3,0.001
SDN1349,U1183,Quesnel_Mitche,3,0.9496,Mitchell,3,0.0504,,,,,,,,,
SDN1350,U1184,Quesnel_Mitche,3,0.8142,Mitchell,3,0.1022,Wasko_Cr,3,0.042,Roaring,3,0.0136,Thompson_N,2,0.0094
SDN1367,U1185,Chilko,3,0.9966,Middle,3,0.0018,Thompson_N,2,0.0006,Chilko_south,2,0.0006,L_Adams,4,0.0002
SDN1288,U1347,Middle,3,0.489,U_Horsefly,3,0.1754,Horsefly,3,0.1034,Tachie,3,0.092,Quesnel_Horsef,3,0.0392
SDN1302,U1348,Thompson_N,2,0.5058,Weaver,4,0.36,Pitt,2,0.1082,Birkenhead,3,0.014,Sproat,7,0.0046
SDN1303,U1349,Chilko,3,0.9986,Middle,3,0.0012,Chilko_south,2,0.0002,,,,,,
SDN1304,U1350,Quesnel_Mitche,3,0.9582,Mitchell,3,0.0418,,,,,,,,,
SDN1370,U1371,Weaver,4,0.9978,Birkenhead,3,0.0018,L_Adams,4,0.0002,Chilko,3,0.0002,,,
SDN1351,U1381,Gates_Cr,2,1,,,,,,,,,,,,
SDN1352,U1382,Middle,3,0.8372,Tachie,3,0.0664,Porter_Cr,1,0.0614,Gluskie,1,0.0156,Hudson_Bay,1,0.0084
SDN1064,U1105,Chilko,3,1,,,,,,,,,,,,
SDN1065,U1106,Weaver,4,0.9316,Pitt,2,0.0684,,,,,,,,,
SDN1076,U1107,Middle,3,0.7156,Porter_Cr,1,0.1554,Gluskie,1,0.039,Felix,1,0.0194,Tachie,3,0.0186
SDN1070,U1136,Weaver,4,1,,,,,,,,,,,,
SDN1071,U1137,U_Horsefly,3,0.674,Horsefly,3,0.2362,Quesnel_Horsef,3,0.0848,McKinley,3,0.0026,M_Horsefly,3,0.0024
SDN1072,U1138,Chilko,3,0.9872,Thompson_N,2,0.0098,L_Adams,4,0.0024,Chilko-North,3,0.0006,,,
SDN1082,U1139,Chilko,3,0.8812,Horsefly,3,0.0902,U_Horsefly,3,0.0132,L_Adams,4,0.0072,Quesnel_Horsef,3,0.0048
SDN1073,U1141,Gates_Cr,2,1,,,,,,,,,,,,
SDN1074,U1142,Middle,3,0.7802,Tachie,3,0.0656,Porter_Cr,1,0.0526,Chilko,3,0.0478,Weaver,4,0.0222
SDN1075,U1143,Scotch,2,0.9966,L_Adams,4,0.0034,,,,,,,,,
SDN873,U918,Birkenhead,3,1,,,,,,,,,,,,
SDN874,U919,Chilko,3,0.99,L_Adams,4,0.0092,Chilko_south,2,0.0004,Thompson_N,2,0.0004,,,
SDN888,U920,Thompson_N,2,0.99,L_Adams,4,0.0092,Chilko,3,0.0008,,,,,,
SDN875,U921,Chilko,3,0.994,Chilko-North,3,0.006,,,,,,,,,
SDN876,U922,Chilko,3,1,,,,,,,,,,,,
SDN889,U923,Chilko,3,0.8438,Horsefly,3,0.0486,U_Horsefly,3,0.0446,L_Adams,4,0.019,Quesnel_Mitche,3,0.0114
SDN903,U930,Middle,3,0.721,Porter_Cr,1,0.132,Tachie,3,0.0842,Stellako,3,0.0314,Pinchi_Cr,3,0.0082
SDN906,U943,Middle,3,0.8542,Tachie,3,0.1186,L_Adams,4,0.0084,Pinchi_Cr,3,0.007,Stellako,3,0.0044
SDN909,U953,Chilko,3,0.9856,Weaver,4,0.0114,Horsefly,3,0.001,Quesnel_Horsef,3,0.001,Chilko-North,3,0.0006
SDN910,U954,U_Horsefly,3,0.6236,Horsefly,3,0.2562,Quesnel_Horsef,3,0.0764,L_Horsefly,3,0.0152,McKinley,3,0.0078
SDN911,U955,Quesnel_Mitche,3,0.9136,Mitchell,3,0.0864,,,,,,,,,
SDN915,U966,L_Adams,4,0.8632,Chilko,3,0.0874,Scotch,2,0.035,Middle,3,0.0052,Kynock,1,0.0024
SDN916,U967,Chilko,3,1,,,,,,,,,,,,
SDN917,U968,U_Horsefly,3,0.6682,Quesnel_Horsef,3,0.1706,L_Adams,4,0.0888,Quesnel_Mitche,3,0.0266,Wasko_Cr,3,0.0194
SDN919,U981,Chilko,3,0.938,Chilko_south,2,0.0384,Pitt,2,0.0142,Chilko-North,3,0.0048,Thompson_N,2,0.002
SDN1254,U1317,Quesnel_Mitche,3,0.92,Mitchell,3,0.08,,,,,,,,,
SDN1301,U474,Chilko,3,0.4362,Middle,3,0.4106,Porter_Cr,1,0.0696,Gluskie,1,0.0288,Felix,1,0.013
SDN883,U856,L_Adams,4,0.9846,U_Horsefly,3,0.0098,Horsefly,3,0.0038,Quesnel_Horsef,3,0.0008,Portage_Cr,4,0.0008
SDN870,U880,Scotch,2,0.86,Middle,3,0.068,L_Adams,4,0.0584,Seymour,2,0.0068,Eagle,2,0.0032
SDN882,U936,Chilko,3,0.3948,Porter_Cr,1,0.3734,Felix,1,0.1126,Gluskie,1,0.0552,Gates_Cr,2,0.0138
S937DN1,U937,Birkenhead,3,0.7176,Weaver,4,0.2778,Middle,3,0.0024,Chilko,3,0.0012,Pinchi_Cr,3,0.0006
S938DN1,U938,Chilko,3,0.9974,Chilko-North,3,0.0024,Chilko_south,2,0.0002,,,,,,
SDN1041,U1065,Chilko,3,0.982,Chilko_south,2,0.0106,Chilko-North,3,0.0024,Horsefly,3,0.0016,Felix,1,0.0012
SDN1044,U1080,L_Adams,4,0.9046,Scotch,2,0.044,Chilko,3,0.0382,Middle,3,0.0078,Thompson_N,2,0.0034
SDN1037,U1089,Chilko,3,0.9994,Chilko-North,3,0.0006,,,,,,,,,
SDN1045,U1090,L_Adams,4,0.7372,Chilko,3,0.1962,Thompson_N,2,0.0438,U_Horsefly,3,0.0118,MiddleShuswap,4,0.0026
SDN1023,U1091,Weaver,4,0.8928,L_Adams,4,0.058,Thompson_N,2,0.0176,Scotch,2,0.017,Portage_Cr,4,0.0046
SDN1038,U1096,Quesnel_Mitche,3,0.971,Mitchell,3,0.029,,,,,,,,,
SDN1039,U1097,Quesnel_Mitche,3,0.9176,Mitchell,3,0.082,Wasko_Cr,3,0.0002,Roaring,3,0.0002,,,
SDN1040,U1098,L_Adams,4,0.9294,Scotch,2,0.0478,Weaver,4,0.0166,Thompson_N,2,0.0022,Portage_Cr,4,0.0016
SDN1046,U1099,Chilko,3,0.9938,Quesnel_Mitche,3,0.0034,Chilko-North,3,0.0006,Gluskie,1,0.0006,Middle,3,0.0006
SDN1047,U1100,Chilko,3,0.99,Porter_Cr,1,0.0096,U_Horsefly,3,0.0002,Chilko_south,2,0.0002,,,
SDN1048,U1101,Chilko,3,0.994,Porter_Cr,1,0.0028,Felix,1,0.001,FiveMile,1,0.0008,Narrows,1,0.0006
