ufn,cm_lab,cpaf_lab,caf_lab,cgf_lab,ucal_lab,lpaf_lab,lpam_lab,lam_lab,laf_lab,lgf_lab,ulep_lab,lab_count_motiles,comments,quality_level,quality_log
U4660,0,0,0,0,0,0,1,0,0,0,0,1,NA,Raw,NA
U4661,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4439,0,3,0,0,0,0,0,1,0,0,0,4,NA,Raw,NA
U4463,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4440,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4491,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4532,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2471,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2374,2,0,1,0,0,0,0,0,0,0,0,3,NA,Raw,NA
U2400,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2782,0,2,1,0,0,0,0,0,0,0,0,3,NA,Raw,NA
U2902,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2399,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2780,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2398,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2756,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2754,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2485,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2488,1,0,1,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U2492,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2491,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2490,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2487,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2486,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2489,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2493,0,0,0,0,0,0,1,0,0,0,0,1,NA,Raw,NA
U2388,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4401,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4378,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4413,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2450,1,0,1,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U2444,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4258,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4624,1,1,1,0,0,0,0,0,0,0,0,3,NA,Raw,NA
U4257,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4533,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4536,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4535,1,1,0,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U4408,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4415,2,0,1,0,0,0,0,0,0,0,0,3,NA,Raw,NA
U4435,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4688,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4391,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4591,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4525,1,0,0,0,0,1,0,0,0,0,0,2,NA,Raw,NA
U4589,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4588,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4590,0,0,0,0,0,0,1,0,0,0,0,1,NA,Raw,NA
U4447,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4538,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4474,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2734,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2396,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2779,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4198,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4197,1,1,0,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U4314,0,1,2,2,0,0,0,0,0,0,0,5,NA,Raw,NA
U4393,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4223,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4417,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4344,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2381,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4304,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4292,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4302,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4293,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4303,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4305,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4580,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4183,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2604,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2601,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4244,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4462,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U10105,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10109,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10175,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10244,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10245,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10247,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10401,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10504,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U10506,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U12408,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12410,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U12417,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12420,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U12423,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12552,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12556,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10562,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10564,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10565,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10569,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10583,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10644,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10647,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U10654,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U10655,0,0,2,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U10658,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10664,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12561,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12644,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12668,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11045,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11057,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11070,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U12748,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11124,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11126,0,0,1,1,0,0,0,0,0,0,0,2,NA,Raw,NA
U11127,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11130,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12801,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12802,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12806,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U12808,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U12809,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12810,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U12812,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10798,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U10881,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U10882,0,0,0,0,1,0,0,0,0,0,0,1,NA,Raw,NA
U10883,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16818,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16820,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16812,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U16814,1,0,0,1,0,0,0,0,0,0,0,2,NA,Raw,NA
U17138,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U17131,1,1,0,1,0,0,0,0,0,0,0,3,NA,Raw,NA
U17133,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U17610,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U17229,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16880,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16748,0,0,0,2,0,0,0,0,0,0,0,2,NA,Raw,NA
U16742,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U16620,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16618,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U16619,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17289,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U17286,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17687,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17683,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16210,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17502,1,0,0,1,0,0,0,0,0,0,0,2,NA,Raw,NA
U17501,1,0,2,0,0,0,0,0,0,0,0,3,NA,Raw,NA
U17503,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17260,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16678,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16415,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16411,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16419,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17157,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17159,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17155,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U17156,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17158,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U16575,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16487,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16488,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16489,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16482,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16485,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U16481,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17188,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17186,1,0,0,0,0,0,0,0,0,1,0,2,NA,Raw,NA
U17185,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U17181,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
