ufn,species,lep_count,cal_count,total_count
U21579,CU,0,0,0
U21578,CU,0,0,0
U21577,CU,0,1,1
U21574,CU,0,1,1
U23369,CU,0,0,0
U23361,CU,0,0,0
U23362,CU,0,0,0
U23363,CU,0,0,0
U23364,CU,0,0,0
U23368,CU,0,0,0
U23367,CU,1,0,1
U23366,CU,0,0,0
U23365,CU,0,0,0
U23020,CU,0,0,0
U23018,CU,0,1,1
U23019,CU,0,1,1
U23017,CU,0,0,0
U23016,CU,0,0,0
U23011,CU,0,1,1
U23012,CU,0,2,2
U23013,CU,1,1,2
U23014,CU,0,1,1
U23015,CU,0,0,0
U23130,CU,0,1,1
U23128,CU,1,0,1
U23121,CU,0,2,2
U23122,CU,1,1,2
U23129,CU,0,2,2
U23123,CU,0,1,1
U23127,CU,0,0,0
U23126,CU,0,2,2
U23125,CU,0,0,0
U23124,CU,1,1,2
U21463,CU,0,0,0
U21462,CU,0,0,0
U21461,CU,0,0,0
U21465,CU,0,0,0
U21466,CU,0,0,0
U21464,CU,0,0,0
U21571,CU,0,0,0
U21580,CU,0,0,0
U21575,CU,0,0,0
U21573,CU,0,0,0
U21572,CU,0,0,0
U21793,CU,0,0,0
U21792,CU,0,0,0
U23470,CU,1,0,1
U23469,CU,0,0,0
U23461,CU,0,0,0
U23466,CU,1,0,1
U23464,CU,1,1,2
U23468,CU,0,3,3
U23467,CU,1,0,1
U23465,CU,0,1,1
U23463,CU,0,0,0
U23462,CU,0,0,0
U21791,CU,0,0,0
U23313,CU,0,0,0
U23311,CU,0,4,4
U23312,CU,2,0,2
U23101,HE,0,0,0
U23282,HE,0,0,0
U23281,HE,0,0,0
U23284,HE,0,1,1
U23283,HE,0,0,0
U23292,CU,1,0,1
U23293,CU,0,0,0
U23291,CU,1,0,1
U23041,CU,0,1,1
U23043,CU,1,0,1
U23042,CU,0,2,2
U23152,CU,0,3,3
U23151,CU,0,2,2
U23391,CO,3,0,3
U23392,CO,5,1,6
U23393,CO,0,3,3
U23394,CO,0,0,0
U21701,CK,0,0,0
U23381,CK,0,0,0
U21541,CK,0,0,0
U21545,CK,0,0,0
U21542,CK,0,1,1
U23261,CO,0,0,0
U23262,CO,0,0,0
U23263,CO,0,0,0
U23264,CO,1,1,2
U23241,CO,23,3,26
U23242,CO,0,8,8
U23201,CO,0,0,0
U23202,CO,0,0,0
U23081,CO,1,0,1
U21543,CK,0,0,0
U21544,CK,0,0,0
