"Cast PK","Hakai ID","Filename","CTD model","CTD serial number","CTD firmware version","Cruise","Station","Drop number","Start time","Bottom time","Drop time (s)","Drop depth (m)","Target depth (m)","Latitude","Longitude","Operators","Comments","Cast Type","Sensors Submerged","Water Depth (m)","Soak Start","Soak End","Weather"
"12139","065679_2018-05-24T16:41:41.667Z","065679_20180524_1511","RBRconcerto","065679","12.040","DISOCKEYE","D08","2","2018-05-24 09:41:41.667","2018-05-24 09:43:26.500","105","92.1499248456217","100","undefined","undefined","brett.johnson,Jessica Garzke,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"11842","010856_2016-06-21T14:24:28.000Z","010856_20160621_1744","XR-620","010856","6.81","DISOCKEYE","D09","1","2016-06-21 07:24:28.000","2016-06-21 07:25:47.833","80","61.310412454487455","60","undefined","undefined","Brett Johnson,Brianna Knowles,Sam James","undefined","null","null","null","Invalid date","Invalid date","null"
"11843","010856_2016-06-21T18:26:28.166Z","010856_20160621_1744","XR-620","010856","6.81","DISOCKEYE","D09","4","2016-06-21 11:26:28.166","2016-06-21 11:26:40.166","12","11.248637464715278","10","undefined","undefined","Brett Johnson,Brianna Knowles,Sam James","undefined","null","null","null","Invalid date","Invalid date","null"
"11862","010856_2016-07-06T19:01:03.667Z","010856_20160706_1633","XR-620","010856","6.81","DISOCKEYE","D09","2","2016-07-06 12:01:03.667","2016-07-06 12:01:35.167","32","28.156877683798534","28","undefined","undefined","Brett Johnson,Luke Rogers,Sam James","undefined","null","null","null","Invalid date","Invalid date","null"
"8985","010856_2017-05-16T16:22:30.833Z","010856_20170516_1256","XR-620","010856","6.81","DISOCKEYE","D09","3","2017-05-16 09:22:30.833","2017-05-16 09:23:28.166","57","52.17116109897958","50","undefined","undefined","carly.janusson,luke.rogers,Sam James","undefined","null","null","null","Invalid date","Invalid date","null"
"9062","010856_2017-05-19T16:47:54.667Z","010856_20170519_1338","XR-620","010856","6.81","DISOCKEYE","D09","1","2017-05-19 09:47:54.833","2017-05-19 09:48:26.000","31","32.23358929053699","30","undefined","undefined","brett.johnson,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9082","010856_2017-05-25T15:13:05.500Z","010856_20170525_1347","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-05-25 08:13:05.500","2017-05-25 08:13:37.000","32","32.43862269353575","30","undefined","undefined","brett.johnson,carly.janusson,luke.rogers,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"9160","010856_2017-05-29T20:19:35.833Z","010856_20170529_1456","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-05-29 13:19:36.000","2017-05-29 13:19:56.167","20","21.828791920858936","20","undefined","undefined","carly.janusson,julian.gan,luke.rogers,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"9213","010856_2017-06-07T17:24:58.166Z","010856_20170607_1358","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-06-07 10:24:58.166","2017-06-07 10:25:38.833","41","42.74785506147043","45","undefined","undefined","brenna.collicutt,julian.gan,luke.rogers,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"9305","010856_2017-06-12T19:05:07.333Z","010856_20170612_1553","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-06-12 12:05:07.333","2017-06-12 12:05:57.833","50","60.78021841866818","65","undefined","undefined","brett.johnson,luke.rogers,sam.james,Wade Smith","undefined","null","null","null","Invalid date","Invalid date","null"
"9390","010856_2017-06-20T16:08:56.833Z","010856_20170620_1451","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-06-20 09:08:56.833","2017-06-20 09:09:22.500","26","28.54942868402036","30","undefined","undefined","brenna.collicutt,brett.johnson,carly.janusson,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9408","010856_2017-06-26T14:48:42.333Z","010856_20170626_1441","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-06-26 07:48:42.333","2017-06-26 07:49:27.833","46","51.622531766134095","55","undefined","undefined","carly.janusson,julian.gan,luke.rogers,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"9503","010856_2017-07-05T17:21:18.000Z","010856_20170705_1404","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-07-05 10:21:18.000","2017-07-05 10:22:11.667","54","56.20349765794787","60","undefined","undefined","carly.janusson,luke.rogers,Melissa Orobko","undefined","null","null","null","Invalid date","Invalid date","null"
"9587","010856_2017-07-10T17:50:29.166Z","010856_20170710_1322","XR-620","010856","6.81","DISOCKEYE","D09","2","2017-07-10 10:50:29.333","2017-07-10 10:51:14.667","45","50.72292722945821","55","undefined","undefined","brett.johnson,carly.janusson,julian.gan,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"12014","065679_2018-05-09T15:20:10.167Z","065679_20180509_1413","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-05-09 08:20:10.167","2018-05-09 08:21:00.167","50","50.38072709940758","55","undefined","undefined","brett.johnson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12141","065679_2018-05-14T18:17:08.000Z","065679_20180514_1315","RBRconcerto","065679","12.040","DISOCKEYE","D09","1","2018-05-14 11:19:24.834","2018-05-14 11:20:34.667","70","47.58034279215288","50","undefined","undefined","brett.johnson,carly.janusson,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12078","065679_2018-05-15T19:17:30.333Z","065679_20180515_1455","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-05-15 12:20:55.667","2018-05-15 12:21:20.333","25","33.693413706029595","35","undefined","undefined","brett.johnson,katie.davidson,Sam James,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12079","065679_2018-05-22T17:10:10.833Z","065679_20180522_1509","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-05-22 10:10:14.667","2018-05-22 10:10:56.500","42","52.26302460315616","55","undefined","undefined","carly.janusson,Steve Johnston","undefined","null","null","null","Invalid date","Invalid date","null"
"12179","065679_2018-05-28T18:46:19.500Z","065679_20180528_1444","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-05-28 11:49:17.667","2018-05-28 11:50:01.167","44","62.08139670577259","65","undefined","undefined","julian.gan,katie.davidson,sara.tremblayb,Steve j","undefined","null","null","null","Invalid date","Invalid date","null"
"12276","065679_2018-06-04T18:06:38.834Z","065679_20180604_1558","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-06-04 11:09:04.167","2018-06-04 11:09:37.334","33","28.59234698744677","30","undefined","undefined","Brian Hendriks,julian.gan,katie.davidson,Noah Kussin","undefined","null","null","null","Invalid date","Invalid date","null"
"12347","065679_2018-06-11T20:20:25.000Z","065679_20180611_1506","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-06-11 13:20:25.666","2018-06-11 13:21:02.166","37","32.867871268013275","35","undefined","undefined","chris.osullivan,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12505","065679_2018-06-18T18:41:20.334Z","065679_20180618_1450","RBRconcerto","065679","12.040","DISOCKEYE","D09","2","2018-06-18 11:41:20.334","2018-06-18 11:42:12.334","52","51.31228679401706","55","undefined","undefined","julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12501","065679_2018-06-25T18:20:18.000Z","065679_20180625_1538","RBRconcerto","065679","12.040","DISOCKEYE","D09","3","2018-06-25 11:23:16.333","2018-06-25 11:23:52.000","36","47.902594129371444","50","undefined","undefined","eva.jordison,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12536","065679_2018-07-03T15:24:05.667Z","065679_20180703_1128","RBRconcerto","065679","12.040","DISOCKEYE","D09","3","2018-07-03 08:24:05.667","2018-07-03 08:24:55.000","49","57.74728626852841","60","undefined","undefined","carly.janusson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12631","065679_2018-07-17T16:53:14.333Z","065679_20180717_1243","RBRconcerto","065679","12.040","DISOCKEYE","D09","3","2018-07-17 09:56:11.166","2018-07-17 09:56:36.166","25","33.73696271683589","35","undefined","undefined","carly.janusson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12771","065679_2018-08-01T17:18:05.667Z","065679_20180801_1410","RBRconcerto","065679","12.040","DISOCKEYE","D09","3","2018-08-01 10:22:03.834","2018-08-01 10:23:12.000","68","60.88758403289191","65","undefined","undefined","brett.johnson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"14788","065679_2018-08-08T17:31:15.000Z","065679_20180808_1425","RBRconcerto","065679","12.040","DI_C,DISOCKEYE","D09","2","2018-08-08 10:31:15.000","2018-08-08 10:32:43.667","89","51.37629344668899","55","undefined","undefined","brett.johnson","undefined","Dynamic","Full","null","Invalid date","Invalid date","{""tide"":null,""sky_cover"":""clear"",""wind_speed"":""3"",""swell_height"":""0"",""weather_notes"":null}"
