ufn,sample_type,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U11407,sealice_microbiome,S11407LC1,,TChang_UBC,raw,
U11404,sealice_microbiome,S11404LC1,,TChang_UBC,raw,
U11406,sealice_microbiome,S11406LC1,,TChang_UBC,raw,
U11401,sealice_microbiome,S11401LL1,,TChang_UBC,raw,
U11403,sealice_microbiome,S11403LC1,,TChang_UBC,raw,
U10282,sealice_microbiome,S10282LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10289,sealice_microbiome,S10289LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10927,sealice_microbiome,S10927LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10929,sealice_microbiome,S10929LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10928,sealice_microbiome,S10922LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10922,sealice_microbiome,S10924LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U13088,sealice_microbiome,S13088LC1,,TChang_UBC,raw,
U13090,sealice_microbiome,S13090LC1,,TChang_UBC,raw,
U13087,sealice_microbiome,S13087LC1,,TChang_UBC,raw,
U13081,sealice_microbiome,S13081LC1,,TChang_UBC,raw,
U13083,sealice_microbiome,S13083LC1,,TChang_UBC,raw,
U13085,sealice_microbiome,S13085LC1,,TChang_UBC,raw,
U13249,sealice_microbiome,S13249LC1,,TChang_UBC,raw,
U13247,sealice_microbiome,S13247LC1,,TChang_UBC,raw,
U13243,sealice_microbiome,S13243LC1,,TChang_UBC,raw,
U13246,sealice_microbiome,S13246LC1,,TChang_UBC,raw,
U10361,sealice_microbiome,S10361LC1,,TChang_UBC,raw,
U10363,sealice_microbiome,S10363LC1,,TChang_UBC,raw,
U10443,sealice_microbiome,S10443LL1,lep urosome broken unk gender/reproductive status,TChang_UBC,raw,
U11248,sealice_microbiome,S11248LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11244,sealice_microbiome,S11244LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11243,sealice_microbiome,S11243LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U12847,sealice_microbiome,S12847LC1,"urosome broken, difficult to ID life stage but gender is certain",TChang_UBC,raw,
U11003,sealice_microbiome,S11003LL1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11330,sealice_microbiome,S11330LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11328,sealice_microbiome,S11328LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11324,sealice_microbiome,S11324LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11325,sealice_microbiome,S11325LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U11329,sealice_microbiome,S11329LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U12772,sealice_microbiome,S12772LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U12932,sealice_microbiome,S12932LC1,broken urosome,TChang_UBC,raw,
U12931,sealice_microbiome,S12931LC1,,TChang_UBC,raw,
U13251,sealice_microbiome,S13251LC1,,TChang_UBC,raw,
U13252,sealice_microbiome,S13252LC1,,TChang_UBC,raw,
U10211,sealice_microbiome,S10211LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10211,sealice_microbiome,S10211LL1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10911,sealice_microbiome,S10911LC1,left overnight with dry ice in -20 freezer,TChang_UBC,raw,
U10916,sealice_microbiome,S10916LC1,,TChang_UBC,raw,
U10913,sealice_microbiome,S10913LC1,,TChang_UBC,raw,
U10913,sealice_microbiome,S10913LL1,,TChang_UBC,raw,
U10912,sealice_microbiome,S10912LC1,,TChang_UBC,raw,
U10917,sealice_microbiome,S10917LC1,,TChang_UBC,raw,
U10917,sealice_microbiome,S10917LL1,,TChang_UBC,raw,
U12911,sealice_microbiome,S12911LC1,,TChang_UBC,raw,
U12912,sealice_microbiome,S12912LC1,,TChang_UBC,raw,
U12913,sealice_microbiome,S12913LC1,,TChang_UBC,raw,
U13238,sealice_microbiome,S13238LC1,,TChang_UBC,raw,
U13234,sealice_microbiome,S13234LC1,,TChang_UBC,raw,
U13231,sealice_microbiome,S13231LC1,,TChang_UBC,raw,
U13237,sealice_microbiome,S13237LC1,,TChang_UBC,raw,
U13232,sealice_microbiome,S13232LC1,,TChang_UBC,raw,
U13074,sealice_microbiome,S13074LC1,,TChang_UBC,raw,
U13073,sealice_microbiome,S13073LC1,,TChang_UBC,raw,
U13071,sealice_microbiome,S13071LC1,,TChang_UBC,raw,
U13076,sealice_microbiome,S13076LC1,,TChang_UBC,raw,
U13240,sealice_microbiome,S13240LC1,left in -20 overnight with lots of dry ice,TChang_UBC,raw,
U13236,sealice_microbiome,S13236LC1,left in -20 overnight with lots of dry ice,TChang_UBC,raw,
U13233,sealice_microbiome,S13233LC1,left in -20 overnight with lots of dry ice,TChang_UBC,raw,
U12709,sealice_microbiome,S12709LC1,,TChang_UBC,raw,
U12701,sealice_microbiome,S12701LC1,,TChang_UBC,raw,
U12710,sealice_microbiome,S12710LC1,,TChang_UBC,raw,
U12704,sealice_microbiome,S12704LC1,,TChang_UBC,raw,
U12706,sealice_microbiome,S12706LC1,,TChang_UBC,raw,
U12707,sealice_microbiome,S12707LC1,,TChang_UBC,raw,
U12787,sealice_microbiome,S12787LC1,left in -20 overnight with lots of dry ice,TChang_UBC,raw,
U12788,sealice_microbiome,S12788LC1,left in -20 overnight with lots of dry ice,TChang_UBC,raw,
U12782,sealice_microbiome,S12782LC1,,TChang_UBC,raw,
U12786,sealice_microbiome,S12786LC1,,TChang_UBC,raw,
U12862,sealice_microbiome,S12862LC1,,TChang_UBC,raw,
U12861,sealice_microbiome,S12861LC1,,TChang_UBC,raw,
U13023,sealice_microbiome,S13023LC1,,TChang_UBC,raw,
U12941,sealice_microbiome,S12941LC1,,TChang_UBC,raw,
U14004,sealice_microbiome,S14004LC1,,TChang_UBC,raw,
U14041,sealice_microbiome,S14041LC1,,TChang_UBC,raw,
U14001,sealice_microbiome,S14001LC1,,TChang_UBC,raw,
U13110,sealice_microbiome,S13110LC1,,TChang_UBC,raw,
U13105,sealice_microbiome,S13105LC1,,TChang_UBC,raw,
U13104,sealice_microbiome,S13104LC1,,TChang_UBC,raw,
U13106,sealice_microbiome,S13106LC1,,TChang_UBC,raw,
U13107,sealice_microbiome,S13107LC1,,TChang_UBC,raw,
U13109,sealice_microbiome,S13109LC1,,TChang_UBC,raw,
U13103,sealice_microbiome,S13103LC1,,TChang_UBC,raw,
U10543,sealice_microbiome,S10543LC1,,TChang_UBC,raw,
U10942,sealice_microbiome,S10942LC1,,TChang_UBC,raw,
U11022,sealice_microbiome,S11022LC1,,TChang_UBC,raw,
U11021,sealice_microbiome,S11021LC1,,TChang_UBC,raw,
U11023,sealice_microbiome,S11023LC1,,TChang_UBC,raw,
U16562,sealice_microbiome,S16562LC1,,TChang_UBC,raw,
U5474,sealice_microbiome,S5474SL1,,TChang_UBC,raw,
U5475,sealice_microbiome,S5475SL1,,TChang_UBC,raw,
U5477,sealice_microbiome,S5477SL1,,TChang_UBC,raw,
U5478,sealice_microbiome,S5478SL1,,TChang_UBC,raw,
U17092,sealice_microbiome,S17092LL1,,TChang_UBC,raw,
