sample_id,sample_type,ufn,sample_comments,analyzing_lab,quality_level,quality_log
SXM5150,extra_muscle,U2197,NA,NA,raw,NA
SXM5151,extra_muscle,U2198,NA,NA,raw,NA
SXM5152,extra_muscle,U2199,NA,NA,raw,NA
SXM5153,extra_muscle,U2200,NA,NA,raw,NA
SXM4786,extra_muscle,U4386,Stored in -20 overnight,NA,raw,NA
SXM4787,extra_muscle,U4387,Stored at -20 overnight,NA,raw,NA
SXM4788,extra_muscle,U4388,NA,NA,raw,NA
SXM4789,extra_muscle,U4389,Stored at -20 overnight,NA,raw,NA
SXM4791,extra_muscle,U4391,NA,NA,raw,NA
SXM4792,extra_muscle,U4392,NA,NA,raw,NA
SXM4884,extra_muscle,U4484,Stored at -20 overnight,NA,raw,NA
SXM4885,extra_muscle,U4485,Extra muscle stored at -20 overnight,NA,raw,NA
SXM4886,extra_muscle,U4486,Extra muscle stored at -20 overnight,NA,raw,NA
SXM4887,extra_muscle,U4487,Extra muscle stored at -20 overnight,NA,raw,NA
SXM4888,extra_muscle,U4488,Extra muscle stored at -20 overnight,NA,raw,NA
SXM4924,extra_muscle,U4524,NA,NA,raw,NA
SXM4925,extra_muscle,U4525,NA,NA,raw,NA
SXM4926,extra_muscle,U4526,NA,NA,raw,NA
SXM4927,extra_muscle,U4527,NA,NA,raw,NA
SXM4928,extra_muscle,U4528,NA,NA,raw,NA
SXM4929,extra_muscle,U4529,NA,NA,raw,NA
SXM4930,extra_muscle,U4530,NA,NA,raw,NA
SXM4931,extra_muscle,U4531,NA,NA,raw,NA
SXM4932,extra_muscle,U4532,NA,NA,raw,NA
SXM4933,extra_muscle,U4533,NA,NA,raw,NA
SXM4934,extra_muscle,U4534,NA,NA,raw,NA
SXM4935,extra_muscle,U4535,NA,NA,raw,NA
SXM4936,extra_muscle,U4536,NA,NA,raw,NA
SXM4954,extra_muscle,U4554,NA,NA,raw,NA
SXM4955,extra_muscle,U4555,NA,NA,raw,NA
SXM4956,extra_muscle,U4556,NA,NA,raw,NA
SXM4957,extra_muscle,U4557,NA,NA,raw,NA
SXM4958,extra_muscle,U4558,NA,NA,raw,NA
SXM4959,extra_muscle,U4559,NA,NA,raw,NA
SXM4960,extra_muscle,U4560,NA,NA,raw,NA
SXM4961,extra_muscle,U4561,NA,NA,raw,NA
SXM4962,extra_muscle,U4562,NA,NA,raw,NA
SXM4963,extra_muscle,U4563,NA,NA,raw,NA
SXM4964,extra_muscle,U4564,NA,NA,raw,NA
SXM4965,extra_muscle,U4565,NA,NA,raw,NA
SXM4966,extra_muscle,U4566,NA,NA,raw,NA
SXM4967,extra_muscle,U4567,NA,NA,raw,NA
SXM4968,extra_muscle,U4568,NA,NA,raw,NA
SXM4969,extra_muscle,U4569,NA,NA,raw,NA
SXM4970,extra_muscle,U4570,NA,NA,raw,NA
SXM4971,extra_muscle,U4571,NA,NA,raw,NA
SXM4972,extra_muscle,U4572,NA,NA,raw,NA
SXM4973,extra_muscle,U4573,NA,NA,raw,NA
SXM4974,extra_muscle,U4574,NA,NA,raw,NA
SXM4975,extra_muscle,U4575,NA,NA,raw,NA
SXM4976,extra_muscle,U4576,NA,NA,raw,NA
SXM4977,extra_muscle,U4577,NA,NA,raw,NA
SXM4978,extra_muscle,U4578,NA,NA,raw,NA
SXM4979,extra_muscle,U4579,NA,NA,raw,NA
SXM4980,extra_muscle,U4580,NA,NA,raw,NA
SXM4981,extra_muscle,U4581,NA,NA,raw,NA
SXM4982,extra_muscle,U4582,NA,NA,raw,NA
SXM4983,extra_muscle,U4583,NA,NA,raw,NA
SXM4984,extra_muscle,U4584,NA,NA,raw,NA
SXM4988,extra_muscle,U4588,NA,NA,raw,NA
SXM4989,extra_muscle,U4589,NA,NA,raw,NA
SXM4990,extra_muscle,U4590,NA,NA,raw,NA
SXM4991,extra_muscle,U4591,NA,NA,raw,NA
SXM5009,extra_muscle,U4609,Extra muscle stored at -20 overnight,NA,raw,NA
SXM5010,extra_muscle,U4610,Extra muscle stored at -20 overnight,NA,raw,NA
SXM5011,extra_muscle,U4611,Extra muscle stored at -20 overnight,NA,raw,NA
SXM5012,extra_muscle,U4612,Extra muscle stored at -20 overnight,NA,raw,NA
SXM5013,extra_muscle,U4613,Extra muscle stored at -20 overnight,NA,raw,NA
SXM5014,extra_muscle,U4614,NA,NA,raw,NA
SXM5015,extra_muscle,U4615,NA,NA,raw,NA
SXM5016,extra_muscle,U4616,NA,NA,raw,NA
SXM5017,extra_muscle,U4617,NA,NA,raw,NA
SXM5018,extra_muscle,U4618,NA,NA,raw,NA
SXM5019,extra_muscle,U4619,NA,NA,raw,NA
SXM5020,extra_muscle,U4620,NA,NA,raw,NA
SXM5021,extra_muscle,U4621,NA,NA,raw,NA
SXM5022,extra_muscle,U4622,NA,NA,raw,NA
SXM5023,extra_muscle,U4623,NA,NA,raw,NA
SXM5024,extra_muscle,U4624,NA,NA,raw,NA
SXM5025,extra_muscle,U4625,NA,NA,raw,NA
SXM5026,extra_muscle,U4626,NA,NA,raw,NA
SXM5027,extra_muscle,U4627,NA,NA,raw,NA
SXM5028,extra_muscle,U4628,NA,NA,raw,NA
SXM5029,extra_muscle,U4629,NA,NA,raw,NA
SXM5030,extra_muscle,U4630,NA,NA,raw,NA
SXM5031,extra_muscle,U4631,NA,NA,raw,NA
SXM5032,extra_muscle,U4632,NA,NA,raw,NA
SXM5033,extra_muscle,U4633,NA,NA,raw,NA
SXM5034,extra_muscle,U4634,NA,NA,raw,NA
SXM5035,extra_muscle,U4635,NA,NA,raw,NA
SXM5036,extra_muscle,U4636,NA,NA,raw,NA
SXM5037,extra_muscle,U4637,NA,NA,raw,NA
SXM5038,extra_muscle,U4638,NA,NA,raw,NA
SXM5039,extra_muscle,U4639,NA,NA,raw,NA
SXM5040,extra_muscle,U4640,NA,NA,raw,NA
SXM5049,extra_muscle,U4649,NA,NA,raw,NA
SXM5050,extra_muscle,U4650,NA,NA,raw,NA
SXM5051,extra_muscle,U4651,NA,NA,raw,NA
SXM5057,extra_muscle,U4657,NA,NA,raw,NA
SXM5058,extra_muscle,U4658,NA,NA,raw,NA
SXM5059,extra_muscle,U4659,NA,NA,raw,NA
SXM5060,extra_muscle,U4660,NA,NA,raw,NA
SXM5061,extra_muscle,U4661,NA,NA,raw,NA
SXM5062,extra_muscle,U4662,NA,NA,raw,NA
SXM5063,extra_muscle,U4663,NA,NA,raw,NA
SXM5064,extra_muscle,U4664,NA,NA,raw,NA
SXM5065,extra_muscle,U4665,NA,NA,raw,NA
SXM5066,extra_muscle,U4666,NA,NA,raw,NA
SXM5067,extra_muscle,U4667,NA,NA,raw,NA
SXM5068,extra_muscle,U4668,NA,NA,raw,NA
SXM5069,extra_muscle,U4669,NA,NA,raw,NA
SXM5070,extra_muscle,U4670,NA,NA,raw,NA
SXM5071,extra_muscle,U4671,NA,NA,raw,NA
SXM5072,extra_muscle,U4672,NA,NA,raw,NA
SXM5081,extra_muscle,U4681,NA,NA,raw,NA
SXM5082,extra_muscle,U4682,NA,NA,raw,NA
SXM5083,extra_muscle,U4683,NA,NA,raw,NA
SXM5084,extra_muscle,U4684,NA,NA,raw,NA
SXM5085,extra_muscle,U4685,NA,NA,raw,NA
SXM5086,extra_muscle,U4686,NA,NA,raw,NA
SXM5087,extra_muscle,U4687,NA,NA,raw,NA
SXM5088,extra_muscle,U4688,NA,NA,raw,NA
SXM5089,extra_muscle,U4689,NA,NA,raw,NA
SXM5090,extra_muscle,U4690,NA,NA,raw,NA
SXM5091,extra_muscle,U4691,NA,NA,raw,NA
SXM4131,extra_muscle,U3731,NA,NA,raw,NA
SXM4132,extra_muscle,U3732,NA,NA,raw,NA
SXM4133,extra_muscle,U3733,NA,NA,raw,NA
SXM4134,extra_muscle,U3734,NA,NA,raw,NA
SXM4135,extra_muscle,U3735,NA,NA,raw,NA
SXM4136,extra_muscle,U3736,NA,NA,raw,NA
SXM4137,extra_muscle,U3737,NA,NA,raw,NA
SXM4138,extra_muscle,U3738,NA,NA,raw,NA
SXM4139,extra_muscle,U3739,NA,NA,raw,NA
SXM4140,extra_muscle,U3740,NA,NA,raw,NA
SXM4141,extra_muscle,U3741,NA,NA,raw,NA
SXM4142,extra_muscle,U3742,NA,NA,raw,NA
SXM4143,extra_muscle,U3743,Fish slid on to bench,NA,raw,NA
SXM4144,extra_muscle,U3744,Fish fell on bench,NA,raw,NA
SXM4145,extra_muscle,U3745,NA,NA,raw,NA
SXM4146,extra_muscle,U3746,NA,NA,raw,NA
SXM4147,extra_muscle,U3747,NA,NA,raw,NA
SXM4148,extra_muscle,U3748,NA,NA,raw,NA
SXM4149,extra_muscle,U3749,NA,NA,raw,NA
SXM4150,extra_muscle,U3750,NA,NA,raw,NA
SXM4249,extra_muscle,U3849,NA,NA,raw,NA
SXM4250,extra_muscle,U3850,NA,NA,raw,NA
SXM4251,extra_muscle,U3851,NA,NA,raw,NA
SXM4292,extra_muscle,U3892,NA,NA,raw,NA
SXM4293,extra_muscle,U3893,NA,NA,raw,NA
SXM4294,extra_muscle,U3894,NA,NA,raw,NA
SXM4295,extra_muscle,U3895,NA,NA,raw,NA
SXM4296,extra_muscle,U3896,NA,NA,raw,NA
SXM4297,extra_muscle,U3897,NA,NA,raw,NA
SXM4298,extra_muscle,U3898,NA,NA,raw,NA
SXM4299,extra_muscle,U3899,NA,NA,raw,NA
SXM4300,extra_muscle,U3900,NA,NA,raw,NA
SXM4301,extra_muscle,U3901,NA,NA,raw,NA
SXM4302,extra_muscle,U3902,NA,NA,raw,NA
SXM4303,extra_muscle,U3903,NA,NA,raw,NA
SXM4304,extra_muscle,U3904,NA,NA,raw,NA
SXM4305,extra_muscle,U3905,NA,NA,raw,NA
SXM4306,extra_muscle,U3906,NA,NA,raw,NA
SXM4307,extra_muscle,U3907,NA,NA,raw,NA
SXM4308,extra_muscle,U3908,NA,NA,raw,NA
SXM4309,extra_muscle,U3909,NA,NA,raw,NA
SXM4310,extra_muscle,U3910,NA,NA,raw,NA
SXM4311,extra_muscle,U3911,NA,NA,raw,NA
SXM4312,extra_muscle,U3912,NA,NA,raw,NA
SXM4313,extra_muscle,U3913,NA,NA,raw,NA
SXM4363,extra_muscle,U3963,NA,NA,raw,NA
SXM4367,extra_muscle,U3967,NA,NA,raw,NA
SXM4368,extra_muscle,U3968,NA,NA,raw,NA
SXM4369,extra_muscle,U3969,NA,NA,raw,NA
SXM4394,extra_muscle,U3994,NA,NA,raw,NA
SXM4427,extra_muscle,U4027,NA,NA,raw,NA
SXM4428,extra_muscle,U4028,NA,NA,raw,NA
SXM4429,extra_muscle,U4029,NA,NA,raw,NA
SXM4430,extra_muscle,U4030,NA,NA,raw,NA
SXM4431,extra_muscle,U4031,NA,NA,raw,NA
SXM4432,extra_muscle,U4032,NA,NA,raw,NA
SXM4433,extra_muscle,U4033,NA,NA,raw,NA
SXM4434,extra_muscle,U4034,NA,NA,raw,NA
SXM4435,extra_muscle,U4035,NA,NA,raw,NA
SXM4436,extra_muscle,U4036,NA,NA,raw,NA
SXM4437,extra_muscle,U4037,NA,NA,raw,NA
SXM4438,extra_muscle,U4038,NA,NA,raw,NA
SXM4439,extra_muscle,U4039,NA,NA,raw,NA
SXM4440,extra_muscle,U4040,NA,NA,raw,NA
SXM4441,extra_muscle,U4041,NA,NA,raw,NA
SXM4442,extra_muscle,U4042,NA,NA,raw,NA
SXM4443,extra_muscle,U4043,NA,NA,raw,NA
SXM4444,extra_muscle,U4044,NA,NA,raw,NA
SXM4515,extra_muscle,U4115,NA,NA,raw,NA
SXM4524,extra_muscle,U4124,NA,NA,raw,NA
SXM4481,extra_muscle,U4081,NA,NA,raw,NA
SXM4516,extra_muscle,U4116,NA,NA,raw,NA
SXM4482,extra_muscle,U4082,NA,NA,raw,NA
SXM4525,extra_muscle,U4125,NA,NA,raw,NA
SXM4451,extra_muscle,U4051,NA,NA,raw,NA
SXM4452,extra_muscle,U4052,NA,NA,raw,NA
SXM4453,extra_muscle,U4053,NA,NA,raw,NA
SXM4454,extra_muscle,U4054,NA,NA,raw,NA
SXM4455,extra_muscle,U4055,NA,NA,raw,NA
SXM4456,extra_muscle,U4056,NA,NA,raw,NA
SXM4457,extra_muscle,U4057,NA,NA,raw,NA
SXM4458,extra_muscle,U4058,NA,NA,raw,NA
SXM4459,extra_muscle,U4059,NA,NA,raw,NA
SXM4460,extra_muscle,U4060,NA,NA,raw,NA
SXM4517,extra_muscle,U4117,NA,NA,raw,NA
SXM4483,extra_muscle,U4083,NA,NA,raw,NA
SXM4507,extra_muscle,U4107,NA,NA,raw,NA
SXM4518,extra_muscle,U4118,NA,NA,raw,NA
SXM4445,extra_muscle,U4045,NA,NA,raw,NA
SXM4466,extra_muscle,U4066,NA,NA,raw,NA
SXM4467,extra_muscle,U4067,NA,NA,raw,NA
SXM4468,extra_muscle,U4068,NA,NA,raw,NA
SXM4469,extra_muscle,U4069,NA,NA,raw,NA
SXM4470,extra_muscle,U4070,NA,NA,raw,NA
SXM4471,extra_muscle,U4071,NA,NA,raw,NA
SXM4472,extra_muscle,U4072,NA,NA,raw,NA
SXM4473,extra_muscle,U4073,NA,NA,raw,NA
SXM4474,extra_muscle,U4074,NA,NA,raw,NA
SXM4475,extra_muscle,U4075,NA,NA,raw,NA
SXM4476,extra_muscle,U4076,NA,NA,raw,NA
SXM4477,extra_muscle,U4077,NA,NA,raw,NA
SXM4478,extra_muscle,U4078,NA,NA,raw,NA
SXM4479,extra_muscle,U4079,NA,NA,raw,NA
SXM4480,extra_muscle,U4080,NA,NA,raw,NA
SXM4519,extra_muscle,U4119,NA,NA,raw,NA
SXM4484,extra_muscle,U4084,NA,NA,raw,NA
SXM4446,extra_muscle,U4046,NA,NA,raw,NA
SXM4520,extra_muscle,U4120,NA,NA,raw,NA
SXM4485,extra_muscle,U4085,NA,NA,raw,NA
SXM4486,extra_muscle,U4086,NA,NA,raw,NA
SXM4487,extra_muscle,U4087,NA,NA,raw,NA
SXM4488,extra_muscle,U4088,NA,NA,raw,NA
SXM4489,extra_muscle,U4089,NA,NA,raw,NA
SXM4490,extra_muscle,U4090,NA,NA,raw,NA
SXM4491,extra_muscle,U4091,NA,NA,raw,NA
SXM4492,extra_muscle,U4092,NA,NA,raw,NA
SXM4493,extra_muscle,U4093,NA,NA,raw,NA
SXM4494,extra_muscle,U4094,NA,NA,raw,NA
SXM4495,extra_muscle,U4095,NA,NA,raw,NA
SXM4505,extra_muscle,U4105,NA,NA,raw,NA
SXM4447,extra_muscle,U4047,NA,NA,raw,NA
SXM4506,extra_muscle,U4106,NA,NA,raw,NA
SXM4521,extra_muscle,U4121,NA,NA,raw,NA
SXM4448,extra_muscle,U4048,NA,NA,raw,NA
SXM4522,extra_muscle,U4122,NA,NA,raw,NA
SXM4508,extra_muscle,U4108,NA,NA,raw,NA
SXM4449,extra_muscle,U4049,NA,NA,raw,NA
SXM4523,extra_muscle,U4123,NA,NA,raw,NA
SXM4450,extra_muscle,U4050,NA,NA,raw,NA
SXM4461,extra_muscle,U4061,NA,NA,raw,NA
SXM4509,extra_muscle,U4109,NA,NA,raw,NA
SXM4543,extra_muscle,U4143,NA,NA,raw,NA
SXM4534,extra_muscle,U4134,NA,NA,raw,NA
SXM4510,extra_muscle,U4110,NA,NA,raw,NA
SXM4511,extra_muscle,U4111,NA,NA,raw,NA
SXM4512,extra_muscle,U4112,NA,NA,raw,NA
SXM4513,extra_muscle,U4113,NA,NA,raw,NA
SXM4514,extra_muscle,U4114,NA,NA,raw,NA
SXM4544,extra_muscle,U4144,NA,NA,raw,NA
SXM4462,extra_muscle,U4062,NA,NA,raw,NA
SXM4545,extra_muscle,U4145,NA,NA,raw,NA
SXM4535,extra_muscle,U4135,NA,NA,raw,NA
SXM4463,extra_muscle,U4063,NA,NA,raw,NA
SXM4546,extra_muscle,U4146,NA,NA,raw,NA
SXM4536,extra_muscle,U4136,NA,NA,raw,NA
SXM4547,extra_muscle,U4147,NA,NA,raw,NA
SXM4537,extra_muscle,U4137,NA,NA,raw,NA
SXM4464,extra_muscle,U4064,NA,NA,raw,NA
SXM4548,extra_muscle,U4148,NA,NA,raw,NA
SXM4538,extra_muscle,U4138,NA,NA,raw,NA
SXM4549,extra_muscle,U4149,NA,NA,raw,NA
SXM4527,extra_muscle,U4127,NA,NA,raw,NA
SXM4526,extra_muscle,U4126,NA,NA,raw,NA
SXM4528,extra_muscle,U4128,NA,NA,raw,NA
SXM4530,extra_muscle,U4130,NA,NA,raw,NA
SXM4529,extra_muscle,U4129,NA,NA,raw,NA
SXM4531,extra_muscle,U4131,NA,NA,raw,NA
SXM4532,extra_muscle,U4132,NA,NA,raw,NA
SXM4533,extra_muscle,U4133,NA,NA,raw,NA
SXM4550,extra_muscle,U4150,NA,NA,raw,NA
SXM4551,extra_muscle,U4151,NA,NA,raw,NA
SXM4552,extra_muscle,U4152,NA,NA,raw,NA
SXM4553,extra_muscle,U4153,NA,NA,raw,NA
SXM4554,extra_muscle,U4154,NA,NA,raw,NA
SXM5499,extra_muscle,U4960,NA,NA,raw,NA
SXM4567,extra_muscle,U4167,NA,NA,raw,NA
SXM4568,extra_muscle,U4168,NA,NA,raw,NA
SXM4569,extra_muscle,U4169,NA,NA,raw,NA
SXM4555,extra_muscle,U4155,NA,NA,raw,NA
SXM5504,extra_muscle,U4965,NA,NA,raw,NA
SXM4504,extra_muscle,U4104,NA,NA,raw,NA
SXM4559,extra_muscle,U4159,NA,NA,raw,NA
SXM4560,extra_muscle,U4160,NA,NA,raw,NA
SXM4561,extra_muscle,U4161,NA,NA,raw,NA
SXM4562,extra_muscle,U4162,NA,NA,raw,NA
SXM4556,extra_muscle,U4156,NA,NA,raw,NA
SXM4557,extra_muscle,U4157,NA,NA,raw,NA
SXM4558,extra_muscle,U4158,NA,NA,raw,NA
SXM4563,extra_muscle,U4163,NA,NA,raw,NA
SXM4564,extra_muscle,U4164,NA,NA,raw,NA
SXM4565,extra_muscle,U4165,NA,NA,raw,NA
SXM4566,extra_muscle,U4166,NA,NA,raw,NA
SXM4503,extra_muscle,U4103,NA,NA,raw,NA
SXM4502,extra_muscle,U4102,NA,NA,raw,NA
SXM4501,extra_muscle,U4101,NA,NA,raw,NA
SXM4500,extra_muscle,U4100,NA,NA,raw,NA
SXM4499,extra_muscle,U4099,NA,NA,raw,NA
SXM4498,extra_muscle,U4098,NA,NA,raw,NA
SXM4497,extra_muscle,U4097,NA,NA,raw,NA
SXM4570,extra_muscle,U4170,NA,NA,raw,NA
SXM4571,extra_muscle,U4171,NA,NA,raw,NA
SXM4572,extra_muscle,U4172,NA,NA,raw,NA
SXM4573,extra_muscle,U4173,NA,NA,raw,NA
SXM5250,extra_muscle,U4800,NA,NA,raw,NA
SXM5251,extra_muscle,U4801,NA,NA,raw,NA
SXM5252,extra_muscle,U4802,NA,NA,raw,NA
SXM5226,extra_muscle,U4776,NA,NA,raw,NA
SXM5227,extra_muscle,U4777,NA,NA,raw,NA
SXM5228,extra_muscle,U4778,NA,NA,raw,NA
SXM5229,extra_muscle,U4779,NA,NA,raw,NA
SXM5230,extra_muscle,U4780,NA,NA,raw,NA
SXM5178,extra_muscle,U4728,NA,NA,raw,NA
SXM5231,extra_muscle,U4781,NA,NA,raw,NA
SXM5179,extra_muscle,U4729,NA,NA,raw,NA
SXM5232,extra_muscle,U4782,NA,NA,raw,NA
SXM5180,extra_muscle,U4730,NA,NA,raw,NA
SXM5233,extra_muscle,U4783,NA,NA,raw,NA
SXM5234,extra_muscle,U4784,NA,NA,raw,NA
SXM5181,extra_muscle,U4731,NA,NA,raw,NA
SXM5235,extra_muscle,U4785,NA,NA,raw,NA
SXM5253,extra_muscle,U4803,NA,NA,raw,NA
SXM5182,extra_muscle,U4732,NA,NA,raw,NA
SXM5236,extra_muscle,U4786,NA,NA,raw,NA
SXM5202,extra_muscle,U4752,NA,NA,raw,NA
SXM5254,extra_muscle,U4804,NA,NA,raw,NA
SXM5237,extra_muscle,U4787,NA,NA,raw,NA
SXM5183,extra_muscle,U4733,NA,NA,raw,NA
SXM5203,extra_muscle,U4753,NA,NA,raw,NA
SXM5238,extra_muscle,U4788,NA,NA,raw,NA
SXM5207,extra_muscle,U4757,NA,NA,raw,NA
SXM5208,extra_muscle,U4758,NA,NA,raw,NA
SXM5209,extra_muscle,U4759,NA,NA,raw,NA
SXM5210,extra_muscle,U4760,NA,NA,raw,NA
SXM5255,extra_muscle,U4805,NA,NA,raw,NA
SXM5184,extra_muscle,U4734,NA,NA,raw,NA
SXM5204,extra_muscle,U4754,NA,NA,raw,NA
SXM5239,extra_muscle,U4789,NA,NA,raw,NA
SXM5185,extra_muscle,U4735,NA,NA,raw,NA
SXM5256,extra_muscle,U4806,NA,NA,raw,NA
SXM5205,extra_muscle,U4755,NA,NA,raw,NA
SXM5240,extra_muscle,U4790,NA,NA,raw,NA
SXM5257,extra_muscle,U4807,NA,NA,raw,NA
SXM5186,extra_muscle,U4736,NA,NA,raw,NA
SXM5241,extra_muscle,U4791,NA,NA,raw,NA
SXM5258,extra_muscle,U4808,NA,NA,raw,NA
SXM5274,extra_muscle,U4824,NA,NA,raw,NA
SXM5242,extra_muscle,U4792,NA,NA,raw,NA
SXM5187,extra_muscle,U4737,NA,NA,raw,NA
SXM5243,extra_muscle,U4793,NA,NA,raw,NA
SXM5259,extra_muscle,U4809,NA,NA,raw,NA
SXM5275,extra_muscle,U4825,NA,NA,raw,NA
SXM5244,extra_muscle,U4794,NA,NA,raw,NA
SXM5245,extra_muscle,U4795,NA,NA,raw,NA
SXM5246,extra_muscle,U4796,NA,NA,raw,NA
SXM5247,extra_muscle,U4797,NA,NA,raw,NA
SXM5248,extra_muscle,U4798,NA,NA,raw,NA
SXM5249,extra_muscle,U4799,NA,NA,raw,NA
SXM5188,extra_muscle,U4738,NA,NA,raw,NA
SXM5260,extra_muscle,U4810,NA,NA,raw,NA
SXM5189,extra_muscle,U4739,NA,NA,raw,NA
SXM5261,extra_muscle,U4811,NA,NA,raw,NA
SXM5276,extra_muscle,U4826,NA,NA,raw,NA
SXM5190,extra_muscle,U4740,NA,NA,raw,NA
SXM5277,extra_muscle,U4827,NA,NA,raw,NA
SXM5262,extra_muscle,U4812,NA,NA,raw,NA
SXM5263,extra_muscle,U4813,NA,NA,raw,NA
SXM5264,extra_muscle,U4814,NA,NA,raw,NA
SXM5265,extra_muscle,U4815,NA,NA,raw,NA
SXM5266,extra_muscle,U4816,NA,NA,raw,NA
SXM5267,extra_muscle,U4817,NA,NA,raw,NA
SXM5268,extra_muscle,U4818,NA,NA,raw,NA
SXM5269,extra_muscle,U4819,NA,NA,raw,NA
SXM5191,extra_muscle,U4741,NA,NA,raw,NA
SXM5270,extra_muscle,U4820,NA,NA,raw,NA
SXM5192,extra_muscle,U4742,NA,NA,raw,NA
SXM5271,extra_muscle,U4821,NA,NA,raw,NA
SXM5193,extra_muscle,U4743,NA,NA,raw,NA
SXM5272,extra_muscle,U4822,NA,NA,raw,NA
SXM5194,extra_muscle,U4744,NA,NA,raw,NA
SXM5273,extra_muscle,U4823,NA,NA,raw,NA
SXM5195,extra_muscle,U4745,NA,NA,raw,NA
SXM5298,extra_muscle,U4848,NA,NA,raw,NA
SXM5299,extra_muscle,U4849,NA,NA,raw,NA
SXM5196,extra_muscle,U4746,NA,NA,raw,NA
SXM5300,extra_muscle,U4850,NA,NA,raw,NA
SXM5197,extra_muscle,U4747,NA,NA,raw,NA
SXM5301,extra_muscle,U4851,NA,NA,raw,NA
SXM5198,extra_muscle,U4748,NA,NA,raw,NA
SXM5302,extra_muscle,U4852,NA,NA,raw,NA
SXM5199,extra_muscle,U4749,NA,NA,raw,NA
SXM5303,extra_muscle,U4853,NA,NA,raw,NA
SXM5304,extra_muscle,U4854,NA,NA,raw,NA
SXM5305,extra_muscle,U4855,NA,NA,raw,NA
SXM5306,extra_muscle,U4856,NA,NA,raw,NA
SXM5307,extra_muscle,U4857,NA,NA,raw,NA
SXM5308,extra_muscle,U4858,NA,NA,raw,NA
SXM5309,extra_muscle,U4859,NA,NA,raw,NA
SXM5310,extra_muscle,U4860,NA,NA,raw,NA
SXM5311,extra_muscle,U4861,NA,NA,raw,NA
SXM5313,extra_muscle,U4863,NA,NA,raw,NA
SXM5314,extra_muscle,U4864,NA,NA,raw,NA
SXM5315,extra_muscle,U4865,NA,NA,raw,NA
SXM5316,extra_muscle,U4866,NA,NA,raw,NA
SXM5317,extra_muscle,U4867,NA,NA,raw,NA
SXM5318,extra_muscle,U4868,NA,NA,raw,NA
SXM5319,extra_muscle,U4869,NA,NA,raw,NA
SXM5320,extra_muscle,U4870,NA,NA,raw,NA
SXM5321,extra_muscle,U4871,NA,NA,raw,NA
SXM5401,extra_muscle,U4901,NA,NA,raw,NA
SXM5402,extra_muscle,U4902,NA,NA,raw,NA
SXM5403,extra_muscle,U4903,NA,NA,raw,NA
SXM5404,extra_muscle,U4904,NA,NA,raw,NA
SXM5405,extra_muscle,U4905,NA,NA,raw,NA
