ufn,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U628,S628FA1,NA,NA,Raw,
U629,S629FA1,NA,NA,Raw,
U630,S630FA1,NA,NA,Raw,
U631,S631FA1,NA,NA,Raw,
U632,S632FA1,NA,NA,Raw,
U633,S633FA1,NA,NA,Raw,
U634,S634FA1,NA,NA,Raw,
U635,S635FA1,NA,NA,Raw,
U636,S636FA1,NA,NA,Raw,
U637,S637FA1,NA,NA,Raw,
U638,S638FA1,NA,NA,Raw,
U639,S639FA1,NA,NA,Raw,
U640,S640FA1,NA,NA,Raw,
U641,S641FA1,NA,NA,Raw,
U642,S642FA1,NA,NA,Raw,
U643,S643FA1,NA,NA,Raw,
U644,S644FA1,NA,NA,Raw,
U645,S645FA1,NA,NA,Raw,
U646,S646FA1,NA,NA,Raw,
U647,S647FA1,NA,NA,Raw,
U648,S648FA1,NA,NA,Raw,
U649,S649FA1,NA,NA,Raw,
U650,S650FA1,NA,NA,Raw,
U651,S651FA1,NA,NA,Raw,
U652,S652FA1,NA,NA,Raw,
U653,S653FA1,NA,NA,Raw,
U654,S654FA1,NA,NA,Raw,
U655,S655FA1,NA,NA,Raw,
U656,S656FA1,NA,NA,Raw,
U657,S657FA1,NA,NA,Raw,
U658,S658FA1,NA,NA,Raw,
U659,S659FA1,NA,NA,Raw,
U660,S660FA1,NA,NA,Raw,
U661,S661FA1,NA,NA,Raw,
U662,S662FA1,NA,NA,Raw,
U663,S663FA1,NA,NA,Raw,
U664,S664FA1,NA,NA,Raw,
U665,S665FA1,NA,NA,Raw,
U666,S666FA1,NA,NA,Raw,
U667,S667FA1,NA,NA,Raw,
U668,S668FA1,NA,NA,Raw,
U669,S669FA1,NA,NA,Raw,
U670,S670FA1,NA,NA,Raw,
U671,S671FA1,NA,NA,Raw,
U672,S672FA1,NA,NA,Raw,
U673,S673FA1,NA,NA,Raw,
U674,S674FA1,NA,NA,Raw,
U675,S675FA1,NA,NA,Raw,
U676,S676FA1,NA,NA,Raw,
U677,S677FA1,NA,NA,Raw,
U678,S678FA1,NA,NA,Raw,
U679,S679FA1,NA,NA,Raw,
U680,S680FA1,NA,NA,Raw,
U681,S681FA1,NA,NA,Raw,
U682,S682FA1,NA,NA,Raw,
U683,S683FA1,NA,NA,Raw,
U684,S684FA1,NA,NA,Raw,
U685,S685FA1,NA,NA,Raw,
U686,S686FA1,NA,NA,Raw,
U687,S687FA1,NA,NA,Raw,
U688,S688FA1,NA,NA,Raw,
U689,S689FA1,NA,NA,Raw,
U690,S690FA1,NA,NA,Raw,
U691,S691FA1,NA,NA,Raw,
U692,S692FA1,NA,NA,Raw,
U693,S693FA1,NA,NA,Raw,
U694,S694FA1,NA,NA,Raw,
U695,S695FA1,NA,NA,Raw,
U696,S696FA1,NA,NA,Raw,
U697,S697FA1,NA,NA,Raw,
U698,S698FA1,NA,NA,Raw,
U699,S699FA1,NA,NA,Raw,
U700,S700FA1,NA,NA,Raw,
U701,S701FA1,NA,NA,Raw,
U702,S702FA1,NA,NA,Raw,
U703,S703FA1,NA,NA,Raw,
U704,S704FA1,NA,NA,Raw,
U705,S705FA1,NA,NA,Raw,
U706,S706FA1,NA,NA,Raw,
U707,S707FA1,NA,NA,Raw,
U708,S708FA1,NA,NA,Raw,
U709,S709FA1,NA,NA,Raw,
U710,S710FA1,NA,NA,Raw,
U711,S711FA1,NA,NA,Raw,
U712,S712FA1,NA,NA,Raw,
U713,S713FA1,NA,NA,Raw,
U714,S714FA1,NA,NA,Raw,
U715,S715FA1,NA,NA,Raw,
U716,S716FA1,NA,NA,Raw,
U717,S717FA1,NA,NA,Raw,
U718,S718FA1,NA,NA,Raw,
U719,S719FA1,NA,NA,Raw,
U720,S720FA1,NA,NA,Raw,
U721,S721FA1,NA,NA,Raw,
U722,S722FA1,NA,NA,Raw,
U723,S723FA1,NA,NA,Raw,
U724,S724FA1,NA,NA,Raw,
U725,S725FA1,NA,NA,Raw,
U726,S726FA1,NA,NA,Raw,
U727,S727FA1,NA,NA,Raw,
U728,S728FA1,NA,NA,Raw,
U729,S729FA1,NA,NA,Raw,
U730,S730FA1,NA,NA,Raw,
U731,S731FA1,NA,NA,Raw,
U732,S732FA1,NA,NA,Raw,
U733,S733FA1,NA,NA,Raw,
U734,S734FA1,NA,NA,Raw,
U735,S735FA1,NA,NA,Raw,
U736,S736FA1,NA,NA,Raw,
U737,S737FA1,NA,NA,Raw,
U738,S738FA1,NA,NA,Raw,
U739,S739FA1,NA,NA,Raw,
U740,S740FA1,NA,NA,Raw,
U741,S741FA1,NA,NA,Raw,
