sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,stock_id_quality_flag,stock_id_quality_level,stock_id_quality_log
JS00437,L_SHUSWAP,4,0.99,MIDDLESHUSWAP,4,0.01,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00440,SCOTCH,2,0.92,SEYMOUR,2,0.07,EAGLE,2,0.01,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00138,STELLAKO,3,0.62,"NADINA",2,0.36,CHILKO,3,0.01,PORTER_CR,1,0,PAULA,1,0,PBS,AV,level1,NA
DS00364,L_ADAMS,4,0.71,LITTLE,4,0.08,CHILKO,3,0.07,U_HORSEFLY,3,0.07,L_SHUSWAP,4,0.04,PBS,AV,level1,NA
DS00390,L_ADAMS,4,0.87,L_SHUSWAP,4,0.1,MIDDLESHUSWAP,4,0.01,LITTLE,4,0.01,SEYMOUR,2,0,PBS,AV,level1,NA
DS00385,QUESNEL_HORSEF,3,0.24,HORSEFLY,3,0.2,U_HORSEFLY,3,0.19,L_ADAMS,4,0.13,ROARING,3,0.11,PBS,AV,level1,NA
DS00371,HORSEFLY,3,0.21,QUESNEL_HORSEF,3,0.17,LITTLE,4,0.15,U_HORSEFLY,3,0.15,L_ADAMS,4,0.15,PBS,AV,level1,NA
DS00175,HORSEFLY,3,0.75,QUESNEL_HORSEF,3,0.14,MCKINLEY,3,0.1,STELLAKO,3,0,DUST,1,0,PBS,AV,level1,NA
DS00986,EAGLE_L,4,0.71,MIDDLESHUSWAP,4,0.21,L_SHUSWAP,4,0.07,SEYMOUR,2,0,SCOTCH,2,0,PBS,AV,level1,NA
DS00984,MIDDLESHUSWAP,4,0.58,L_SHUSWAP,4,0.26,EAGLE_L,4,0.06,MIDDLE,3,0.04,HORSEFLY,3,0.01,PBS,AV,level1,NA
DS00988,MIDDLESHUSWAP,4,0.85,EAGLE_L,4,0.1,L_SHUSWAP,4,0.03,HORSEFLY,3,0.02,QUESNEL_HORSEF,3,0,PBS,AV,level1,NA
DS00269,SCOTCH,2,0.79,L_ADAMS,4,0.2,SEYMOUR,2,0,QUESNEL_HORSEF,3,0,L_SHUSWAP,4,0,PBS,AV,level1,NA
DS00267,L_ADAMS,4,0.99,MCKINLEY,3,0.01,EAGLE_L,4,0,L_SHUSWAP,4,0,QUESNEL_DECEPT,3,0,PBS,AV,level1,NA
DS00257,L_ADAMS,4,0.98,PORTAGE_CR,4,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00268,L_SHUSWAP,4,1,MIDDLESHUSWAP,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00270,L_ADAMS,4,0.84,MCKINLEY,3,0.13,QUESNEL_HORSEF,3,0.01,EAGLE_L,4,0,PINCHI_CR,3,0,PBS,AV,level1,NA
DS00266,SCOTCH,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
JS00423,L_SHUSWAP,4,0.98,MIDDLESHUSWAP,4,0.01,L_ADAMS,4,0.01,LITTLE,4,0,CHILKO,3,0,PBS,AV,level1,NA
