year,species,louse_species,life_stage,mean_abundance,sd,se,n_hosts
2017,Sockeye,Lepeophtheirus salmonis,Motile,0.01639344262295081,0.12719174277657963,0.007282978005234748,305
2018,Chum,Caligus clemensi,Motile,0.1612903225806451,0.43755866648813707,0.029703417747684212,217
2018,Chum,Lepeophtheirus salmonis,Motile,0.03225806451612906,0.20154718164171412,0.013681914199577469,217
2018,Pink,Caligus clemensi,Motile,0.3720000000000001,0.7124932184557146,0.045062027754879504,250
2018,Pink,Lepeophtheirus salmonis,Motile,0.027999999999999976,0.16530366361584145,0.01045472165192728,250
2018,Sockeye,Caligus clemensi,Attached,1.4916279069767444,1.4870688583013514,0.16035475893510573,86
2018,Sockeye,Caligus clemensi,Motile,0.186046511627907,0.4475193826095328,0.04825725608907653,86
2018,Sockeye,Lepeophtheirus salmonis,Attached,1.0199999999999998,1.6256705403870604,0.17530056268506905,86
2018,Sockeye,Lepeophtheirus salmonis,Motile,0.034883720930232565,0.18456144639815744,0.019901772591551067,86
2019,Chum,Caligus clemensi,Attached,2.7495822192513364,4.764674735320542,0.5955843419150677,64
2019,Chum,Caligus clemensi,Motile,0.7003610108303245,1.3859151268256613,0.08327156952746519,277
2019,Chum,Lepeophtheirus salmonis,Attached,0.20354278074866308,0.35244552011452457,0.04405569001431557,64
2019,Chum,Lepeophtheirus salmonis,Motile,0.06137184115523467,0.28205173939715433,0.01694684658024309,277
2019,Pink,Caligus clemensi,Attached,0.40275302040007915,0.7952611490428073,0.10822133485635115,54
2019,Pink,Caligus clemensi,Motile,0.48034934497816634,0.9108545535779526,0.060190963131352825,229
2019,Pink,Lepeophtheirus salmonis,Attached,0.0231729055258467,0.046780992533881786,0.006366086742719993,54
2019,Pink,Lepeophtheirus salmonis,Motile,0.13973799126637548,0.5755561165785965,0.038033818744083465,229
2019,Sockeye,Caligus clemensi,Attached,9.8970738448597,10.655261933064775,0.7986456473383348,178
2019,Sockeye,Caligus clemensi,Motile,0.44808743169398924,0.9116367076962125,0.06739012457120366,183
2019,Sockeye,Lepeophtheirus salmonis,Attached,0.7040497506459171,0.7219621815821028,0.05411335333523703,178
2019,Sockeye,Lepeophtheirus salmonis,Motile,0.021857923497267742,0.14662069449775889,0.010838513613487546,183
2020,Chum,Caligus clemensi,Motile,0.5263157894736843,0.8559390042213103,0.09818293740093488,76
2020,Chum,Lepeophtheirus salmonis,Motile,0.23684210526315785,0.4863036377307651,0.05578285296696364,76
2020,Pink,Caligus clemensi,Motile,0.6323529411764702,0.9334033587176336,0.0800386776936699,136
2020,Pink,Lepeophtheirus salmonis,Motile,0.6029411764705881,1.0347976131678434,0.08873316328356515,136
2020,Sockeye,Caligus clemensi,Motile,0.6067415730337079,0.9034519803845631,0.06771658887842974,178
2020,Sockeye,Lepeophtheirus salmonis,Motile,0.050561797752808994,0.24408185878221353,0.018294708786628183,178
2021,Chum,Caligus clemensi,Motile,0.5483870967741933,0.9314281255163402,0.08364471489979755,124
2021,Chum,Lepeophtheirus salmonis,Motile,0.016129032258064526,0.1264828127237176,0.011358491890219655,124
2021,Pink,Caligus clemensi,Motile,0.4224137931034482,0.7929127598151389,0.07362010153938586,116
2021,Pink,Lepeophtheirus salmonis,Motile,0.008620689655172415,0.09284766908852589,0.00862068965517241,116
2021,Sockeye,Caligus clemensi,Motile,0.4473684210526315,0.8423744911965955,0.078895599649308,114
2021,Sockeye,Lepeophtheirus salmonis,Motile,0.03508771929824561,0.22771759258288213,0.02132770662606682,114
2022,Chum,Caligus clemensi,Attached,0.6721008403361344,1.1589236635872513,0.11589236635872513,100
2022,Chum,Caligus clemensi,Motile,0.18,0.43531017619043727,0.043531017619043724,100
2022,Chum,Lepeophtheirus salmonis,Attached,0.057899159663865545,0.13277157812760465,0.013277157812760464,100
2022,Chum,Lepeophtheirus salmonis,Motile,0.04999999999999999,0.2611164839335469,0.02611164839335469,100
2022,Pink,Caligus clemensi,Attached,0.3115333089757642,0.6717965450615604,0.08087480017730833,69
2022,Pink,Caligus clemensi,Motile,0.24637681159420283,0.4972216070458061,0.05985844733688648,69
2022,Pink,Lepeophtheirus salmonis,Attached,0.021800024357569114,0.12868654638352556,0.015492039667042132,69
2022,Pink,Lepeophtheirus salmonis,Motile,0.07246376811594199,0.31243072548449674,0.037612239417656915,69
2022,Sockeye,Caligus clemensi,Attached,3.7868601986249044,2.31227439987488,0.4929785584640636,22
2022,Sockeye,Caligus clemensi,Motile,0.0909090909090909,0.29424494316824984,0.06273323266748675,22
2022,Sockeye,Lepeophtheirus salmonis,Attached,0.39495798319327735,0.3999455207182685,0.08526867152035247,22
2022,Sockeye,Lepeophtheirus salmonis,Motile,0.0909090909090909,0.2942449431682498,0.06273323266748673,22
