sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S10121DN1,DNA,liver,U10121,NA,NA,AV,NA
S10122DN1,DNA,liver,U10122,NA,NA,AV,NA
S10123DN1,DNA,liver,U10123,NA,NA,AV,NA
S10124DN1,DNA,liver,U10124,NA,NA,AV,NA
S10125DN1,DNA,liver,U10125,NA,NA,AV,NA
S10126DN1,DNA,liver,U10126,NA,NA,AV,NA
S10127DN1,DNA,liver,U10127,NA,NA,AV,NA
S10128DN1,DNA,liver,U10128,NA,NA,AV,NA
S10129DN1,DNA,liver,U10129,NA,NA,AV,NA
SDN946,DNA,liver,U1013,NA,PBS,AV,NA
S10130DN1,DNA,liver,U10130,NA,NA,AV,NA
S10131DN1,DNA,liver,U10131,NA,NA,AV,NA
S10132DN1,DNA,liver,U10132,NA,NA,AV,NA
S10133DN1,DNA,liver,U10133,NA,NA,AV,NA
S10134DN1,DNA,liver,U10134,NA,NA,AV,NA
SDN960,DNA,liver,U1014,NA,PBS,AV,NA
SDN961,DNA,liver,U1015,NA,PBS,AV,NA
SDN962,DNA,liver,U1016,NA,PBS,AV,NA
SDN963,DNA,liver,U1017,NA,PBS,AV,NA
SDN972,DNA,liver,U1018,NA,PBS,AV,NA
SDN973,DNA,liver,U1019,NA,PBS,AV,NA
S102DN1,DNA,liver,U102,NA,NA,AV,NA
SDN974,DNA,liver,U1020,NA,PBS,AV,NA
SDN964,DNA,liver,U1021,NA,PBS,AV,NA
S10211DN1,DNA,liver,U10211,NA,NA,AV,NA
S10212DN1,DNA,liver,U10212,NA,NA,AV,NA
S10213DN1,DNA,liver,U10213,NA,NA,AV,NA
S10214DN1,DNA,liver,U10214,NA,NA,AV,NA
S10215DN1,DNA,liver,U10215,NA,NA,AV,NA
SDN965,DNA,liver,U1022,NA,PBS,AV,NA
S10221DN1,DNA,liver,U10221,NA,NA,AV,NA
SDN975,DNA,liver,U1023,NA,PBS,AV,NA
SDN976,DNA,liver,U1024,NA,PBS,AV,NA
SDN977,DNA,liver,U1025,NA,PBS,AV,NA
SDN978,DNA,liver,U1026,NA,PBS,AV,NA
SDN979,DNA,liver,U1027,NA,PBS,AV,NA
S10271DN1,DNA,liver,U10271,NA,NA,AV,NA
SDN980,DNA,liver,U1028,NA,PBS,AV,NA
S10281DN1,DNA,liver,U10281,NA,NA,AV,NA
S10282DN1,DNA,liver,U10282,NA,NA,AV,NA
S10283DN1,DNA,liver,U10283,NA,NA,AV,NA
S10284DN1,DNA,liver,U10284,NA,NA,AV,NA
S10285DN1,DNA,liver,U10285,NA,NA,AV,NA
S10286DN1,DNA,liver,U10286,NA,NA,AV,NA
S10287DN1,DNA,liver,U10287,NA,NA,AV,NA
S10288DN1,DNA,liver,U10288,NA,NA,AV,NA
S10289DN1,DNA,liver,U10289,NA,NA,AV,NA
SDN990,DNA,liver,U1029,NA,PBS,AV,NA
S10290DN1,DNA,liver,U10290,NA,NA,AV,NA
S103DN1,DNA,liver,U103,NA,NA,AV,NA
SDN1009,DNA,liver,U1030,NA,PBS,AV,NA
S10301DN1,DNA,liver,U10301,NA,NA,AV,NA
SDN966,DNA,liver,U1031,NA,PBS,AV,NA
SDN967,DNA,liver,U1032,NA,PBS,AV,NA
SDN981,DNA,liver,U1033,NA,PBS,AV,NA
SDN982,DNA,liver,U1034,NA,PBS,AV,NA
SDN991,DNA,liver,U1035,NA,PBS,AV,NA
S10351DN1,DNA,liver,U10351,NA,NA,AV,NA
S10352DN1,DNA,liver,U10352,NA,NA,AV,NA
S10353DN1,DNA,other,U10353,"very small fish, liver too small for DNA so collected caudal peduncle and part of caudal fin for DNA instead",NA,AV,NA
SDN992,DNA,liver,U1036,NA,PBS,AV,NA
S10361DN1,DNA,liver,U10361,NA,NA,AV,NA
S10363DN1,DNA,liver,U10363,NA,NA,AV,NA
S10364DN1,DNA,liver,U10364,NA,NA,AV,NA
S10365DN1,DNA,liver,U10365,NA,NA,AV,NA
S10366DN1,DNA,liver,U10366,NA,NA,AV,NA
S10367DN1,DNA,liver,U10367,NA,NA,AV,NA
S10368DN1,DNA,liver,U10368,NA,NA,AV,NA
S10369DN1,DNA,liver,U10369,NA,NA,AV,NA
SDN993,DNA,liver,U1037,NA,PBS,AV,NA
S10370DN1,DNA,liver,U10370,NA,NA,AV,NA
S10371DN1,DNA,liver,U10371,NA,NA,AV,NA
S10372DN1,DNA,liver,U10372,NA,NA,AV,NA
S10373DN1,DNA,liver,U10373,NA,NA,AV,NA
S10374DN1,DNA,liver,U10374,NA,NA,AV,NA
SDN994,DNA,liver,U1038,NA,PBS,AV,NA
SDN995,DNA,liver,U1039,NA,PBS,AV,NA
S104DN1,DNA,liver,U104,NA,NA,AV,NA
SDN996,DNA,liver,U1040,NA,PBS,AV,NA
SDN983,DNA,liver,U1041,NA,PBS,AV,NA
SDN984,DNA,liver,U1042,NA,PBS,AV,NA
SDN985,DNA,liver,U1043,NA,PBS,AV,NA
SDN986,DNA,liver,U1044,NA,PBS,AV,NA
S10441DN1,DNA,liver,U10441,NA,NA,AV,NA
S10442DN1,DNA,liver,U10442,NA,NA,AV,NA
S10443DN1,DNA,liver,U10443,NA,NA,AV,NA
S10445DN1,DNA,liver,U10445,NA,NA,AV,NA
S10446DN1,DNA,liver,U10446,NA,NA,AV,NA
S10447DN1,DNA,liver,U10447,NA,NA,AV,NA
S10448DN1,DNA,liver,U10448,NA,NA,AV,NA
S10449DN1,DNA,liver,U10449,NA,NA,AV,NA
SDN997,DNA,liver,U1045,NA,PBS,AV,NA
S10450DN1,DNA,liver,U10450,NA,NA,AV,NA
SDN998,DNA,liver,U1046,NA,PBS,AV,NA
S10461DN1,DNA,liver,U10461,NA,NA,AV,NA
SDN999,DNA,liver,U1047,NA,PBS,AV,NA
SDN1000,DNA,liver,U1048,NA,PBS,AV,NA
SDN1001,DNA,liver,U1049,NA,PBS,AV,NA
S105DN1,DNA,liver,U105,NA,NA,AV,NA
SDN1002,DNA,liver,U1050,NA,PBS,AV,NA
S1051DN1,DNA,liver,U1051,NA,NA,AV,NA
S10511DN1,DNA,liver,U10511,NA,NA,AV,NA
S10512DN1,DNA,liver,U10512,NA,NA,AV,NA
S10513DN1,DNA,liver,U10513,NA,NA,AV,NA
S10514DN1,DNA,liver,U10514,NA,NA,AV,NA
S10515DN1,DNA,liver,U10515,NA,NA,AV,NA
S10516DN1,DNA,liver,U10516,NA,NA,AV,NA
S10517DN1,DNA,liver,U10517,NA,NA,AV,NA
S10518DN1,DNA,liver,U10518,NA,NA,AV,NA
S10519DN1,DNA,liver,U10519,NA,NA,AV,NA
SDN988,DNA,liver,U1052,NA,PBS,AV,NA
S10520DN1,DNA,liver,U10520,NA,NA,AV,NA
S10521DN1,DNA,liver,U10521,NA,NA,AV,NA
S10522DN1,DNA,liver,U10522,NA,NA,AV,NA
S10523DN1,DNA,liver,U10523,NA,NA,AV,NA
S10524DN1,DNA,liver,U10524,NA,NA,AV,NA
S10525DN1,DNA,liver,U10525,NA,NA,AV,NA
S10526DN1,DNA,liver,U10526,NA,NA,AV,NA
S10527DN1,DNA,liver,U10527,NA,NA,AV,NA
S10528DN1,DNA,liver,U10528,NA,NA,AV,NA
S10529DN1,DNA,liver,U10529,NA,NA,AV,NA
SDN989,DNA,liver,U1053,NA,PBS,AV,NA
S10530DN1,DNA,liver,U10530,NA,NA,AV,NA
SDN1003,DNA,liver,U1054,NA,PBS,AV,NA
S10541DN1,DNA,liver,U10541,NA,NA,AV,NA
S10542DN1,DNA,liver,U10542,NA,NA,AV,NA
S10543DN1,DNA,liver,U10543,NA,NA,AV,NA
SDN1004,DNA,liver,U1055,NA,PBS,AV,NA
SDN1005,DNA,liver,U1056,NA,PBS,AV,NA
SDN1006,DNA,liver,U1057,NA,PBS,AV,NA
SDN1010,DNA,liver,U1058,NA,PBS,AV,NA
SDN1011,DNA,liver,U1059,NA,PBS,AV,NA
S10591DN1,DNA,liver,U10591,NA,NA,AV,NA
S10592DN1,DNA,liver,U10592,NA,NA,AV,NA
S10593DN1,DNA,liver,U10593,NA,NA,AV,NA
S10594DN1,DNA,liver,U10594,NA,NA,AV,NA
S10595DN1,DNA,liver,U10595,NA,NA,AV,NA
S106DN1,DNA,liver,U106,NA,NA,AV,NA
SDN1012,DNA,liver,U1060,NA,PBS,AV,NA
S10601DN1,DNA,liver,U10601,NA,NA,AV,NA
S10602DN1,DNA,liver,U10602,NA,NA,AV,NA
S10603DN1,DNA,liver,U10603,NA,NA,AV,NA
S10604DN1,DNA,liver,U10604,NA,NA,AV,NA
S10605DN1,DNA,liver,U10605,NA,NA,AV,NA
S10606DN1,DNA,liver,U10606,NA,NA,AV,NA
S10607DN1,DNA,liver,U10607,NA,NA,AV,NA
S10608DN1,DNA,liver,U10608,NA,NA,AV,NA
S10609DN1,DNA,liver,U10609,NA,NA,AV,NA
SDN1013,DNA,liver,U1061,NA,PBS,AV,NA
S10610DN1,DNA,liver,U10610,NA,NA,AV,NA
SDN1014,DNA,liver,U1062,NA,PBS,AV,NA
S10621DN1,DNA,liver,U10621,NA,NA,AV,NA
S10622DN1,DNA,liver,U10622,NA,NA,AV,NA
S10623DN1,DNA,liver,U10623,NA,NA,AV,NA
SDN1015,DNA,liver,U1063,NA,PBS,AV,NA
SDN1016,DNA,liver,U1064,NA,PBS,AV,NA
SDN1041,DNA,liver,U1065,NA,PBS,AV,NA
SDN1042,DNA,liver,U1066,NA,PBS,AV,NA
SDN1043,DNA,liver,U1067,NA,PBS,AV,NA
SDN1058,DNA,liver,U1068,NA,PBS,AV,NA
S10681DN1,DNA,liver,U10681,NA,NA,AV,NA
S10682DN1,DNA,liver,U10682,NA,NA,AV,NA
S10683DN1,DNA,liver,U10683,NA,NA,AV,NA
S10684DN1,DNA,liver,U10684,NA,NA,AV,NA
S10685DN1,DNA,liver,U10685,NA,NA,AV,NA
S10686DN1,DNA,liver,U10686,NA,NA,AV,NA
S10687DN1,DNA,liver,U10687,NA,NA,AV,NA
S10688DN1,DNA,liver,U10688,NA,NA,AV,NA
S10689DN1,DNA,liver,U10689,NA,NA,AV,NA
SDN1059,DNA,liver,U1069,NA,PBS,AV,NA
S10690DN1,DNA,liver,U10690,NA,NA,AV,NA
S107DN1,DNA,liver,U107,NA,NA,AV,NA
SDN1060,DNA,liver,U1070,NA,PBS,AV,NA
S10701DN1,DNA,liver,U10701,NA,NA,AV,NA
SDN1007,DNA,liver,U1071,NA,PBS,AV,NA
SDN1008,DNA,liver,U1072,NA,PBS,AV,NA
SDN1017,DNA,liver,U1073,NA,PBS,AV,NA
SDN1018,DNA,liver,U1074,NA,PBS,AV,NA
SDN1019,DNA,liver,U1075,NA,PBS,AV,NA
S10751DN1,DNA,liver,U10751,NA,NA,AV,NA
S10752DN1,DNA,liver,U10752,NA,NA,AV,NA
SDN1028,DNA,liver,U1076,NA,PBS,AV,NA
S10761DN1,DNA,liver,U10761,NA,NA,AV,NA
S10762DN1,DNA,liver,U10762,NA,NA,AV,NA
S10763DN1,DNA,liver,U10763,NA,NA,AV,NA
S10764DN1,DNA,liver,U10764,NA,NA,AV,NA
S10765DN1,DNA,liver,U10765,NA,NA,AV,NA
S10766DN1,DNA,liver,U10766,NA,NA,AV,NA
S10767DN1,DNA,liver,U10767,NA,NA,AV,NA
S10768DN1,DNA,liver,U10768,NA,NA,AV,NA
S10769DN1,DNA,liver,U10769,NA,NA,AV,NA
SDN1029,DNA,liver,U1077,NA,PBS,AV,NA
S10770DN1,DNA,liver,U10770,NA,NA,AV,NA
SDN1030,DNA,liver,U1078,NA,PBS,AV,NA
S10781DN1,DNA,liver,U10781,NA,NA,AV,NA
S10782DN1,DNA,liver,U10782,NA,NA,AV,NA
SDN1031,DNA,liver,U1079,NA,PBS,AV,NA
S108DN1,DNA,liver,U108,NA,NA,AV,NA
SDN1044,DNA,liver,U1080,NA,PBS,AV,NA
SDN1020,DNA,liver,U1081,NA,PBS,AV,NA
SDN1021,DNA,liver,U1082,NA,PBS,AV,NA
SDN1022,DNA,liver,U1083,NA,PBS,AV,NA
SDN1032,DNA,liver,U1084,NA,PBS,AV,NA
S10841DN1,DNA,liver,U10841,NA,NA,AV,NA
S10842DN1,DNA,liver,U10842,NA,NA,AV,NA
S10843DN1,DNA,liver,U10843,NA,NA,AV,NA
S10844DN1,DNA,liver,U10844,NA,NA,AV,NA
S10845DN1,DNA,liver,U10845,NA,NA,AV,NA
S10846DN1,DNA,liver,U10846,NA,NA,AV,NA
S10847DN1,DNA,liver,U10847,NA,NA,AV,NA
S10848DN1,DNA,liver,U10848,NA,NA,AV,NA
S10849DN1,DNA,liver,U10849,NA,NA,AV,NA
SDN1033,DNA,liver,U1085,NA,PBS,AV,NA
S10850DN1,DNA,liver,U10850,NA,NA,AV,NA
SDN1034,DNA,liver,U1086,NA,PBS,AV,NA
S10861DN1,DNA,liver,U10861,NA,NA,AV,NA
SDN1035,DNA,liver,U1087,NA,PBS,AV,NA
SDN1036,DNA,liver,U1088,NA,PBS,AV,NA
SDN1037,DNA,liver,U1089,NA,PBS,AV,NA
S109DN1,DNA,liver,U109,NA,NA,AV,NA
SDN1045,DNA,liver,U1090,NA,PBS,AV,NA
SDN1023,DNA,liver,U1091,NA,PBS,AV,NA
S10911DN1,DNA,liver,U10911,NA,NA,AV,NA
S10912DN1,DNA,liver,U10912,NA,NA,AV,NA
S10913DN1,DNA,liver,U10913,NA,NA,AV,NA
S10914DN1,DNA,liver,U10914,NA,NA,AV,NA
S10915DN1,DNA,liver,U10915,NA,NA,AV,NA
S10916DN1,DNA,liver,U10916,NA,NA,AV,NA
S10917DN1,DNA,liver,U10917,NA,NA,AV,NA
S10918DN1,DNA,liver,U10918,NA,NA,AV,NA
SDN1024,DNA,liver,U1092,NA,PBS,AV,NA
S10921DN1,DNA,liver,U10921,DNA liver touched styrofoam box,NA,AV,NA
S10922DN1,DNA,liver,U10922,NA,NA,AV,NA
S10923DN1,DNA,liver,U10923,NA,NA,AV,NA
S10924DN1,DNA,liver,U10924,NA,NA,AV,NA
S10925DN1,DNA,liver,U10925,NA,NA,AV,NA
S10926DN1,DNA,liver,U10926,NA,NA,AV,NA
S10927DN1,DNA,liver,U10927,NA,NA,AV,NA
S10928DN1,DNA,liver,U10928,NA,NA,AV,NA
S10929DN1,DNA,liver,U10929,NA,NA,AV,NA
SDN1025,DNA,liver,U1093,NA,PBS,AV,NA
S10930DN1,DNA,liver,U10930,NA,NA,AV,NA
SDN1026,DNA,liver,U1094,NA,PBS,AV,NA
S10941DN1,DNA,liver,U10941,NA,NA,AV,NA
S10942DN1,DNA,liver,U10942,NA,NA,AV,NA
S1095DN1,DNA,liver,U1095,NA,NA,MV,Last transcribed sample location cannot be verified (SO10-76) 2018-01-27 JG
SDN1038,DNA,fin_clip,U1096,Fin clip taken,PBS,AV,NA
SDN1039,DNA,liver,U1097,NA,PBS,AV,NA
SDN1040,DNA,liver,U1098,NA,PBS,AV,NA
SDN1046,DNA,liver,U1099,NA,PBS,AV,NA
S11DN1,DNA,liver,U11,NA,NA,AV,NA
S110DN1,DNA,liver,U110,NA,NA,AV,NA
SDN1047,DNA,liver,U1100,NA,PBS,AV,NA
S11001DN1,DNA,liver,U11001,NA,NA,AV,NA
S11002DN1,DNA,liver,U11002,NA,NA,AV,NA
S11003DN1,DNA,liver,U11003,NA,NA,AV,NA
S11004DN1,DNA,liver,U11004,NA,NA,AV,NA
S11005DN1,DNA,liver,U11005,NA,NA,AV,NA
S11006DN1,DNA,liver,U11006,NA,NA,AV,NA
S11007DN1,DNA,liver,U11007,NA,NA,AV,NA
S11008DN1,DNA,liver,U11008,NA,NA,AV,NA
S11009DN1,DNA,liver,U11009,NA,NA,AV,NA
SDN1048,DNA,liver,U1101,NA,PBS,AV,NA
S11010DN1,DNA,liver,U11010,NA,NA,AV,NA
SDN1061,DNA,liver,U1102,NA,PBS,AV,NA
S11021DN1,DNA,liver,U11021,NA,NA,AV,NA
S11022DN1,DNA,liver,U11022,NA,NA,AV,NA
S11023DN1,DNA,liver,U11023,NA,NA,AV,NA
SDN1062,DNA,liver,U1103,NA,PBS,AV,NA
SDN1063,DNA,liver,U1104,NA,PBS,AV,NA
SDN1064,DNA,liver,U1105,NA,PBS,AV,NA
SDN1065,DNA,liver,U1106,NA,PBS,AV,NA
SDN1076,DNA,liver,U1107,NA,PBS,AV,NA
SDN1077,DNA,liver,U1108,NA,PBS,AV,NA
S11081DN1,DNA,liver,U11081,NA,NA,AV,NA
S11082DN1,DNA,liver,U11082,NA,NA,AV,NA
S11083DN1,DNA,liver,U11083,NA,NA,AV,NA
S11084DN1,DNA,liver,U11084,NA,NA,AV,NA
S11085DN1,DNA,liver,U11085,NA,NA,AV,NA
S11086DN1,DNA,liver,U11086,NA,NA,AV,NA
S11087DN1,DNA,liver,U11087,NA,NA,AV,NA
S11088DN1,DNA,liver,U11088,NA,NA,AV,NA
S11089DN1,DNA,liver,U11089,NA,NA,AV,NA
SDN1078,DNA,liver,U1109,NA,PBS,AV,NA
S11090DN1,DNA,liver,U11090,NA,NA,AV,NA
S111DN1,DNA,liver,U111,NA,NA,AV,NA
SDN1079,DNA,liver,U1110,NA,PBS,AV,NA
SDN1326,DNA,liver,U1111,NA,PBS,AV,NA
SDN1327,DNA,liver,U1112,NA,PBS,AV,NA
SDN1328,DNA,liver,U1113,NA,PBS,AV,NA
SDN1344,DNA,liver,U1114,NA,PBS,AV,NA
SDN1345,DNA,liver,U1115,NA,PBS,AV,NA
SDN1346,DNA,liver,U1116,NA,PBS,AV,NA
S11161DN1,DNA,liver,U11161,NA,NA,AV,NA
S11162DN1,DNA,liver,U11162,NA,NA,AV,NA
S11163DN1,DNA,liver,U11163,NA,NA,AV,NA
S11164DN1,DNA,liver,U11164,NA,NA,AV,NA
S11165DN1,DNA,liver,U11165,NA,NA,AV,NA
S11166DN1,DNA,liver,U11166,NA,NA,AV,NA
S11167DN1,DNA,liver,U11167,NA,NA,AV,NA
S11168DN1,DNA,liver,U11168,NA,NA,AV,NA
S11169DN1,DNA,liver,U11169,NA,NA,AV,NA
SDN1363,DNA,liver,U1117,NA,PBS,AV,NA
S11170DN1,DNA,liver,U11170,NA,NA,AV,NA
SDN1364,DNA,liver,U1118,NA,PBS,AV,NA
S1119DN1,DNA,liver,U1119,NA,NA,MV,Last transcribed sample location cannot be verified (SO14-29) 2018-01-27 JG
S112DN1,DNA,liver,U112,NA,NA,AV,NA
SDN1366,DNA,liver,U1120,NA,PBS,AV,NA
SDN1049,DNA,liver,U1121,NA,PBS,AV,NA
SDN1050,DNA,liver,U1122,NA,PBS,AV,NA
SDN1051,DNA,liver,U1123,NA,PBS,AV,NA
SDN1052,DNA,liver,U1124,NA,PBS,AV,NA
S11241DN1,DNA,liver,U11241,NA,NA,AV,NA
S11242DN1,DNA,liver,U11242,NA,NA,AV,NA
S11243DN1,DNA,liver,U11243,NA,NA,AV,NA
S11244DN1,DNA,liver,U11244,NA,NA,AV,NA
S11245DN1,DNA,liver,U11245,NA,NA,AV,NA
S11246DN1,DNA,liver,U11246,NA,NA,AV,NA
S11247DN1,DNA,liver,U11247,NA,NA,AV,NA
S11248DN1,DNA,liver,U11248,NA,NA,AV,NA
S11249DN1,DNA,liver,U11249,NA,NA,AV,NA
SDN1053,DNA,liver,U1125,NA,PBS,AV,NA
S11250DN1,DNA,liver,U11250,NA,NA,AV,NA
SDN1066,DNA,liver,U1126,NA,PBS,AV,NA
SDN1067,DNA,liver,U1127,NA,PBS,AV,NA
SDN1068,DNA,liver,U1128,NA,PBS,AV,NA
SDN1080,DNA,liver,U1129,NA,PBS,AV,NA
S113DN1,DNA,liver,U113,NA,NA,AV,NA
SDN1081,DNA,liver,U1130,NA,PBS,AV,NA
SDN1054,DNA,liver,U1131,NA,PBS,AV,NA
S11311DN1,DNA,liver,U11311,NA,NA,AV,NA
SDN1055,DNA,liver,U1132,NA,PBS,AV,NA
S11321DN1,DNA,liver,U11321,NA,NA,AV,NA
S11322DN1,DNA,liver,U11322,NA,NA,AV,NA
S11323DN1,DNA,liver,U11323,NA,NA,AV,NA
S11324DN1,DNA,liver,U11324,NA,NA,AV,NA
S11325DN1,DNA,liver,U11325,NA,NA,AV,NA
S11326DN1,DNA,liver,U11326,NA,NA,AV,NA
S11327DN1,DNA,liver,U11327,NA,NA,AV,NA
S11328DN1,DNA,liver,U11328,NA,NA,AV,NA
S11329DN1,DNA,liver,U11329,NA,NA,AV,NA
SDN1056,DNA,liver,U1133,NA,PBS,AV,NA
S11330DN1,DNA,liver,U11330,NA,NA,AV,NA
SDN1057,DNA,liver,U1134,NA,PBS,AV,NA
SDN1069,DNA,liver,U1135,NA,PBS,AV,NA
SDN1070,DNA,liver,U1136,NA,PBS,AV,NA
SDN1071,DNA,liver,U1137,NA,PBS,AV,NA
SDN1072,DNA,liver,U1138,NA,PBS,AV,NA
SDN1082,DNA,liver,U1139,NA,PBS,AV,NA
S114DN1,DNA,liver,U114,NA,NA,AV,NA
SDN1083,DNA,liver,U1140,NA,PBS,AV,NA
S11401DN1,DNA,liver,U11401,NA,NA,AV,NA
S11402DN1,DNA,liver,U11402,NA,NA,AV,NA
S11403DN1,DNA,liver,U11403,NA,NA,AV,NA
S11404DN1,DNA,liver,U11404,NA,NA,AV,NA
S11405DN1,DNA,liver,U11405,NA,NA,AV,NA
S11406DN1,DNA,liver,U11406,NA,NA,AV,NA
S11407DN1,DNA,liver,U11407,NA,NA,AV,NA
S11408DN1,DNA,liver,U11408,NA,NA,AV,NA
S11409DN1,DNA,liver,U11409,NA,NA,AV,NA
SDN1073,DNA,liver,U1141,NA,PBS,AV,NA
S11410DN1,DNA,liver,U11410,NA,NA,AV,NA
SDN1074,DNA,liver,U1142,NA,PBS,AV,NA
SDN1075,DNA,liver,U1143,NA,PBS,AV,NA
SDN1084,DNA,liver,U1144,NA,PBS,AV,NA
SDN1085,DNA,liver,U1145,NA,PBS,AV,NA
SDN1086,DNA,liver,U1146,NA,PBS,AV,NA
SDN1094,DNA,liver,U1147,NA,PBS,AV,NA
SDN1095,DNA,liver,U1148,NA,PBS,AV,NA
SDN1096,DNA,liver,U1149,NA,PBS,AV,NA
S115DN1,DNA,liver,U115,NA,NA,AV,NA
S1150DN1,DNA,liver,U1150,NA,NA,MV,Last transcribed sample location cannot be verified (SO11-62) 2018-01-27 JG
SDN1087,DNA,liver,U1151,NA,PBS,AV,NA
SDN1088,DNA,liver,U1152,NA,PBS,AV,NA
SDN1089,DNA,liver,U1153,NA,PBS,AV,NA
SDN1098,DNA,liver,U1154,NA,PBS,AV,NA
SDN1099,DNA,liver,U1155,NA,PBS,AV,NA
SDN1100,DNA,liver,U1156,NA,PBS,AV,NA
SDN1101,DNA,liver,U1157,NA,PBS,AV,NA
SDN1108,DNA,liver,U1158,NA,PBS,AV,NA
SDN1109,DNA,liver,U1159,NA,PBS,AV,NA
S116DN1,DNA,liver,U116,NA,NA,AV,NA
SDN1110,DNA,liver,U1160,NA,PBS,AV,NA
SDN1090,DNA,liver,U1161,NA,PBS,AV,NA
SDN1091,DNA,liver,U1162,NA,PBS,AV,NA
SDN1092,DNA,liver,U1163,NA,PBS,AV,NA
SDN1093,DNA,liver,U1164,NA,PBS,AV,NA
SDN1102,DNA,liver,U1165,NA,PBS,AV,NA
SDN1103,DNA,liver,U1166,NA,PBS,AV,NA
SDN1111,DNA,liver,U1167,NA,PBS,AV,NA
SDN1112,DNA,liver,U1168,NA,PBS,AV,NA
SDN1113,DNA,liver,U1169,NA,PBS,AV,NA
S117DN1,DNA,liver,U117,NA,NA,AV,NA
SDN1118,DNA,liver,U1170,NA,PBS,AV,NA
SDN1104,DNA,liver,U1171,NA,PBS,AV,NA
SDN1105,DNA,liver,U1172,NA,PBS,AV,NA
SDN1106,DNA,liver,U1173,NA,PBS,AV,NA
SDN1119,DNA,liver,U1174,NA,PBS,AV,NA
SDN1120,DNA,liver,U1175,NA,PBS,AV,NA
SDN1121,DNA,liver,U1176,NA,PBS,AV,NA
SDN1122,DNA,liver,U1177,NA,PBS,AV,NA
SDN1123,DNA,liver,U1178,NA,PBS,AV,NA
SDN1124,DNA,liver,U1179,NA,PBS,AV,NA
S118DN1,DNA,liver,U118,NA,NA,AV,NA
SDN1139,DNA,liver,U1180,NA,PBS,AV,NA
SDN1347,DNA,liver,U1181,NA,PBS,AV,NA
SDN1348,DNA,liver,U1182,NA,PBS,AV,NA
SDN1349,DNA,liver,U1183,NA,PBS,AV,NA
SDN1350,DNA,liver,U1184,NA,PBS,AV,NA
SDN1367,DNA,liver,U1185,NA,PBS,AV,NA
SDN1368,DNA,liver,U1186,NA,PBS,AV,NA
SDN1369,DNA,liver,U1187,NA,PBS,AV,NA
S1188DN1,DNA,liver,U1188,NA,NA,AV,NA
S1189DN1,DNA,liver,U1189,NA,NA,AV,NA
S119DN1,DNA,liver,U119,NA,NA,AV,NA
S1190DN1,DNA,liver,U1190,NA,NA,AV,NA
SDN1107,DNA,liver,U1191,NA,PBS,AV,NA
SDN1114,DNA,liver,U1192,NA,PBS,AV,NA
SDN1115,DNA,liver,U1193,NA,PBS,AV,NA
SDN1116,DNA,liver,U1194,NA,PBS,AV,NA
SDN1125,DNA,liver,U1195,NA,PBS,AV,NA
SDN1126,DNA,liver,U1196,NA,PBS,AV,NA
SDN1127,DNA,liver,U1197,NA,PBS,AV,NA
SDN1128,DNA,liver,U1198,NA,PBS,AV,NA
SDN1129,DNA,liver,U1199,NA,PBS,AV,NA
S12DN1,DNA,liver,U12,NA,NA,AV,NA
S120DN1,DNA,liver,U120,NA,NA,AV,NA
SDN1130,DNA,liver,U1200,NA,PBS,AV,NA
