sample_id,sample_type,sample_subtype,ufn,sample_comments
S270CA1,carcass,whole,U270,NA
S271CA1,carcass,whole,U271,NA
S272CA1,carcass,whole,U272,NA
S273CA1,carcass,whole,U273,NA
S274CA1,carcass,whole,U274,NA
S275CA1,carcass,whole,U275,NA
S276CA1,carcass,whole,U276,NA
S277CA1,carcass,whole,U277,NA
S278CA1,carcass,whole,U278,NA
S279CA1,carcass,whole,U279,NA
S280CA1,carcass,whole,U280,NA
S281CA1,carcass,whole,U281,NA
S284CA1,carcass,whole,U284,NA
S285CA1,carcass,whole,U285,NA
S286CA1,carcass,whole,U286,NA
S287CA1,carcass,whole,U287,NA
S288CA1,carcass,whole,U288,NA
S289CA1,carcass,whole,U289,NA
S290CA1,carcass,whole,U290,NA
S291CA1,carcass,whole,U291,NA
S292CA1,carcass,whole,U292,NA
S293CA1,carcass,whole,U293,NA
S294CA1,carcass,whole,U294,NA
S295CA1,carcass,whole,U295,NA
S296CA1,carcass,whole,U296,NA
S297CA1,carcass,whole,U297,NA
S298CA1,carcass,whole,U298,NA
S299CA1,carcass,whole,U299,NA
S300CA1,carcass,whole,U300,NA
S301CA1,carcass,whole,U301,NA
S302CA1,carcass,whole,U302,NA
S303CA1,carcass,whole,U303,NA
S304CA1,carcass,whole,U304,NA
S305CA1,carcass,whole,U305,NA
S306CA1,carcass,whole,U306,NA
S307CA1,carcass,whole,U307,NA
S308CA1,carcass,whole,U308,NA
S309CA1,carcass,whole,U309,NA
S310CA1,carcass,whole,U310,NA
S311CA1,carcass,whole,U311,NA
S312CA1,carcass,whole,U312,NA
S313CA1,carcass,whole,U313,NA
S315CA1,carcass,whole,U315,NA
S316CA1,carcass,whole,U316,NA
S317CA1,carcass,whole,U317,NA
S318CA1,carcass,whole,U318,NA
S319CA1,carcass,whole,U319,NA
S320CA1,carcass,whole,U320,NA
S321CA1,carcass,whole,U321,NA
S322CA1,carcass,whole,U322,NA
S323CA1,carcass,whole,U323,NA
S324CA1,carcass,whole,U324,NA
S325CA1,carcass,whole,U325,NA
S326CA1,carcass,whole,U326,NA
S327CA1,carcass,whole,U327,NA
S328CA1,carcass,whole,U328,NA
S329CA1,carcass,whole,U329,NA
S330CA1,carcass,whole,U330,NA
S331CA1,carcass,whole,U331,NA
S332CA1,carcass,whole,U332,NA
S333CA1,carcass,whole,U333,NA
S334CA1,carcass,whole,U334,NA
S335CA1,carcass,whole,U335,NA
S336CA1,carcass,whole,U336,NA
S337CA1,carcass,whole,U337,NA
S338CA1,carcass,whole,U338,NA
S339CA1,carcass,whole,U339,NA
S340CA1,carcass,whole,U340,NA
S341CA1,carcass,whole,U341,NA
S342CA1,carcass,whole,U342,NA
S343CA1,carcass,whole,U343,NA
S344CA1,carcass,whole,U344,NA
S345CA1,carcass,whole,U345,NA
S346CA1,carcass,whole,U346,NA
S347CA1,carcass,whole,U347,NA
S348CA1,carcass,whole,U348,NA
S349CA1,carcass,whole,U349,NA
S350CA1,carcass,whole,U350,NA
S351CA1,carcass,whole,U351,NA
S352CA1,carcass,whole,U352,NA
S353CA1,carcass,whole,U353,NA
S354CA1,carcass,whole,U354,NA
S355CA1,carcass,whole,U355,NA
S356CA1,carcass,whole,U356,NA
S357CA1,carcass,whole,U357,NA
S358CA1,carcass,whole,U358,NA
S359CA1,carcass,whole,U359,NA
S360CA1,carcass,whole,U360,NA
S361CA1,carcass,whole,U361,NA
S362CA1,carcass,whole,U362,NA
S363CA1,carcass,whole,U363,NA
S364CA1,carcass,whole,U364,NA
S365CA1,carcass,whole,U365,NA
S366CA1,carcass,whole,U366,NA
S367CA1,carcass,whole,U367,NA
S368CA1,carcass,whole,U368,NA
S369CA1,carcass,whole,U369,NA
S370CA1,carcass,whole,U370,NA
S371CA1,carcass,whole,U371,NA
S372CA1,carcass,whole,U372,NA
S373CA1,carcass,whole,U373,NA
S374CA1,carcass,whole,U374,NA
S375CA1,carcass,whole,U375,NA
S376CA1,carcass,whole,U376,NA
