sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SXM5084,extra_muscle,U4684,NA,NA,AV,NA
SXM5085,extra_muscle,U4685,NA,NA,AV,NA
SXM5086,extra_muscle,U4686,NA,NA,AV,NA
SXM5087,extra_muscle,U4687,NA,NA,AV,NA
SXM5088,extra_muscle,U4688,NA,NA,AV,NA
SXM5089,extra_muscle,U4689,NA,NA,AV,NA
SXM5090,extra_muscle,U4690,NA,NA,AV,NA
SXM5091,extra_muscle,U4691,NA,NA,AV,NA
SXM4131,extra_muscle,U3731,NA,NA,AV,NA
SXM4132,extra_muscle,U3732,NA,NA,AV,NA
SXM4133,extra_muscle,U3733,NA,NA,AV,NA
SXM4134,extra_muscle,U3734,NA,NA,AV,NA
SXM4135,extra_muscle,U3735,NA,NA,AV,NA
SXM4136,extra_muscle,U3736,NA,NA,AV,NA
SXM4137,extra_muscle,U3737,NA,NA,AV,NA
SXM4138,extra_muscle,U3738,NA,NA,AV,NA
SXM4139,extra_muscle,U3739,NA,NA,AV,NA
SXM4140,extra_muscle,U3740,NA,NA,AV,NA
SXM4141,extra_muscle,U3741,NA,NA,AV,NA
SXM4142,extra_muscle,U3742,NA,NA,AV,NA
SXM4143,extra_muscle,U3743,Fish slid on to bench,NA,AV,NA
SXM4144,extra_muscle,U3744,Fish fell on bench,NA,AV,NA
SXM4145,extra_muscle,U3745,NA,NA,AV,NA
SXM4146,extra_muscle,U3746,NA,NA,AV,NA
SXM4147,extra_muscle,U3747,NA,NA,AV,NA
SXM4148,extra_muscle,U3748,NA,NA,AV,NA
SXM4149,extra_muscle,U3749,NA,NA,AV,NA
SXM4150,extra_muscle,U3750,NA,NA,AV,NA
SXM4249,extra_muscle,U3849,NA,NA,AV,NA
SXM4250,extra_muscle,U3850,NA,NA,AV,NA
SXM4251,extra_muscle,U3851,NA,NA,AV,NA
SXM4292,extra_muscle,U3892,NA,NA,AV,NA
SXM4293,extra_muscle,U3893,NA,NA,AV,NA
SXM4294,extra_muscle,U3894,NA,NA,AV,NA
SXM4295,extra_muscle,U3895,NA,NA,AV,NA
SXM4296,extra_muscle,U3896,NA,NA,AV,NA
SXM4297,extra_muscle,U3897,NA,NA,AV,NA
SXM4298,extra_muscle,U3898,NA,NA,AV,NA
SXM4299,extra_muscle,U3899,NA,NA,AV,NA
SXM4300,extra_muscle,U3900,NA,NA,AV,NA
SXM4301,extra_muscle,U3901,NA,NA,AV,NA
SXM4302,extra_muscle,U3902,NA,NA,AV,NA
SXM4303,extra_muscle,U3903,NA,NA,AV,NA
SXM4304,extra_muscle,U3904,NA,NA,AV,NA
SXM4305,extra_muscle,U3905,NA,NA,AV,NA
SXM4306,extra_muscle,U3906,NA,NA,AV,NA
SXM4307,extra_muscle,U3907,NA,NA,AV,NA
SXM4308,extra_muscle,U3908,NA,NA,AV,NA
SXM4309,extra_muscle,U3909,NA,NA,AV,NA
SXM4310,extra_muscle,U3910,NA,NA,AV,NA
SXM4311,extra_muscle,U3911,NA,NA,AV,NA
SXM4312,extra_muscle,U3912,NA,NA,AV,NA
SXM4313,extra_muscle,U3913,NA,NA,AV,NA
SXM4363,extra_muscle,U3963,NA,NA,AV,NA
SXM4367,extra_muscle,U3967,NA,NA,AV,NA
SXM4368,extra_muscle,U3968,NA,NA,AV,NA
SXM4369,extra_muscle,U3969,NA,NA,AV,NA
SXM4394,extra_muscle,U3994,NA,NA,AV,NA
SXM4427,extra_muscle,U4027,NA,NA,AV,NA
SXM4428,extra_muscle,U4028,NA,NA,AV,NA
SXM4429,extra_muscle,U4029,NA,NA,AV,NA
SXM4430,extra_muscle,U4030,NA,NA,AV,NA
SXM4431,extra_muscle,U4031,NA,NA,AV,NA
SXM4432,extra_muscle,U4032,NA,NA,AV,NA
SXM4433,extra_muscle,U4033,NA,NA,AV,NA
SXM4434,extra_muscle,U4034,NA,NA,AV,NA
SXM4435,extra_muscle,U4035,NA,NA,AV,NA
SXM4436,extra_muscle,U4036,NA,NA,AV,NA
SXM4437,extra_muscle,U4037,NA,NA,AV,NA
SXM4438,extra_muscle,U4038,NA,NA,AV,NA
SXM4439,extra_muscle,U4039,NA,NA,AV,NA
SXM4440,extra_muscle,U4040,NA,NA,AV,NA
SXM4441,extra_muscle,U4041,NA,NA,AV,NA
SXM4442,extra_muscle,U4042,NA,NA,AV,NA
SXM4443,extra_muscle,U4043,NA,NA,AV,NA
SXM4444,extra_muscle,U4044,NA,NA,AV,NA
SXM4515,extra_muscle,U4115,NA,NA,AV,NA
SXM4524,extra_muscle,U4124,NA,NA,AV,NA
SXM4481,extra_muscle,U4081,NA,NA,AV,NA
SXM4516,extra_muscle,U4116,NA,NA,AV,NA
SXM4482,extra_muscle,U4082,NA,NA,AV,NA
SXM4525,extra_muscle,U4125,NA,NA,AV,NA
SXM4451,extra_muscle,U4051,NA,NA,AV,NA
SXM4452,extra_muscle,U4052,NA,NA,AV,NA
SXM4453,extra_muscle,U4053,NA,NA,AV,NA
SXM4454,extra_muscle,U4054,NA,NA,AV,NA
SXM4455,extra_muscle,U4055,NA,NA,AV,NA
SXM4456,extra_muscle,U4056,NA,NA,AV,NA
SXM4457,extra_muscle,U4057,NA,NA,AV,NA
SXM4458,extra_muscle,U4058,NA,NA,AV,NA
SXM4459,extra_muscle,U4059,NA,NA,AV,NA
SXM4460,extra_muscle,U4060,NA,NA,AV,NA
SXM4517,extra_muscle,U4117,NA,NA,AV,NA
SXM4483,extra_muscle,U4083,NA,NA,AV,NA
SXM4507,extra_muscle,U4107,NA,NA,AV,NA
SXM4518,extra_muscle,U4118,NA,NA,AV,NA
SXM4445,extra_muscle,U4045,NA,NA,AV,NA
SXM4466,extra_muscle,U4066,NA,NA,AV,NA
SXM4467,extra_muscle,U4067,NA,NA,AV,NA
SXM4468,extra_muscle,U4068,NA,NA,AV,NA
SXM4469,extra_muscle,U4069,NA,NA,AV,NA
SXM4470,extra_muscle,U4070,NA,NA,AV,NA
SXM4471,extra_muscle,U4071,NA,NA,AV,NA
SXM4472,extra_muscle,U4072,NA,NA,AV,NA
SXM4473,extra_muscle,U4073,NA,NA,AV,NA
SXM4474,extra_muscle,U4074,NA,NA,AV,NA
SXM4475,extra_muscle,U4075,NA,NA,AV,NA
SXM4476,extra_muscle,U4076,NA,NA,AV,NA
SXM4477,extra_muscle,U4077,NA,NA,AV,NA
SXM4478,extra_muscle,U4078,NA,NA,AV,NA
SXM4479,extra_muscle,U4079,NA,NA,AV,NA
SXM4480,extra_muscle,U4080,NA,NA,AV,NA
SXM4519,extra_muscle,U4119,NA,NA,AV,NA
SXM4484,extra_muscle,U4084,NA,NA,AV,NA
SXM4446,extra_muscle,U4046,NA,NA,AV,NA
SXM4520,extra_muscle,U4120,NA,NA,AV,NA
SXM4485,extra_muscle,U4085,NA,NA,AV,NA
SXM4486,extra_muscle,U4086,NA,NA,AV,NA
SXM4487,extra_muscle,U4087,NA,NA,AV,NA
SXM4488,extra_muscle,U4088,NA,NA,AV,NA
SXM4489,extra_muscle,U4089,NA,NA,AV,NA
SXM4490,extra_muscle,U4090,NA,NA,AV,NA
SXM4491,extra_muscle,U4091,NA,NA,AV,NA
SXM4492,extra_muscle,U4092,NA,NA,AV,NA
SXM4493,extra_muscle,U4093,NA,NA,AV,NA
SXM4494,extra_muscle,U4094,NA,NA,AV,NA
